municipality,SSN,average_d_cultural,average_d_naloxone,average_d_syringe,ndvi
moorestown twp,322,0.418830453857121,0.310344525491644,2.50432733914256,0.635306964111328
mount holly twp,323,0.130729930392067,0.300832452465575,6.08385283297269,0.623174490792411
mount laurel twp,324,1.09379614637084,0.368582531374663,5.24699395673756,0.576324933416193
new hanover twp,325,1.2911919360298,0.554213300352705,4.7620944870695,0.603631154869343
north hanover twp,326,1.51197716567783,0.471904868269505,3.11970435680485,0.693846599469866
palmyra boro,327,2.12007022439426,0.574400407184306,3.08826384676305,0.363864285714286
pemberton boro,328,0.147939567345125,1.77759237506344,6.18342698321411,0.675610717773438
pemberton twp,329,1.30958215920474,1.09226069784521,10.4066904902025,0.679931472833807
riverside twp,330,3.15258599394208,0.723020981652098,6.81828440729517,0.51299
riverton boro,331,1.16675780759601,0.0650845543066962,2.03831882997504,0.275053576660156
shamong twp,332,1.22377841098814,0.616559739977621,2.74186136790173,0.675244126555879
southampton twp,333,0.981764748986465,0.527577411221489,5.04026240188262,0.695773540675951
springfield twp,334,0.39348395673904,0.421164025692628,1.26981568281248,0.68036038961039
tabernacle twp,335,2.07469539744691,0.933407993510506,4.85913333750388,0.6375536578125
washington twp,336,0.591360022245192,0.573289721057904,1.25162856921731,0.643024723607588
westampton twp,337,0.21356162411187,0.0959528239874364,1.36757803406816,0.615960478515625
willingboro twp,338,2.97446901009715,0.468259063086944,7.49378782812584,0.584547141113281
woodland twp,339,0.472913390443062,0.459440009501003,1.01695388388184,0.628939212701743
wrightstown boro,340,0.179666440235095,0.0855866572539103,0.699600083540555,0.67004404296875
audubon boro,401,0.569085984165529,0.120400894981548,0.518784814608928,0.534771435546875
audubon park boro,402,0.365911807359107,0.0339752256330864,0.195530084082522,0.503969653320313
barrington boro,403,0.458623664887939,0.0674735141166906,0.855471357881176,0.558538564453125
bellmawr boro,404,0.42287688276326,0.189993297254475,0.744386435694432,0.507937299262153
berlin boro,405,0.852502070467127,0.0617960349302082,1.72312331276253,0.539549282226563
berlin twp,406,0.824027641984218,0.0545851932891711,1.74338387174606,0.528329361979167
brooklawn boro,407,0.338775040939008,0.0620413252359358,0.507456037622088,0.353996423339844
camden city,408,1.04393805174851,0.363373006643473,1.18241762290531,0.251330772282527
cherry hill twp,409,0.515758923113599,0.348277771954468,2.4538403862477,0.532251209435096
chesilhurst boro,410,2.56395623585479,0.911887488829129,5.66296054922945,0.70777427734375
clementon boro,411,0.517931949197422,0.0189105817514332,1.36082514548974,0.524628564453125
collingswood boro,412,0.732024946769047,0.105737827578882,0.351106930016093,0.41153572265625
gibbsboro boro,413,0.661644238405656,0.0955666609689611,1.77129407388249,0.640626196289062
gloucester city,414,0.787308092392693,0.195694766311622,0.502916293836551,0.298259182303292
gloucester twp,415,1.09007108315895,0.291857197087521,3.81772127376494,0.585304480601165
haddon twp,416,0.399890777951817,0.0504542620551935,0.445291480949828,0.5031875
haddonfield boro,417,0.168595799245069,0.17060139507466,1.04643614758566,0.584854768880208
haddon heights boro,418,0.624206708955651,0.174125087457932,0.884896101254883,0.557958935546875
hi-nella boro,419,0.176607616743213,0.0109322655777394,0.36833230939372,0.541371423339844
laurel springs boro,420,0.558129415953153,0.0724325760477683,1.30160061152707,0.550707153320313
lawnside boro,421,0.321748081776017,0.109711836444841,0.822484448890846,0.549548205566406
lindenwold boro,422,1.09392673623843,0.176631102525738,2.65218766185107,0.581800708007812
magnolia boro,423,0.340911693991386,0.0536443727632147,0.644283312746075,0.47703095703125
merchantville boro,424,0.60419247826996,0.00506107386223203,0.616777997339953,0.470139282226562
mount ephraim boro,425,0.45831141493371,0.0812946267535271,0.397050732851946,0.49966787109375
oaklyn boro,426,0.793138237698309,0.111009792810935,0.332877840948838,0.495959537760417
pennsauken twp,427,1.44489365652525,0.283012974512826,1.50548713625566,0.353140884978196
pine hill boro,428,0.705601585970785,0.237984250591835,2.45652080254132,0.60333896484375
pine valley boro,429,1.31505604656642,0.305117730241007,3.5525322106587,0.651228564453125
runnemede boro,430,0.495910155703191,0.113645975497607,0.870555460077561,0.49399404296875
somerdale boro,431,0.622147475635519,0.0971161928997397,1.11042759389151,0.494416064453125
stratford boro,432,0.833959092674235,0.0505813460004973,1.64024220581497,0.555601782226563
tavistock boro,433,0.064770227835103,0.0794402986530705,0.313623090165119,0.576614282226563
voorhees twp,434,1.12645212885796,0.211065364686432,3.4056931328141,0.612040146821121
waterford twp,435,1.84439730941656,0.722130154552204,4.28250873007865,0.677917966180099
winslow twp,436,1.97249475197581,0.627024678749155,5.38736125158586,0.634649334960937
woodlynne boro,437,0.49412462608467,0.140493926325655,0.0741730719873512,0.349921435546875
avalon boro,501,0.0494573729571744,1.16829599943871,7.52348578219612,0.394008675711496
cape may city,502,0.183290459254749,0.373641441807349,9.90892830743334,0.511722615559896
cape may point boro,503,0.0831185322200093,0.0602411228760408,1.91016941760218,0.044357144165039
dennis twp,504,1.30271024221487,1.15571725272542,5.28543197713149,0.748141997629189
lower twp,505,0.954521766026109,0.646846680669033,21.0466170241683,0.595670073661321
middle twp,506,0.721814398194435,0.543065677145458,9.96553417459247,0.644266267923875
north wildwood city,507,0.43595829669811,0.322347766078526,8.70015665571901,0.226774999491374
ocean city,508,0.851792423243519,0.449836987943174,7.98625949424456,0.10175094909668
sea isle city,509,0.0312491035645299,0.177375161318684,4.88968379083094,0.423827384440104
stone harbor boro,510,0.223000485218918,0.853534563673453,6.2823171342554,0.144663098144531
upper twp,511,0.789439852512258,0.541313638674647,3.94398476559539,0.654272183744642
west cape may boro,512,0.163583808714679,0.119037640712284,3.77082589869142,0.749324287109375
west wildwood boro,513,0.0078444591816616,0.00742837674387725,2.01831911377932,0.220667858886719
wildwood city,514,0.0985603056919979,0.070726522857895,9.19534400004103,0.303584282226563
wildwood crest boro,515,0.330001194125067,0.270722845191851,8.75175993826235,0.233652860107422
woodbine boro,516,1.88228087270635,1.94684794701726,7.41977116472695,0.724350650301847
bridgeton city,601,0.536166666470825,0.553023123278498,23.786382021051,0.590384524197049
commercial twp,602,1.73570541240393,2.08751246658714,8.33003418328566,0.676754762145295
deerfield twp,603,0.679229866900862,0.530748427107394,4.4218598458795,0.626069105423328
downe twp,604,2.44854752515399,3.17026171364228,10.4617805345746,0.650514391534593
fairfield twp,605,0.952099104253241,0.964681334882959,7.24527474675628,0.633669488311232
greenwich twp,606,0.630308124093289,0.661800620593512,3.59405335500769,0.652452913743622
hopewell twp,607,0.323610320861021,0.399300906065705,5.57006438057733,0.637130919767681
lawrence twp,608,1.81667484181205,1.89338944936598,9.44411495330971,0.647467408707998
maurice river twp,609,2.24553561985291,2.18987550590061,6.66087325407576,0.698529207981743
millville city,610,0.512331698092331,0.610937908012496,15.2392625394145,0.608614282869038
shiloh boro,611,0.0378044849582014,0.0466353129409079,0.640019724098132,0.601142846679688
stow creek twp,612,0.641713849307733,0.673516761440432,3.65688328585665,0.666944755460778
upper deerfield twp,613,0.0330626004127638,0.196868084447752,2.98308703343017,0.592665748541039
vineland city,614,0.98435894736167,0.622119328419525,16.3272465387889,0.58264329155816
belleville twp,701,0.609804109922746,0.14989688221537,1.37900568899817,0.44161103737571
bloomfield twp,702,0.494827956734808,0.238106793633249,1.94941975238169,0.568006039663462
caldwell boro,703,1.03183224258719,0.423653011954155,2.63151150287085,0.561408923339844
cedar grove twp,704,0.468672123412397,0.0947356496209093,1.45229665631016,0.563167854817708
east orange city,705,0.827999463960979,0.270760662607474,0.971351435571244,0.404764284939236
essex fells boro,706,0.371419447764073,0.220765746284641,0.919566824485024,0.603861897786458
fairfield twp,707,0.635676756434809,0.0808737783070079,0.90175146809306,0.660832908412388
glen ridge boro,708,0.0480585543961062,0.06695921082492,0.455757825197738,0.52371787109375
irvington twp,709,1.2127186003156,0.241060034209155,1.35590066832007,0.355961905924479
livingston twp,710,1.1594958457484,0.339553486183446,3.17882417010396,0.627976446368243
maplewood twp,711,0.294514747685492,0.203398748627992,1.46988793269436,0.61536904703776
millburn twp,712,0.404236003735466,0.221758929912966,1.55519798041113,0.663811637369792
montclair twp,713,0.466261168051595,0.32446135537845,2.82164693953673,0.598627676391602
newark city,714,0.977455540015124,0.439722042622197,1.26429607668203,0.256797059810863
north caldwell boro,715,0.36430001912563,0.139310724185395,0.754801397375662,0.581299997287326
nutley twp,716,0.812328471042955,0.202369136632299,2.09588504822893,0.460176779174805
city of orange twp,717,0.376556990474318,0.254884198883618,1.294157544592,0.435267858886719
roseland boro,718,0.588889447409207,0.146614539153612,1.22544170147684,0.649576629083807
south orange village twp,719,0.396526834915265,0.153967944740792,1.05251474646145,0.639554760742188
verona twp,720,0.354330096880136,0.145142588503379,1.77639783197371,0.59030306222098206
west caldwell twp,721,1.21758139612954,0.226968084411363,2.50144235593054,0.578025274188702
west orange twp,722,0.538142787709096,0.245450214148662,1.60966676816138,0.609649762369792
clayton boro,801,0.535246175798141,0.159853274848756,2.83913524244186,0.641253567165799
deptford twp,802,0.70223954395578,0.367734094076036,2.41724419304827,0.61195151782746
east greenwich twp,803,0.455493147303522,0.271164069483526,1.42143749423664,0.616352677001953
elk twp,804,0.407339015949713,0.238243970559405,2.12060339181112,0.612842713647959
franklin twp,805,1.55704054921005,0.849864721328313,6.31444385271964,0.67384538590827
glassboro boro,806,0.300162624950236,0.287050362661381,4.44413245451561,0.512983140625
greenwich twp,807,1.78860390322896,0.45100387825849,2.89797391637098,0.366400479939779
harrison twp,808,0.386595921412206,0.256699686367139,3.50478109081643,0.611788242594401
logan twp,809,1.96796870448413,0.579693446753319,3.99074289212818,0.468086120113645
mantua twp,810,0.488145085567575,0.256292761873156,2.37542163154165,0.609893195452009
monroe twp,811,2.30502216946857,0.412866812524079,6.48346440223683,0.650714703369141
national park boro,812,0.864735591561442,0.845705047358962,1.79453477924349,0.216139291381836
newfield boro,813,1.54317731634867,1.26333525867444,12.6709276440585,0.654951196289063
paulsboro boro,814,0.924949623498212,0.0361081700944128,1.76944355185542,0.248101014927455
pitman boro,815,0.124268292589439,0.351629817264904,4.06293507824826,0.581490813337054
south harrison twp,816,0.422479849233143,0.183868090595647,2.45268834774759,0.622472108677455
swedesboro boro,817,2.30119847411083,0.448365099434325,7.95769302362383,0.555240478515625
washington twp,818,1.10481631546127,0.380640810083987,5.37068376953597,0.556308443714489
wenonah boro,819,0.573753781780265,0.339106189738606,2.21105656514255,0.624703564453125
west deptford twp,820,0.860225204135995,0.466858044350524,2.51291657902406,0.452687874159702
westville boro,821,0.204586301428515,0.161361385563527,0.55146830356802,0.321251782226562
woodbury city,822,0.166394252253062,0.120066103356696,1.72368050954425,0.564268359375
woodbury heights boro,823,0.234233334942869,0.173559504342276,1.03457474051183,0.594473795572917
woolwich twp,824,0.555234829714564,0.0567791400920815,1.88817300315542,0.598170330341046
bayonne city,901,0.860086241789105,0.41180257076769,3.34686224062373,0.013969048055013
east newark boro,902,0.176917458473537,0.0931267778522619,0.329832004521192,0.285423217773437
guttenberg town,903,0.15838495626912,0.121866110862913,1.72872413009078,0.213407153320312
harrison town,904,0.311299498290145,0.153362388189818,0.670799006021182,0.194208926391602
hoboken city,905,0.198308455956008,0.183999472653192,1.97030857466785,0.172814282226563
jersey city,906,0.601289386799987,0.407023179328352,1.10246074121519,0.230082059141647
kearny town,907,0.875909920697303,0.159252211216587,1.089442082718,0.306478811035156
north bergen twp,908,0.263353733774448,0.110040467663513,2.00356927404175,0.343902378336589
secaucus town,909,0.820723314235188,0.348894040712968,1.6797431724041,0.384212698025174
union city,910,0.391034033794778,0.168057611411712,2.29546686558097,0.190955355834961
weehawken twp,911,0.274584214078774,0.0982489882975691,1.13659126853039,0.124414282226563
west new york town,912,0.397235340215355,0.165427112757364,2.8088751353555,0.163746429443359
alexandria twp,1001,1.16147111588138,0.567482652816773,4.44634309982441,0.757807746478873
bethlehem twp,1002,0.479799499061994,0.524989075088822,3.47647923359635,0.7639145703125
bloomsbury boro,1003,0.0511646793978593,0.0557727413130891,0.370799422819242,0.67388095703125
califon boro,1004,0.0585173321414895,0.0341441589909677,0.519073677517807,0.730033333333333
clinton town,1005,0.0139485140905967,0.113189975727666,5.61619241696343,0.671295231119792
clinton twp,1006,0.497414466638572,0.626924398473216,4.77711911551884,0.720075080732866
delaware twp,1007,0.654433807303393,0.569319868030997,2.10968603108708,0.690832963053385
east amwell twp,1008,0.449168976121123,0.405394145378239,1.41669788703294,0.731579333333333
flemington boro,1009,0.0225997941221684,0.112709118719315,4.79454911121596,0.569426188151042
franklin twp,1010,0.629793635134519,0.524136180891669,3.10058198553426,0.744598331705729
frenchtown boro,1011,0.14232109562321,0.10854193716345201,0.360323657726044,0.730525
glen gardner boro,1012,0.215537214430399,0.451157916923615,5.53188688231083,0.7628119140625
hampton boro,1013,0.160080565982926,0.336148596573898,4.12311039075044,0.738314282226562
high bridge boro,1014,0.784952425672682,0.984201991981062,10.1130081591222,0.752528572591146
holland twp,1015,1.70119072909721,0.598939692923241,7.66901161374359,0.752687122182377
kingwood twp,1016,2.75502376902822,2.10441916864842,6.96029037149753,0.745075745646159
lambertville city,1017,0.0511096297870273,0.19013977161413,3.92921464511894,0.576353588867188
lebanon boro,1018,1.33855524249447,1.21953667851596,9.41174810220078,0.669971435546875
lebanon twp,1019,0.342236263840788,0.202174608690771,3.0894595095916,0.773424913062119
milford boro,1020,0.161141418633599,0.0767368369053518,0.626635393936654,0.770583333333333
raritan twp,1021,0.607351976982496,0.463099267763453,6.35184123503567,0.688492410786947
readington twp,1022,0.589282379223586,0.354921648550429,5.53615665361278,0.753138209794207
stockton boro,1023,0.0864433802360884,0.0752479648806129,0.278440681705587,0.725371411132812
tewksbury twp,1024,1.08325203800412,0.584979181971808,4.48140120955359,0.761598567504883
union twp,1025,0.416252687622464,0.269437646891833,4.22181625766764,0.742719670881305
west amwell twp,1026,0.542178701981298,0.547229985556529,2.47999139419875,0.708890888503502
east windsor twp,1101,1.22076256925557,0.250968063497494,4.58402081123482,0.641840178222656
ewing twp,1102,0.480629032315723,0.456783553203798,1.18099331355143,0.630216784667969
hamilton twp,1103,0.648472178599369,0.380666013029546,2.56858912929873,0.601264615288131
hightstown boro,1104,1.02336318329419,0.249758025321319,4.65700042006273,0.593008923339844
hopewell boro,1105,0.0955477389204946,2.37482669413059,5.39860606787573,0.730017846679687
hopewell twp,1106,0.54336953431625,0.51934662124918,1.59881952096048,0.749090350139694
lawrence twp,1107,0.493998561285072,0.277778443475713,1.43044995432455,0.656968913664641
pennington boro,1108,0.939391913490587,0.116169652535528,1.62101567377124,0.637978580729167
trenton city,1111,0.467771286738478,0.37902285309578,1.42895428390229,0.477803402855283
robbinsville twp,1112,0.62236460327689,0.337363673998318,1.73711632021534,0.674848626239483
west windsor twp,1113,0.809058518939007,0.450033738951527,2.96033361106689,0.700673030113106
princeton,1114,0.40658465739686,0.422753317085258,4.9866175447471,0.72307996985394
carteret boro,1201,1.75617007605944,0.435981011109964,7.17125551771334,0.331413688151042
cranbury twp,1202,0.0405084017822369,0.251352046419941,1.71583357095266,0.607090756405101
dunellen boro,1203,0.199801795392544,0.119268744761264,2.61265918045082,0.592959537760417
east brunswick twp,1204,2.0921923198465,0.446159918903869,9.51053535464996,0.570264541625977
edison twp,1205,0.83908583393788,0.358055803241277,8.27404170327361,0.509590748948317
helmetta boro,1206,2.0739317142146,0.713286024374137,6.88836502317197,0.761742854817708
highland park boro,1207,0.307802537362012,0.147133575199704,6.3408039701984,0.485977138671875
jamesburg boro,1208,1.14018656413135,0.0424422117753042,4.91416842906361,0.56755
old bridge twp,1209,1.55366269129396,0.458082043301926,9.5846628856817,0.620901914112838
metuchen boro,1210,0.189531171919823,0.154473036752636,4.83656357591974,0.59413369140625
middlesex boro,1211,0.474497830576484,0.153118394765362,4.0212575402284,0.641337299262153
milltown boro,1212,0.599743134380671,0.14424423754517,4.7885061165167,0.513266076660156
monroe twp,1213,1.64078717410487,0.528446062554643,7.666356303936,0.61963038840554
new brunswick city,1214,0.336337188619271,0.266984124085653,10.2684052487835,0.451801344299316
north brunswick twp,1215,1.27591100923548,0.28158802671289,8.9022847627409,0.496256708688447
perth amboy city,1216,2.28042960475505,0.414932756122003,12.875382256445,0.289269050089518
piscataway twp,1217,0.737694680432643,0.573771030419108,9.02814854836817,0.56379571484375
plainsboro twp,1218,1.24961007780464,0.478106362632868,5.04600966376562,0.672201668294271
sayreville boro,1219,1.5312090236503,0.515436796695308,8.34835764603496,0.461010796267487
south amboy city,1220,1.03383461770297,0.473431385537777,7.15932108842805,0.349465712890625
south brunswick twp,1221,2.21934721687572,0.757588303230892,7.0119029683011,0.636353960848722
south plainfield boro,1222,0.650036926510107,0.265806923344846,6.55991653649317,0.512590907981179
south river boro,1223,1.73553685882753,0.344216084104639,8.55976016908928,0.435713498263889
spotswood boro,1224,1.51467599348875,0.104169024979953,5.0902078550362,0.618170403180804
woodbridge twp,1225,0.852772036992327,0.399876452555756,7.9047067648548,0.47154660064197
allenhurst boro,1301,0.0637270950476881,0.0494407406819025,0.0572922906938613,0.506204768880208
allentown boro,1302,1.74337790504166,0.896315726648502,3.63179367881888,0.683285717773437
asbury park city,1303,0.231460988228575,0.263016923977855,0.332655562487817,0.49343095703125
atlantic highlands boro,1304,0.204395719713028,0.300722248692985,3.33855857098471,0.52793095703125
avon-by-the-sea boro,1305,0.260654335680116,0.147308417312287,0.429986736302492,0.393485717773437
belmar boro,1306,0.583510604790706,0.127186380347558,1.03191501803449,0.387232135009766
bradley beach boro,1307,0.29719248365335,0.209854078031499,0.588457865719474,0.350835717773438
brielle boro,1308,0.173361700111516,0.167553738595603,1.06628729450169,0.612438094075521
colts neck twp,1309,0.985055483021455,0.853298700893795,2.58518140625023,0.714677539650791
deal boro,1310,0.291466410920853,0.226543363840801,0.261005283549287,0.601908935546875
eatontown boro,1311,0.544195897418153,0.217367203060105,1.30750012331865,0.544379521484375
englishtown boro,1312,1.18679261553661,0.104266995673467,4.76112839384155,0.682989282226563
fair haven boro,1313,0.295714668313161,0.317069311226631,1.85104114376299,0.558674287109375
farmingdale boro,1314,1.02795291623475,1.23954781513851,2.83364086004833,0.678171435546875
freehold boro,1315,0.25863171488162,0.236378080320898,6.97807741280312,0.593375
freehold twp,1316,0.425826968385014,0.360523708003327,3.90919762344377,0.670256515203738
highlands boro,1317,0.554123346805459,0.175586793296771,2.92199241989415,0.525721435546875
