,name,label,concept
103,S0101_C03_026,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!18 years and over,AGE AND SEX
104,S0101_C03_027,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!21 years and over,AGE AND SEX
105,S0101_C03_028,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!60 years and over,AGE AND SEX
106,S0101_C03_029,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!62 years and over,AGE AND SEX
107,S0101_C03_030,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,AGE AND SEX
108,S0101_C03_031,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!75 years and over,AGE AND SEX
109,S0101_C03_032,Estimate!!Male!!Total population!!SUMMARY INDICATORS!!Median age (years),AGE AND SEX
110,S0101_C03_033,Estimate!!Male!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females),AGE AND SEX
111,S0101_C03_034,Estimate!!Male!!Total population!!SUMMARY INDICATORS!!Age dependency ratio,AGE AND SEX
112,S0101_C03_035,Estimate!!Male!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio,AGE AND SEX
113,S0101_C03_036,Estimate!!Male!!Total population!!SUMMARY INDICATORS!!Child dependency ratio,AGE AND SEX
114,S0101_C03_037,Estimate!!Male!!PERCENT ALLOCATED!!Sex,AGE AND SEX
115,S0101_C03_038,Estimate!!Male!!PERCENT ALLOCATED!!Age,AGE AND SEX
116,S0101_C04_001,Estimate!!Percent Male!!Total population,AGE AND SEX
117,S0101_C04_002,Estimate!!Percent Male!!Total population!!AGE!!Under 5 years,AGE AND SEX
118,S0101_C04_003,Estimate!!Percent Male!!Total population!!AGE!!5 to 9 years,AGE AND SEX
119,S0101_C04_004,Estimate!!Percent Male!!Total population!!AGE!!10 to 14 years,AGE AND SEX
120,S0101_C04_005,Estimate!!Percent Male!!Total population!!AGE!!15 to 19 years,AGE AND SEX
121,S0101_C04_006,Estimate!!Percent Male!!Total population!!AGE!!20 to 24 years,AGE AND SEX
122,S0101_C04_007,Estimate!!Percent Male!!Total population!!AGE!!25 to 29 years,AGE AND SEX
123,S0101_C04_008,Estimate!!Percent Male!!Total population!!AGE!!30 to 34 years,AGE AND SEX
124,S0101_C04_009,Estimate!!Percent Male!!Total population!!AGE!!35 to 39 years,AGE AND SEX
125,S0101_C04_010,Estimate!!Percent Male!!Total population!!AGE!!40 to 44 years,AGE AND SEX
126,S0101_C04_011,Estimate!!Percent Male!!Total population!!AGE!!45 to 49 years,AGE AND SEX
127,S0101_C04_012,Estimate!!Percent Male!!Total population!!AGE!!50 to 54 years,AGE AND SEX
128,S0101_C04_013,Estimate!!Percent Male!!Total population!!AGE!!55 to 59 years,AGE AND SEX
129,S0101_C04_014,Estimate!!Percent Male!!Total population!!AGE!!60 to 64 years,AGE AND SEX
130,S0101_C04_015,Estimate!!Percent Male!!Total population!!AGE!!65 to 69 years,AGE AND SEX
131,S0101_C04_016,Estimate!!Percent Male!!Total population!!AGE!!70 to 74 years,AGE AND SEX
132,S0101_C04_017,Estimate!!Percent Male!!Total population!!AGE!!75 to 79 years,AGE AND SEX
133,S0101_C04_018,Estimate!!Percent Male!!Total population!!AGE!!80 to 84 years,AGE AND SEX
134,S0101_C04_019,Estimate!!Percent Male!!Total population!!AGE!!85 years and over,AGE AND SEX
135,S0101_C04_020,Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,AGE AND SEX
136,S0101_C04_021,Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,AGE AND SEX
137,S0101_C04_022,Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years,AGE AND SEX
138,S0101_C04_023,Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,AGE AND SEX
139,S0101_C04_024,Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years,AGE AND SEX
140,S0101_C04_025,Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!16 years and over,AGE AND SEX
141,S0101_C04_026,Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!18 years and over,AGE AND SEX
142,S0101_C04_027,Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!21 years and over,AGE AND SEX
143,S0101_C04_028,Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!60 years and over,AGE AND SEX
144,S0101_C04_029,Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!62 years and over,AGE AND SEX
145,S0101_C04_030,Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,AGE AND SEX
146,S0101_C04_031,Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!75 years and over,AGE AND SEX
147,S0101_C04_032,Estimate!!Percent Male!!Total population!!SUMMARY INDICATORS!!Median age (years),AGE AND SEX
148,S0101_C04_033,Estimate!!Percent Male!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females),AGE AND SEX
149,S0101_C04_034,Estimate!!Percent Male!!Total population!!SUMMARY INDICATORS!!Age dependency ratio,AGE AND SEX
150,S0101_C04_035,Estimate!!Percent Male!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio,AGE AND SEX
151,S0101_C04_036,Estimate!!Percent Male!!Total population!!SUMMARY INDICATORS!!Child dependency ratio,AGE AND SEX
152,S0101_C04_037,Estimate!!Percent Male!!PERCENT ALLOCATED!!Sex,AGE AND SEX
153,S0101_C04_038,Estimate!!Percent Male!!PERCENT ALLOCATED!!Age,AGE AND SEX
154,S0101_C05_001,Estimate!!Female!!Total population,AGE AND SEX
155,S0101_C05_002,Estimate!!Female!!Total population!!AGE!!Under 5 years,AGE AND SEX
156,S0101_C05_003,Estimate!!Female!!Total population!!AGE!!5 to 9 years,AGE AND SEX
157,S0101_C05_004,Estimate!!Female!!Total population!!AGE!!10 to 14 years,AGE AND SEX
158,S0101_C05_005,Estimate!!Female!!Total population!!AGE!!15 to 19 years,AGE AND SEX
159,S0101_C05_006,Estimate!!Female!!Total population!!AGE!!20 to 24 years,AGE AND SEX
160,S0101_C05_007,Estimate!!Female!!Total population!!AGE!!25 to 29 years,AGE AND SEX
161,S0101_C05_008,Estimate!!Female!!Total population!!AGE!!30 to 34 years,AGE AND SEX
162,S0101_C05_009,Estimate!!Female!!Total population!!AGE!!35 to 39 years,AGE AND SEX
163,S0101_C05_010,Estimate!!Female!!Total population!!AGE!!40 to 44 years,AGE AND SEX
164,S0101_C05_011,Estimate!!Female!!Total population!!AGE!!45 to 49 years,AGE AND SEX
165,S0101_C05_012,Estimate!!Female!!Total population!!AGE!!50 to 54 years,AGE AND SEX
166,S0101_C05_013,Estimate!!Female!!Total population!!AGE!!55 to 59 years,AGE AND SEX
167,S0101_C05_014,Estimate!!Female!!Total population!!AGE!!60 to 64 years,AGE AND SEX
168,S0101_C05_015,Estimate!!Female!!Total population!!AGE!!65 to 69 years,AGE AND SEX
169,S0101_C05_016,Estimate!!Female!!Total population!!AGE!!70 to 74 years,AGE AND SEX
170,S0101_C05_017,Estimate!!Female!!Total population!!AGE!!75 to 79 years,AGE AND SEX
171,S0101_C05_018,Estimate!!Female!!Total population!!AGE!!80 to 84 years,AGE AND SEX
172,S0101_C05_019,Estimate!!Female!!Total population!!AGE!!85 years and over,AGE AND SEX
173,S0101_C05_020,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,AGE AND SEX
174,S0101_C05_021,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,AGE AND SEX
175,S0101_C05_022,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years,AGE AND SEX
176,S0101_C05_023,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,AGE AND SEX
177,S0101_C05_024,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years,AGE AND SEX
178,S0101_C05_025,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!16 years and over,AGE AND SEX
179,S0101_C05_026,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!18 years and over,AGE AND SEX
180,S0101_C05_027,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!21 years and over,AGE AND SEX
181,S0101_C05_028,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!60 years and over,AGE AND SEX
182,S0101_C05_029,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!62 years and over,AGE AND SEX
183,S0101_C05_030,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,AGE AND SEX
184,S0101_C05_031,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!75 years and over,AGE AND SEX
185,S0101_C05_032,Estimate!!Female!!Total population!!SUMMARY INDICATORS!!Median age (years),AGE AND SEX
186,S0101_C05_033,Estimate!!Female!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females),AGE AND SEX
187,S0101_C05_034,Estimate!!Female!!Total population!!SUMMARY INDICATORS!!Age dependency ratio,AGE AND SEX
188,S0101_C05_035,Estimate!!Female!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio,AGE AND SEX
189,S0101_C05_036,Estimate!!Female!!Total population!!SUMMARY INDICATORS!!Child dependency ratio,AGE AND SEX
190,S0101_C05_037,Estimate!!Female!!PERCENT ALLOCATED!!Sex,AGE AND SEX
191,S0101_C05_038,Estimate!!Female!!PERCENT ALLOCATED!!Age,AGE AND SEX
192,S0101_C06_001,Estimate!!Percent Female!!Total population,AGE AND SEX
193,S0101_C06_002,Estimate!!Percent Female!!Total population!!AGE!!Under 5 years,AGE AND SEX
194,S0101_C06_003,Estimate!!Percent Female!!Total population!!AGE!!5 to 9 years,AGE AND SEX
195,S0101_C06_004,Estimate!!Percent Female!!Total population!!AGE!!10 to 14 years,AGE AND SEX
196,S0101_C06_005,Estimate!!Percent Female!!Total population!!AGE!!15 to 19 years,AGE AND SEX
197,S0101_C06_006,Estimate!!Percent Female!!Total population!!AGE!!20 to 24 years,AGE AND SEX
198,S0101_C06_007,Estimate!!Percent Female!!Total population!!AGE!!25 to 29 years,AGE AND SEX
199,S0101_C06_008,Estimate!!Percent Female!!Total population!!AGE!!30 to 34 years,AGE AND SEX
200,S0101_C06_009,Estimate!!Percent Female!!Total population!!AGE!!35 to 39 years,AGE AND SEX
201,S0101_C06_010,Estimate!!Percent Female!!Total population!!AGE!!40 to 44 years,AGE AND SEX
202,S0101_C06_011,Estimate!!Percent Female!!Total population!!AGE!!45 to 49 years,AGE AND SEX
203,S0101_C06_012,Estimate!!Percent Female!!Total population!!AGE!!50 to 54 years,AGE AND SEX
204,S0101_C06_013,Estimate!!Percent Female!!Total population!!AGE!!55 to 59 years,AGE AND SEX
205,S0101_C06_014,Estimate!!Percent Female!!Total population!!AGE!!60 to 64 years,AGE AND SEX
206,S0101_C06_015,Estimate!!Percent Female!!Total population!!AGE!!65 to 69 years,AGE AND SEX
207,S0101_C06_016,Estimate!!Percent Female!!Total population!!AGE!!70 to 74 years,AGE AND SEX
208,S0101_C06_017,Estimate!!Percent Female!!Total population!!AGE!!75 to 79 years,AGE AND SEX
209,S0101_C06_018,Estimate!!Percent Female!!Total population!!AGE!!80 to 84 years,AGE AND SEX
210,S0101_C06_019,Estimate!!Percent Female!!Total population!!AGE!!85 years and over,AGE AND SEX
211,S0101_C06_020,Estimate!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,AGE AND SEX
212,S0101_C06_021,Estimate!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,AGE AND SEX
213,S0101_C06_022,Estimate!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years,AGE AND SEX
214,S0101_C06_023,Estimate!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,AGE AND SEX
215,S0101_C06_024,Estimate!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!15 to 44 years,AGE AND SEX
216,S0101_C06_025,Estimate!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!16 years and over,AGE AND SEX
217,S0101_C06_026,Estimate!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!18 years and over,AGE AND SEX
218,S0101_C06_027,Estimate!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!21 years and over,AGE AND SEX
219,S0101_C06_028,Estimate!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!60 years and over,AGE AND SEX
220,S0101_C06_029,Estimate!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!62 years and over,AGE AND SEX
221,S0101_C06_030,Estimate!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,AGE AND SEX
222,S0101_C06_031,Estimate!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!75 years and over,AGE AND SEX
223,S0101_C06_032,Estimate!!Percent Female!!Total population!!SUMMARY INDICATORS!!Median age (years),AGE AND SEX
224,S0101_C06_033,Estimate!!Percent Female!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females),AGE AND SEX
225,S0101_C06_034,Estimate!!Percent Female!!Total population!!SUMMARY INDICATORS!!Age dependency ratio,AGE AND SEX
226,S0101_C06_035,Estimate!!Percent Female!!Total population!!SUMMARY INDICATORS!!Old-age dependency ratio,AGE AND SEX
227,S0101_C06_036,Estimate!!Percent Female!!Total population!!SUMMARY INDICATORS!!Child dependency ratio,AGE AND SEX
228,S0101_C06_037,Estimate!!Percent Female!!PERCENT ALLOCATED!!Sex,AGE AND SEX
229,S0101_C06_038,Estimate!!Percent Female!!PERCENT ALLOCATED!!Age,AGE AND SEX
230,S0102_C01_001,Estimate!!Total!!Total population,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
231,S0102_C01_002,Estimate!!Total!!Total population!!SEX AND AGE!!Male,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
232,S0102_C01_003,Estimate!!Total!!Total population!!SEX AND AGE!!Female,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
233,S0102_C01_004,Estimate!!Total!!Total population!!SEX AND AGE!!Median age (years),POPULATION 60 YEARS AND OVER IN THE UNITED STATES
234,S0102_C01_005,Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
235,S0102_C01_006,Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
236,S0102_C01_007,Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
237,S0102_C01_008,Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
238,S0102_C01_009,Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
239,S0102_C01_010,Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
240,S0102_C01_011,Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
241,S0102_C01_012,Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
242,S0102_C01_013,Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),POPULATION 60 YEARS AND OVER IN THE UNITED STATES
243,S0102_C01_014,"Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",POPULATION 60 YEARS AND OVER IN THE UNITED STATES
244,S0102_C01_015,Estimate!!Total!!RELATIONSHIP!!Population in households,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
245,S0102_C01_016,Estimate!!Total!!RELATIONSHIP!!Population in households!!Householder or spouse,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
246,S0102_C01_017,Estimate!!Total!!RELATIONSHIP!!Population in households!!Parent,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
247,S0102_C01_018,Estimate!!Total!!RELATIONSHIP!!Population in households!!Other relatives,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
248,S0102_C01_019,Estimate!!Total!!RELATIONSHIP!!Population in households!!Nonrelatives,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
249,S0102_C01_020,Estimate!!Total!!RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
250,S0102_C01_021,Estimate!!Total!!HOUSEHOLDS BY TYPE!!Households,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
251,S0102_C01_022,Estimate!!Total!!HOUSEHOLDS BY TYPE!!Households!!Family households,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
