,ID,City.x,Address,Longitude,Latitude,Match.Score,License Type,State,Establishment,Licensee,Effective Date,Inactivity Start Date,Expiration Date,City.y,Premise Address,Mailing Address,is.bar,is.store
11,0102-32-088-006,ATLANTIC CITY,"1075 N ALBANY AVE  
ATLANTIC CITY, NJ  08401
USA",-74.4687625274382,39.3642705536282,99.54,Plenary Retail Consumption License with Broad C,Active,HARBORVIEW LIQUORS,1075 ALBANY LLC,"Jul 01, 2019","Aug 31, 2014","Jun 30, 2020",ATLANTIC CITY,"1075 N ALBANY AVE  
ATLANTIC CITY, NJ  08401
USA","1075 N ALBANY AVE  
ATLANTIC CITY, NJ  08401
USA",,1
12,0102-32-104-007,,,0,0,0,Plenary Retail Consumption License with Broad C,Active,Not Available,RAY CORP,"Jul 01, 2019","Jan 13, 2004","Jun 30, 2020",NA,NA,"311 E MAGNOLIA AVE  
GALLOWAY, NJ  08205
USA",,
13,0102-32-109-007,ATLANTIC CITY,"12-16 MT VERNON AVE  
ATLANTIC CITY, NJ  08401
USA",-74.4308849584456,39.3603683166952,81.1,Plenary Retail Consumption License with Broad C,Active,LUXX LOUNGE,MT VERNON INN AND RESTAURANT LLC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"12-16 MT VERNON AVE  
ATLANTIC CITY, NJ  08401
USA","PO Box 16420 
PHILADELPHIA, PA  19122
USA",,
14,0102-32-126-007,ATLANTIC CITY,"8-10 SOUTH MORRIS AVENUE 
ATLANTIC CITY, NJ  08401
USA",-74.4475237906201,39.3533392107828,96.67,Plenary Retail Consumption License with Broad C,Active,THE CHELSEA PUB & INN,MICHAEL LAUREN LLC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"8-10 SOUTH MORRIS AVENUE 
ATLANTIC CITY, NJ  08401
USA","442 COVENTRY WAY 
GALLOWAY TOWNSHIP, NJ  08205
USA",1,
15,0102-32-189-004,ATLANTIC CITY,"1301 ADRIATIC AVENUE  
ATLANTIC CITY, NJ  08401
USA",-74.4307537816608,39.3680046076738,96.92,Plenary Retail Consumption License with Broad C,Active,LIQUOR STORE,GINGER INC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"1301 ADRIATIC AVENUE  
ATLANTIC CITY, NJ  08401
USA","1301 ADRIATIC AVENUE  
ATLANTIC CITY, NJ  08401
USA",,1
16,0102-32-200-008,ATLANTIC CITY,"470 NORTH ALBANY AVENUE 
ATLANTIC CITY, NJ  08401
USA",-74.4596061364095,39.3572017594041,97.04,Plenary Retail Consumption License with Broad C,Active,CHOICE,NDLC LIMITED LIABILITY COMPANY,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"470 NORTH ALBANY AVENUE 
ATLANTIC CITY, NJ  08401
USA","25 SOUTH PLAZA PLACE 
ATLANTIC CITY, NJ  08401
USA",,
17,0102-32-223-011,,,0,0,0,Plenary Retail Consumption License with Broad C,Active,Not Available,WINE AND CHEESE LLC,"Jul 01, 2019","Mar 05, 2000","Jun 30, 2020",NA,NA,"130 WEST KENNEDY DRIVE  
EGG HARBOR TOWNSHIP, NJ  08234
USA",,
18,0102-32-241-007,ATLANTIC CITY,"646-648 NORTH ALBANY AVE  
ATLANTIC CITY, NJ  08401
USA",-74.4608012281642,39.3586685086408,96.48,Plenary Retail Consumption License with Broad C,Active,ATLANTIC CITY BOTTLE COMPANY,CAL LIQUOR HOLDINGS LLC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"646-648 NORTH ALBANY AVE  
ATLANTIC CITY, NJ  08401
USA","106 UNION AVE  
LAKEHURST, NJ  08733
USA",,
19,0102-33-001-006,ATLANTIC CITY,"3901-03 ATLANTIC AVE  
ATLANTIC CITY, NJ  08401
USA",-74.4561490204447,39.3489477640712,96.47,Plenary Retail Consumption License,Active,O GRADYS,3901 ATLANTIC CORP,"Jul 01, 2019","Mar 18, 2008","Jun 30, 2020",ATLANTIC CITY,"3901-03 ATLANTIC AVE  
ATLANTIC CITY, NJ  08401
USA","2 SOUTH CLERMONT AVENUE 
UNIT #1
MARGAGTE, NJ  08402
USA",,
20,0102-33-017-006,ATLANTIC CITY,"3701 SUNSET AVE  
ATLANTIC CITY, NJ  08401
USA",-74.4565754078592,39.3528586343643,96.6,Plenary Retail Consumption License,Active,WONDER BAR,BAYSIDE INC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"3701 SUNSET AVE  
ATLANTIC CITY, NJ  08401
USA","3701 SUNSET AVE  
ATLANTIC CITY, NJ  08401
USA",1,
21,0102-33-025-007,ATLANTIC CITY,"18 SOUTH PENNSYLVANIA AVENUE 
ATLANTIC CITY, NJ  08401
USA",-74.4238976363204,39.3630321693434,97.29,Plenary Retail Consumption License,Active,MANGOS,LARRY EDWARDS INC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"18 SOUTH PENNSYLVANIA AVENUE 
ATLANTIC CITY, NJ  08401
USA","18 SOUTH PENNSYLVANIA AVENUE 
ATLANTIC CITY, NJ  08401
USA",,
22,0102-33-028-005,ATLANTIC CITY,"1607 BOARDWALK  
ATLANTIC CITY, NJ  08401
USA",-74.4278432496022,39.3564467175661,96.6,Plenary Retail Consumption License,Active,BILLS GYRO AND SOUVIAKI,AKRON INC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"1607 BOARDWALK  
ATLANTIC CITY, NJ  08401
USA","1607 BOARDWALK  
ATLANTIC CITY, NJ  08401
USA",,
23,0102-33-029-008,ATLANTIC CITY,"2800-06 ATLANTIC AVE & 6 S IOWA  
ATLANTIC CITY, NJ  08401
USA",-74.4458322387402,39.3549217560118,95.79,Plenary Retail Consumption License,Active,TONYS BALTIMORE GRILL,TBGAC LLC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"2800-06 ATLANTIC AVE & 6 S IOWA  
ATLANTIC CITY, NJ  08401
USA","650 NEW ROAD 
SUITE C
LINWOOD, NJ  08221
USA",,
24,0102-33-030-005,CITY OF ATLANTIC CITY,"2435- 2437 ATLANTIC AVE  
CITY OF ATLANTIC CITY, NJ  08401
USA",-74.4418136190818,39.3566076501071,82.14,Plenary Retail Consumption License,Active,5 DE MAYO BAR AND FAMILY RESTAURANT,THE BAR FOUR CORPORATION,"Jul 01, 2019",NA,"Jun 30, 2020",CITY OF ATLANTIC CITY,"2435- 2437 ATLANTIC AVE  
CITY OF ATLANTIC CITY, NJ  08401
USA","2435- 2437 ATLANTIC AVE  
CITY OF ATLANTIC CITY, NJ  08401
USA",1,
25,0102-33-042-009,ATLANTIC CITY,"3112 ATLANTIC AVENUE  
ATLANTIC CITY, NJ  08401
USA",-74.4493104771009,39.3535114169835,96.92,Plenary Retail Consumption License,Active,Not Available,FC NEW JERSEY INC,"Jul 01, 2018","May 25, 2017","Jun 30, 2019",ATLANTIC CITY,"3112 ATLANTIC AVENUE  
ATLANTIC CITY, NJ  08401
USA","555 NEW JERSEY AVE  
2ND FLOOR
ABSECON, NJ  08201
USA",,
26,0102-33-044-007,ATLANTIC CITY,"247 SOUTH NEW YORK AVENUE  
ATLANTIC CITY, NJ  08401
USA",-74.4264902427916,39.357436285055,97.09,Plenary Retail Consumption License,Active,ANCHOR ROCK CLUB,ARZU ENTERPRISES LLC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"247 SOUTH NEW YORK AVENUE  
ATLANTIC CITY, NJ  08401
USA","247 SOUTH NEW YORK AVENUE  
ATLANTIC CITY, NJ  08401
USA",,
27,0102-33-046-010,ATLANTIC CITY,"801 BOARDWALK  
ATLANTIC CITY, NJ  08401
USA",-74.4184400115248,39.3617409790688,96.52,Plenary Retail Consumption License,Active,"THE BOURBON ROOM, THE POOL DECK",SHOWBOAT HOSPITALITY LLC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"801 BOARDWALK  
ATLANTIC CITY, NJ  08401
USA","1719 RITTENHOUSE SQUARE 
PHILADELPHIA, PA  19103
USA",,
28,0102-33-047-011,ATLANTIC CITY,"3019 ATLANTIC AVENUE  
ATLANTIC CITY, NJ  08401
USA",-74.4487568523962,39.3537959406869,96.92,Plenary Retail Consumption License,Active,EL PATRON RESTAURANT,EL PATRON RESTAURANT LLC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"3019 ATLANTIC AVENUE  
ATLANTIC CITY, NJ  08401
USA","3019 ATLANTIC AVENUE  
ATLANTIC CITY, NJ  08401
USA",,
29,0102-33-048-005,ATLANTIC CITY,"118 SOUTH NORTH CAROLINA  AVE  
ATLANTIC CITY, NJ  08401
USA",-74.4241117101276,39.3609724004571,97.24,Plenary Retail Consumption License,Active,Not Available,AC BAR NONE LLC,"Jul 01, 2019","Oct 01, 2006","Jun 30, 2020",ATLANTIC CITY,"118 SOUTH NORTH CAROLINA  AVE  
ATLANTIC CITY, NJ  08401
USA","11 RIVINGTON STREET  
NEW YORK, NY  10002
USA",,
30,0102-33-049-003,ATLANTIC CITY,"112 S MORRIS AVENUE  
ATLANTIC CITY, NJ  08401
USA",-74.4469106070725,39.3523317866892,95.6,Plenary Retail Consumption License,Active,DAYS INN ON THE BOARDWALK,TRUPOS INC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"112 S MORRIS AVENUE  
ATLANTIC CITY, NJ  08401
USA","3000 BOARDWALK  
ATLANTIC CITY, NJ  08401
USA",,
31,0102-33-054-005,ATLANTIC CITY,"3119 BOARDWALK  
ATLANTIC CITY, NJ  08401
USA",-74.4473540124688,39.350931410331,95.32,Plenary Retail Consumption License,Active,CELEBRITY CORNER,CELEBRITY CORNERS INC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"3119 BOARDWALK  
ATLANTIC CITY, NJ  08401
USA","PO Box 7606 
ATLANTIC CITY, NJ  08404
USA",,
32,0102-33-055-009,ATLANTIC CITY,"137 S N EW YORK AVE  
ATLANTIC CITY, NJ  08401
USA",0,0,0,Plenary Retail Consumption License,Active,NONE,BRINEY LUCK INC,"Mar 25, 2020","Jan 26, 2016","Jun 30, 2020",ATLANTIC CITY,"137 S N EW YORK AVE  
ATLANTIC CITY, NJ  08401
USA","1005 MAIN STREET  
ASBURY PARK, NJ  07712
USA",,
33,0102-33-060-006,ATLANTIC CITY,"2701 ARCTIC AVENUE  
ATLANTIC CITY, NJ  08401
USA",-74.4456087772016,39.3570226800428,96.8,Plenary Retail Consumption License,Active,LOS COMPADRES RESTAURNT & BAR,BAI INC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"2701 ARCTIC AVENUE  
ATLANTIC CITY, NJ  08401
USA","2701 ARCTIC AVENUE  
ATLANTIC CITY, NJ  08401
USA",1,
34,0102-33-061-013,ATLANTIC CITY,"1545 PACIFIC AVE  
ATLANTIC CITY, NJ  08401
USA",-74.4293983440983,39.359678569883,96.67,Plenary Retail Consumption License,Active,KELSEYS,TEAM JACKSON INC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"1545 PACIFIC AVE  
ATLANTIC CITY, NJ  08401
USA","1545 PACIFIC AVE  
ATLANTIC CITY, NJ  08401
USA",,
35,0102-33-065-004,ATLANTIC CITY,"2405 ATLANTIC AVE  
ATLANTIC CITY, NJ  08401
USA",-74.4409600898814,39.3569546189891,96.73,Plenary Retail Consumption License,Active,DOCKS OYSTER HOUSE,DOCKS OYSTER HOUSE INC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"2405 ATLANTIC AVE  
ATLANTIC CITY, NJ  08401
USA","2405 ATLANTIC AVE  
ATLANTIC CITY, NJ  08401
USA",,
36,0102-33-067-003,ATLANTIC CITY,"229-231 SOUTH TENNESSEE AVENUE 
ATLANTIC CITY, NJ  08401
USA",-74.4253790538876,39.3581236430249,96.83,Plenary Retail Consumption License,Active,PIC A LILLI PUB,PIC A LILLI PUB INC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"229-231 SOUTH TENNESSEE AVENUE 
ATLANTIC CITY, NJ  08401
USA","229-231 SOUTH TENNESSEE AVENUE 
ATLANTIC CITY, NJ  08401
USA",1,
37,0102-33-078-003,ATLANTIC CITY,"164 ST JAMES PLACE  
ATLANTIC CITY, NJ  08401
USA",-74.426116326091,39.3577866486077,96.73,Plenary Retail Consumption License,Active,IRISH PUB & INN,IRISH PUB & INN INC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"164 ST JAMES PLACE  
ATLANTIC CITY, NJ  08401
USA","164 ST JAMES PLACE  
ATLANTIC CITY, NJ  08401
USA",1,
38,0102-33-079-012,ATLANTIC CITY,"1523 BOARDWALK  
ATLANTIC CITY, NJ  08401
USA",-74.4268843598789,39.3566702629238,96.6,Plenary Retail Consumption License,Active,LOTERIA,ATLANTIC LICENSE LLC,"Aug 05, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"1523 BOARDWALK  
ATLANTIC CITY, NJ  08401
USA","1523 BOARDWALK  
ATLANTIC CITY, NJ  08401
USA",,
39,0102-33-080-008,,,0,0,0,Plenary Retail Consumption License,Active,Not Available,JORDAN KIM,"Jul 01, 2019","Jul 02, 2006","Jun 30, 2020",NA,NA,"64 WOODSTONE DRIVE  
VORHEES, NJ  08043
USA",,
40,0102-33-081-006,ATLANTIC CITY,"3108 PACIFIC AVE  
ATLANTIC CITY, NJ  08401
USA",-74.4479804235002,39.352053432677,95.42,Plenary Retail Consumption License,Active,GIRASOLE RISTORANTE,FUMO INC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"3108 PACIFIC AVE  
ATLANTIC CITY, NJ  08401
USA","3108 PACIFIC AVE  
ATLANTIC CITY, NJ  08401
USA",,
41,0102-33-083-002,ATLANTIC CITY,"3919-21 VENTNOR AVE  
ATLANTIC CITY, NJ  08401
USA",-74.457817941186,39.3500641078456,96.4,Plenary Retail Consumption License,Active,FLANIGANS BAR,FLANIGAN INC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"3919-21 VENTNOR AVE  
ATLANTIC CITY, NJ  08401
USA","3919-21 VENTNOR AVE  
ATLANTIC CITY, NJ  08401
USA",1,
42,0102-33-084-006,ATLANTIC CITY,"3810 VENTNOR AVE  
ATLANTIC CITY, NJ  08401
USA",-74.4564967017884,39.3506508829773,96.67,Plenary Retail Consumption License,Active,MEXICO RESTAURANT,3810 VENTNOR AVENUE INC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"3810 VENTNOR AVE  
ATLANTIC CITY, NJ  08401
USA","3810 VENTNOR AVE  
ATLANTIC CITY, NJ  08401
USA",,
43,0102-33-095-010,ATLANTIC CITY,"123 S INDIANA AVENUE  
ATLANTIC CITY, NJ  08401
USA",-74.4314319340743,39.3577013120846,95.69,Plenary Retail Consumption License,Active,THE CLARIDGE HOTEL,TJM ATLANTIC CITY MANAGEMENT LLC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"123 S INDIANA AVENUE  
ATLANTIC CITY, NJ  08401
USA","524 MAPLE AVE  
LINWOOD, NJ  08221
USA",,
44,0102-33-096-007,ATLANTIC CITY,"TWO CONVENTION BOULEVARD  
ATLANTIC CITY, NJ  08401
USA",-74.4385329421789,39.362532356457,97.14,Plenary Retail Consumption License,Active,SHERATON ATLANTIC CITY CONVENTION CENTER HOTEL,HEADQUARTERS HOTEL MANAGEMENT LLC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"TWO CONVENTION BOULEVARD  
ATLANTIC CITY, NJ  08401
USA","610 SMITHFIELD ST STE 300  
PITTSBURGH, PA  15222
USA",,
45,0102-33-101-006,ATLANTIC CITY,"1217- 1219 PACIFIC AVE  
ATLANTIC CITY, NJ  08401
USA",-74.4256401501716,39.3611912938586,96.15,Plenary Retail Consumption License,Active,THE ATLANTIC CITY BAR AND GRILL,MAMMA TUCCIS PIZZERIA AND RESTAURANT INC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"1217- 1219 PACIFIC AVE  
ATLANTIC CITY, NJ  08401
USA","1217- 1219 PACIFIC AVE  
ATLANTIC CITY, NJ  08401
USA",1,
46,0102-33-103-010,ATLANTIC CITY,"2641 BOARDWALK AND 2701 BOARDWALK  
ATLANTIC CITY, NJ  08401
USA",-74.4353799216614,39.3547800599387,95.24,Plenary Retail Consumption License,Active,"BUNGALOW LOUNGE & RESTAURANT, BUNGALOW BEACH BAR",DECTRINITY LLC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"2641 BOARDWALK AND 2701 BOARDWALK  
ATLANTIC CITY, NJ  08401
USA","2641 BOARDWALK AND 2701 BOARDWALK  
ATLANTIC CITY, NJ  08401
USA",1,
47,0102-33-106-009,ATLANTIC CITY,"181-183 SOUTH CAROLINA AVENUE  
ATLANTIC CITY, NJ  08401
USA",-74.4238886494982,39.3583881970978,90.25,Plenary Retail Consumption License,Active,LACE  CASINO PUB,181 SOUTH INC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"181-183 SOUTH CAROLINA AVENUE  
ATLANTIC CITY, NJ  08401
USA","181-183 SOUTH CAROLINA AVENUE  
ATLANTIC CITY, NJ  08401
USA",1,
48,0102-33-111-006,ATLANTIC CITY,"1660 WEST RIVERSIDE DRIVE  
ATLANTIC CITY, NJ  08401
USA",-74.4526371706523,39.3705915144508,97.14,Plenary Retail Consumption License,Active,NONE,BBAH LLC,"Jul 01, 2019","Oct 29, 2012","Jun 30, 2020",ATLANTIC CITY,"1660 WEST RIVERSIDE DRIVE  
ATLANTIC CITY, NJ  08401
USA","539B NORTH NEW JERSEY AVENUE 
ATLANTIC CITY, NJ  08401
USA",,
49,0102-33-119-008,ATLANTIC CITY,"2430 FAIRMOUNT AVENUE  
ATLANTIC CITY, NJ  08401
USA",-74.4435997188294,39.3593678946417,96.98,Plenary Retail Consumption License,Active,EL CHARRO,JOHNNY GIBBONS TAVERN,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"2430 FAIRMOUNT AVENUE  
ATLANTIC CITY, NJ  08401
USA","2430 FAIRMOUNT AVENUE  
ATLANTIC CITY, NJ  08401
USA",,
50,0102-33-125-003,ATLANTIC CITY,"1212 PACIFIC AVENUE  
ATLANTIC CITY, NJ  08401
USA",-74.425472428289,39.3612033218895,96.86,Plenary Retail Consumption License,Active,COURTYARD BY MARRIOTT,GP AC SUBLESSEE LLC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"1212 PACIFIC AVENUE  
ATLANTIC CITY, NJ  08401
USA","222 LAKEVIEW AVENUE 
SUITE 200
WEST PALM BEACH, FL  33401
USA",,
51,0102-33-127-005,ATLANTIC CITY,"2721 ARTIC AVE  
ATLANTIC CITY, NJ  08401
USA",-74.4463801637508,39.3566967497378,91.57,Plenary Retail Consumption License,Active,THE BRANDED BEAR SALOON,KELLYS COVE LLC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"2721 ARTIC AVE  
ATLANTIC CITY, NJ  08401
USA","2721 ARTIC AVE  
ATLANTIC CITY, NJ  08401
USA",,
52,0102-33-128-005,,"3207-3215 BOARDWALK
ATLANTIC CITY NJ 08401",-74.4483217261462,39.3505950803307,98.89,Plenary Retail Consumption License,Active,SOUTH BEACH BEER GARDEN AC,SOUTH BEACH BEER GARDEN AC LLC,"Jul 01, 2019","Jun 25, 2018","Jun 30, 2020",NA,"3207-3215 BOARDWALK
ATLANTIC CITY NJ 08401","3207-3215 BOARDWALK
ATLANTIC CITY NJ 08401",,
53,0102-33-130-003,ATLANTIC  CITY,"3608 ATLANTIC  AVE  
ATLANTIC  CITY, NJ  08401
USA",-74.4531615819356,39.3507427403892,95.51,Plenary Retail Consumption License,Active,KNIFE AND FORK,KNIFE AND FORK LLC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC  CITY,"3608 ATLANTIC  AVE  
ATLANTIC  CITY, NJ  08401
USA","3608 ATLANTIC  AVE  
ATLANTIC  CITY, NJ  08401
USA",,
54,0102-33-131-005,ATLANTIC CITY,"2825 ATLANTIC AVENUE  
ATLANTIC CITY, NJ  08401
USA",-74.446789787359,39.3546087757473,96.92,Plenary Retail Consumption License,Active,CAFE 2825,2825 ATLANTIC AVENUE CORP,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"2825 ATLANTIC AVENUE  
ATLANTIC CITY, NJ  08401
USA","2825 ATLANTIC AVENUE  
ATLANTIC CITY, NJ  08401
USA",,
55,0102-33-132-008,ATLANTIC CITY,"2201 BOARDWALK  
ATLANTIC CITY, NJ  08401
USA",-74.4362662241032,39.3545032056769,96.6,Plenary Retail Consumption License,Active,RAINFOREST CAFE,RAINFOREST CAFE INC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"2201 BOARDWALK  
ATLANTIC CITY, NJ  08401
USA","1510 WEST LOOP SOUTH  
HOUSTON, TX  77027
USA",,
56,0102-33-137-007,ATLANTIC CITY,"30 SOUTH FLORIDA AVE.  
ATLANTIC CITY, NJ  08401
USA",-74.4412325855537,39.3555532485971,96.86,Plenary Retail Consumption License,Active,RAINBOW ROOM,MOSE BAR & ZODIAC ROOM INC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"30 SOUTH FLORIDA AVE.  
ATLANTIC CITY, NJ  08401
USA","30 SOUTH FLORIDA AVE  
ATLANTIC CITY, NJ  08401
USA",,
57,0102-33-142-014,ATLANTIC CITY,"201-205  S NEW YORK AVENUE  
ATLANTIC CITY, NJ  08401
USA",-74.4269411891824,39.3581057057521,96.48,Plenary Retail Consumption License,Active,"BY WATER, CAJUN AND BBQ FUSION",201 S NEW YORK AVE LLC,"Jul 01, 2019",NA,"Jun 30, 2020",ATLANTIC CITY,"201-205  S NEW YORK AVENUE  
ATLANTIC CITY, NJ  08401
USA","201-205  S NEW YORK AVENUE  
ATLANTIC CITY, NJ  08401
USA",,
58,0102-33-147-008,ATLANTIC CITY,"4101-05 ATLANTIC AVENUE  
ATLANTIC CITY, NJ  08401
USA",-74.4582177579674,39.3479193045516,96.67,Plenary Retail Consumption License,Active,RYFE LOUNGE,MURPHYS BAR AND GRILLE LLC,"Mar 05, 2020",NA,"Jun 30, 2020",ATLANTIC CITY,"4101-05 ATLANTIC AVENUE  
ATLANTIC CITY, NJ  08401
USA","5 EAST SPRUCE AVENUE 
MOORESTOWN, NJ  08057
USA",,
