CountyFIPS,County,Agency,Total,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Population,Number of clearances,Year
34003,Bergen,FAIRVIEW PD,179,1,1,11,14,38,104,10,14428,43,2019
34003,Bergen,FORT LEE PD,347,0,2,6,17,57,238,27,37729,96,2019
34003,Bergen,FRANKLIN LAKES BORO PD,64,0,0,1,4,4,44,11,11191,12,2019
34003,Bergen,GARFIELD PD,671,1,9,16,25,58,532,30,32203,289,2019
34003,Bergen,GLEN ROCK PD,60,0,0,0,0,13,43,4,11937,14,2019
34003,Bergen,HACKENSACK PD,697,1,6,15,81,54,506,34,44926,169,2019
34003,Bergen,HARRINGTON PARK PD,5,0,0,0,0,0,4,1,4802,0,2019
34003,Bergen,HASBROUCK HEIGHTS PD,66,0,0,0,3,3,60,0,12163,4,2019
34003,Bergen,HAWORTH PD,9,0,0,0,1,2,3,3,3463,3,2019
34003,Bergen,HILLSDALE PD,47,0,0,0,2,4,40,1,10484,8,2019
34003,Bergen,HO-HO-KUS PD,20,0,0,0,0,7,11,2,4139,4,2019
34003,Bergen,LEONIA PD,54,0,1,0,2,11,38,2,9175,7,2019
34003,Bergen,LITTLE FERRY PD,92,1,0,2,6,12,55,16,10895,12,2019
34003,Bergen,LODI PD,308,0,2,6,27,31,200,42,24720,42,2019
34003,Bergen,LYNDHURST PD,163,0,0,6,7,5,127,18,22384,53,2019
34003,Bergen,MAHWAH TWP PD,123,0,3,0,5,10,90,15,26501,27,2019
34003,Bergen,MAYWOOD PD,68,0,0,2,4,7,54,1,9763,17,2019
34003,Bergen,MIDLAND PARK PD,40,0,0,0,2,0,34,4,7313,10,2019
34003,Bergen,MONTVALE PD,27,0,0,0,1,1,24,1,8729,8,2019
34003,Bergen,MOONACHIE PD,28,0,0,0,0,1,26,1,2774,1,2019
34003,Bergen,NEW MILFORD PD,65,0,0,0,1,8,53,3,16701,18,2019
34003,Bergen,NORTH ARLINGTON PD,177,0,0,6,13,9,132,17,15868,47,2019
34003,Bergen,NORTHVALE PD,9,0,0,0,0,0,8,1,4965,5,2019
34003,Bergen,NORWOOD PD,20,0,1,0,0,6,10,3,5836,4,2019
34003,Bergen,OAKLAND PD,58,0,0,1,4,5,46,2,13102,7,2019
34003,Bergen,OLD TAPPAN PD,12,0,0,0,0,2,6,4,5998,1,2019
34003,Bergen,ORADELL PD,23,0,0,0,2,7,13,1,8243,4,2019
34003,Bergen,PALISADES INTER. PARKWAY PD,2,0,0,0,1,0,1,0,0,1,2019
34003,Bergen,PALISADES PARK PD,122,0,1,4,11,19,81,6,20888,29,2019
34003,Bergen,PARAMUS PD,963,0,2,8,34,24,871,24,26744,549,2019
34003,Bergen,PARK RIDGE PD,10,0,0,1,0,2,6,1,8858,2,2019
34003,Bergen,RAMSEY PD,164,0,0,2,1,3,155,3,15126,28,2019
34003,Bergen,RIDGEFIELD BORO PD,55,0,0,0,6,3,38,8,11329,8,2019
34003,Bergen,RIDGEFIELD PARK PD,131,0,0,2,5,6,108,10,13028,31,2019
34003,Bergen,RIDGEWOOD VILLAGE PD,156,0,0,2,11,22,108,13,25429,31,2019
34003,Bergen,RIVER EDGE PD,74,0,1,1,0,7,62,3,11611,18,2019
34003,Bergen,RIVER VALE PD,20,0,0,0,0,1,18,1,10157,2,2019
34003,Bergen,ROCHELLE PARK PD,70,0,0,3,1,11,53,2,5648,31,2019
34003,Bergen,ROCKLEIGH BOROUGH,2,0,0,0,0,0,2,0,526,2,2019
34003,Bergen,RUTHERFORD PD,193,0,2,2,8,20,145,16,18617,14,2019
34003,Bergen,SADDLE BROOK PD,221,0,0,1,0,5,214,1,14037,44,2019
34003,Bergen,SADDLE RIVER PD,32,0,0,0,2,5,22,3,3230,2,2019
34003,Bergen,SOUTH HACKENSACK PD,56,1,0,3,9,5,31,7,2473,30,2019
34003,Bergen,STATE POLICE BERGEN COUNTY,68,0,0,1,8,6,47,6,0,11,2019
34003,Bergen,TEANECK PD,420,1,11,12,32,49,304,11,40939,57,2019
34003,Bergen,TENAFLY PD,90,0,0,1,0,14,63,12,14742,9,2019
34003,Bergen,TETERBORO BOROUGH,102,0,0,0,0,0,99,3,68,40,2019
34003,Bergen,UPPER SADDLE RIVER PD,29,0,0,0,2,4,14,9,8330,7,2019
34003,Bergen,WALDWICK PD,59,0,0,0,2,5,48,4,10019,9,2019
34003,Bergen,WALLINGTON PD,152,0,0,2,7,6,124,13,11676,49,2019
34003,Bergen,WASHINGTON TWP PD,20,0,0,0,1,1,14,4,9299,2,2019
34003,Bergen,WESTWOOD PD,75,0,0,0,0,23,49,3,11219,13,2019
34003,Bergen,WOODCLIFF LAKE PD,31,0,0,1,1,4,25,0,5844,6,2019
34003,Bergen,WOOD-RIDGE PD,46,0,0,0,1,1,43,1,9105,11,2019
34003,Bergen,WYCKOFF TWP PD,86,0,2,0,3,10,64,7,17161,17,2019
34003,Bergen,Bergen County,8793,9,61,164,475,849,6683,552,941075,2367,2019
34005,Burlington,BEVERLY CITY PD,51,0,1,0,6,20,22,2,2497,13,2018
34005,Burlington,BORDENTOWN CITY PD,26,0,0,2,1,7,11,5,3823,14,2018
34005,Burlington,BORDENTOWN TWP  PD,113,0,3,3,8,15,72,12,12323,18,2018
34005,Burlington,BURLINGTON CITY PD,248,1,1,10,25,60,139,12,9817,72,2018
34005,Burlington,BURLINGTON CO PROSECUTORS OFFICE,1,1,0,0,0,0,0,0,0,1,2018
34005,Burlington,BURLINGTON COUNTY SHERIFF'S OFFICE,0,0,0,0,0,0,0,0,0,0,2018
34005,Burlington,BURLINGTON TWP PD,309,0,7,10,18,45,218,11,22857,180,2018
34005,Burlington,CHESTERFIELD TWP PD,14,0,0,0,0,0,13,1,7567,1,2018
34005,Burlington,CINNAMINSON PD,300,0,3,3,8,42,237,7,16630,88,2018
34005,Burlington,DELANCO TWP PD,52,0,3,2,0,12,32,3,4509,3,2018
34005,Burlington,DELRAN TWP PD,184,0,3,2,3,26,143,7,16579,26,2018
34005,Burlington,EASTAMPTON TWP PD,65,0,1,2,3,13,42,4,5940,11,2018
34005,Burlington,EDGEWATER PARK TWP PD,141,1,3,5,6,31,75,20,8713,36,2018
34005,Burlington,EVESHAM TWP PD,540,0,0,11,23,53,445,8,45354,123,2018
34005,Burlington,FIELDSBORO PD,12,0,0,0,1,3,6,2,529,7,2018
34005,Burlington,FLORENCE TWP PD,102,0,3,2,8,30,55,4,12748,47,2018
34005,Burlington,LUMBERTON TWP PD,222,1,0,5,4,8,194,10,12253,28,2018
34005,Burlington,MANSFIELD TWP PD,64,0,0,2,1,9,46,6,8577,14,2018
34005,Burlington,MAPLE SHADE PD,343,0,8,10,20,55,226,24,18772,60,2018
34005,Burlington,MEDFORD LAKES PD,22,0,1,0,0,3,17,1,3995,2,2018
34005,Burlington,MEDFORD TWP PD,223,0,2,3,42,25,146,5,23558,86,2018
34005,Burlington,MOORESTOWN PD,264,0,1,5,7,30,208,13,20510,64,2018
34005,Burlington,MOUNT HOLLY PD,269,0,12,7,19,17,207,7,9658,22,2018
34005,Burlington,MOUNT LAUREL TWP PD,716,0,6,17,29,51,579,34,41629,149,2018
34005,Burlington,NEW HANOVER TWP PD,2,0,0,0,0,0,2,0,7504,1,2018
34005,Burlington,NORTH HANOVER TWP PD,28,0,0,0,6,5,17,0,7518,12,2018
34005,Burlington,PALMYRA BORO PD,164,0,3,1,8,16,130,6,7198,47,2018
34005,Burlington,PEMBERTON BORO PD,30,0,0,2,0,2,24,2,1331,2,2018
34005,Burlington,PEMBERTON TWP PD,637,1,0,25,64,215,304,28,27212,108,2018
34005,Burlington,RIVERSIDE PD,22,0,0,1,6,8,6,1,7875,22,2018
34005,Burlington,RIVERTON BORO PD,37,0,0,0,2,4,30,1,2698,7,2018
34005,Burlington,SPRINGFIELD TWP PD,27,0,0,1,0,5,19,2,3280,3,2018
34005,Burlington,STATE POLICE BURLINGTON COUNTY,231,1,7,3,19,57,133,11,,57,2018
34005,Burlington,WESTAMPTON TWP PD,162,0,7,6,5,27,109,8,8752,26,2018
34005,Burlington,WILLINGBORO PD,588,0,9,23,80,152,297,27,32124,79,2018
34005,Burlington,Burlington County,6209,6,84,163,422,1046,4204,284,414330,1429,2018
34005,Burlington,BEVERLY CITY PD,46,0,0,1,10,9,20,6,2497,14,2019
34005,Burlington,BORDENTOWN CITY PD,28,0,0,1,1,1,24,1,3823,9,2019
34005,Burlington,BORDENTOWN TWP  PD,77,0,0,0,11,3,53,10,12323,23,2019
34005,Burlington,BURLINGTON CITY PD,201,2,2,14,33,40,94,16,9817,60,2019
34005,Burlington,BURLINGTON CO PROSECUTORS OFFICE,0,0,0,0,0,0,0,0,0,0,2019
34005,Burlington,BURLINGTON COUNTY SHERIFF'S OFFICE,0,0,0,0,0,0,0,0,0,0,2019
34005,Burlington,BURLINGTON TWP PD,292,0,7,6,18,30,210,21,22857,146,2019
34005,Burlington,CHESTERFIELD TWP PD,9,0,0,0,3,0,6,0,7567,3,2019
34005,Burlington,CINNAMINSON PD,368,0,2,3,11,28,310,14,16630,144,2019
34005,Burlington,DELANCO TWP PD,55,0,1,0,1,3,46,4,4509,4,2019
34005,Burlington,DELRAN TWP PD,220,0,0,3,5,23,182,7,16579,64,2019
34005,Burlington,EASTAMPTON TWP PD,53,0,2,1,0,12,34,4,5940,9,2019
34005,Burlington,EDGEWATER PARK TWP PD,148,1,4,3,8,28,88,16,8713,36,2019
34005,Burlington,EVESHAM TWP PD,539,0,5,8,16,55,440,15,45354,78,2019
34005,Burlington,FIELDSBORO PD,2,0,0,0,0,0,2,0,529,2,2019
34005,Burlington,FLORENCE TWP PD,98,0,7,2,8,25,51,5,12748,44,2019
34005,Burlington,LUMBERTON TWP PD,196,0,2,4,16,11,153,10,12253,37,2019
34005,Burlington,MANSFIELD TWP PD,54,0,0,3,5,10,26,10,8577,10,2019
34005,Burlington,MAPLE SHADE PD,398,1,8,17,28,41,272,31,18772,62,2019
34005,Burlington,MEDFORD LAKES PD,19,0,0,0,3,4,12,0,3995,4,2019
34005,Burlington,MEDFORD TWP PD,153,0,4,1,14,30,101,3,23558,62,2019
34005,Burlington,MOORESTOWN PD,218,0,3,4,11,24,166,10,20510,44,2019
34005,Burlington,MOUNT HOLLY PD,217,0,8,7,12,20,163,7,9658,27,2019
34005,Burlington,MOUNT LAUREL TWP PD,654,1,15,17,24,45,524,28,41629,143,2019
34005,Burlington,NEW HANOVER TWP PD,1,0,0,0,1,0,0,0,7504,1,2019
34005,Burlington,NORTH HANOVER TWP PD,21,0,0,0,3,3,13,2,7518,9,2019
34005,Burlington,PALMYRA BORO PD,128,1,1,0,6,17,100,3,7198,39,2019
34005,Burlington,PEMBERTON BORO PD,31,0,0,2,1,9,19,0,1331,9,2019
34005,Burlington,PEMBERTON TWP PD,507,1,2,11,58,114,299,22,27212,134,2019
34005,Burlington,RIVERSIDE PD,50,0,1,1,12,4,31,1,7875,27,2019
34005,Burlington,RIVERTON BORO PD,25,0,0,0,0,2,23,0,2698,14,2019
34005,Burlington,SPRINGFIELD TWP PD,20,0,0,0,2,1,15,2,3280,3,2019
34005,Burlington,STATE POLICE BURLINGTON COUNTY,274,0,3,2,15,47,195,12,27877,67,2019
34005,Burlington,WESTAMPTON TWP PD,189,0,9,6,15,17,131,11,8752,55,2019
34005,Burlington,WILLINGBORO PD,523,5,13,25,59,114,274,33,32124,59,2019
34005,Burlington,Burlington County,5814,12,99,142,410,770,4077,304,442207,1442,2019
34007,Camden,AUDUBON PARK PD,15,0,0,0,4,4,6,1,997,6,2018
34007,Camden,AUDUBON PD,296,0,0,0,0,28,262,6,8599,277,2018
34007,Camden,BARRINGTON PD,118,0,0,0,5,16,94,3,6661,13,2018
34007,Camden,BELLMAWR PD,166,0,0,1,7,28,122,8,11312,36,2018
34007,Camden,BERLIN BORO PD,136,0,2,0,11,12,103,8,7495,42,2018
34007,Camden,BERLIN TWP PD,167,0,1,1,2,15,144,4,5532,70,2018
34007,Camden,BROOKLAWN PD,148,0,3,6,7,8,116,8,1904,68,2018
34007,Camden,CAMDEN CO PROSECUTOR'S OFFICE,0,0,0,0,0,0,0,0,0,0,2018
34007,Camden,CAMDEN CO SHERIFF'S DEPT,43,0,0,0,6,0,35,2,0,16,2018
34007,Camden,CAMDEN PD,3417,23,64,355,756,458,1242,519,73140,846,2018
34007,Camden,CHERRY HILL TWP PD,2118,0,0,57,35,148,1839,39,70578,686,2018
34007,Camden,CHESILHURST PD,50,0,0,0,3,22,19,6,1617,12,2018
34007,Camden,CLEMENTON BORO PD,150,0,0,8,3,45,87,7,4887,14,2018
34007,Camden,COLLINGSWOOD PD,309,0,3,13,14,51,200,28,13843,68,2018
34007,Camden,GIBBSBORO PD,32,0,0,1,3,12,16,0,2211,5,2018
34007,Camden,GLOUCESTER CITY PD,303,0,0,13,21,47,204,18,11167,41,2018
34007,Camden,GLOUCESTER TWP PD,1023,5,10,24,39,90,839,16,63198,289,2018
34007,Camden,HADDON HEIGHTS PD,44,0,0,1,2,12,28,1,7497,10,2018
34007,Camden,HADDON TWP PD,266,0,0,13,6,37,199,11,14500,96,2018
34007,Camden,HADDONFIELD PD,106,0,1,1,4,21,78,1,11253,21,2018
34007,Camden,HI-NELLA POLICE DEPARTMENT,11,0,1,0,0,1,9,0,855,2,2018
34007,Camden,LAUREL SPRINGS PD,24,0,0,0,2,5,16,1,1856,0,2018
34007,Camden,LAWNSIDE BORO PD,128,0,0,4,2,16,103,3,2875,43,2018
34007,Camden,LINDENWOLD BORO PD,566,2,16,40,53,103,328,24,17204,142,2018
34007,Camden,MAGNOLIA PD,94,0,0,3,6,16,62,7,4237,18,2018
34007,Camden,MERCHANTVILLE PD,68,0,0,0,4,20,41,3,3712,20,2018
34007,Camden,MT. EPHRAIM PD,206,0,0,5,1,19,172,9,4565,66,2018
34007,Camden,OAKLYN BORO PD,150,0,0,5,5,37,99,4,3934,30,2018
34007,Camden,PENNSAUKEN TWP PD,1010,0,5,41,55,298,564,47,35420,121,2018
34007,Camden,PINE HILL PD,187,0,0,9,16,45,114,3,10431,29,2018
34007,Camden,PINE VALLEY BORO PD,0,0,0,0,0,0,0,0,11,0,2018
34007,Camden,RUNNEMEDE PD,215,0,0,2,5,53,147,8,8261,65,2018
34007,Camden,RUTGERS UNIV CAMPUS PD,78,0,0,1,0,2,75,0,0,3,2018
34007,Camden,SOMERDALE PD,188,0,0,6,7,32,138,5,5484,61,2018
34007,Camden,STATE POLICE CAMDEN COUNTY,39,0,0,2,7,1,21,8,,15,2018
34007,Camden,STRATFORD BORO PD,83,0,1,3,2,11,65,1,6913,23,2018
34007,Camden,TAVISTOCK BORO,1,0,0,0,0,0,1,0,5,0,2018
34007,Camden,VOORHEES TWP PD,417,0,12,10,20,35,322,18,29071,76,2018
34007,Camden,WATERFORD TWP PD,71,0,1,1,5,9,51,4,10641,8,2018
34007,Camden,WINSLOW TWP PD,576,3,20,8,33,143,357,12,38382,76,2018
34007,Camden,WOODLYNNE PD,54,0,0,4,7,5,31,7,2902,8,2018
34007,Camden,Camden County,13073,33,140,638,1158,1905,8349,850,503150,3422,2018
34007,Camden,AUDUBON PARK PD,6,0,0,0,1,0,5,0,997,1,2019
34007,Camden,AUDUBON PD,301,0,0,2,3,21,268,7,8599,94,2019
34007,Camden,BARRINGTON PD,65,0,1,1,1,8,49,5,6661,8,2019
34007,Camden,BELLMAWR PD,146,0,0,2,11,28,97,8,11312,37,2019
