"Row ID","Place ID","Place Name","Use Code","Use Level",Descriptiion,"Acreage 1986","Acreage 1995","Acreage 2002","Acreage 2007","Acreage 2012","Acreage 2015","Change in Acreage 1986 - 1995","Change in Acreage 1995 - 2002","Change in Acreage 2002 - 2007","Change in Acreage 2007 - 2012","Change in Acreage 2012 - 2015","Change in Acreage 1986 - 2015","Percentage Change 1986 - 1995","Percentage Change 1995 - 2002","Percentage Change 2002 - 2007","Percentage Change 2007 - 2012","Percentage Change 2012 - 2015","Percentage Change 1986 - 2015","Percentage Change 1986 - 1995","Percentage Change 1995 - 2002","Percentage Change 2002 - 2007","Percentage Change 2007 - 2012","Percentage Change 2012 - 2015","Percentage Change 1986 - 2015","Place Total Area"
16,0,Statewide,22,2,"Orchards, Vineyards, Nurseries, Horticultural Areas, Sod Farms","46,576.0","50,907.5","53,598.8","59,668.8","60,892.4","57,923.5","4,331.5","2,691.3","6,070.1","1,223.6","-2,968.9","11,347.5",9.3,5.29,11.32,2.05,-4.88,24.36,0.94,1.02,1.08,1.2,1.23,1.17,"4,970,017.0"
17,0,Statewide,23,2,"Confined Feeding Operations",854.3,796.4,775.0,738.4,824.1,921.0,-57.9,-21.5,-36.5,85.7,96.8,66.7,-6.77,-2.7,-4.71,11.61,11.75,7.8,0.02,0.02,0.02,0.01,0.02,0.02,"4,970,017.0"
18,0,Statewide,24,2,"Other Agriculture","23,449.8","27,859.9","33,566.5","40,898.3","47,324.6","48,406.5","4,410.2","5,706.6","7,331.8","6,426.3","1,082.0","24,956.8",18.81,20.48,21.84,15.71,2.29,106.43,0.47,0.56,0.68,0.82,0.95,0.97,"4,970,017.0"
19,0,Statewide,41,2,Deciduous Forest,"785,361.9","787,023.2","793,100.3","767,590.4","768,491.1","767,022.2","1,661.4","6,077.1","-25,510.0",900.7,"-1,468.9","-18,339.7",0.21,0.77,-3.22,0.12,-0.19,-2.34,15.8,15.84,15.96,15.44,15.46,15.43,"4,970,017.0"
20,0,Statewide,42,2,Coniferous Forest,"359,752.6","299,115.2","299,342.1","297,740.1","292,264.8","288,376.9","-60,637.3",226.9,"-1,602.0","-5,475.3","-3,887.9","-71,375.7",-16.86,0.08,-0.54,-1.84,-1.33,-19.84,7.24,6.02,6.02,5.99,5.88,5.8,"4,970,017.0"
21,0,Statewide,43,2,Mixed Forest,"222,254.9","269,464.7","297,836.9","298,789.2","305,244.6","303,345.6","47,209.8","28,372.2",952.3,"6,455.4","-1,899.0","81,090.7",21.24,10.53,0.32,2.16,-0.62,36.49,4.47,5.42,5.99,6.01,6.14,6.1,"4,970,017.0"
22,0,Statewide,44,2,Brushland/Shrubland,"273,826.3","239,157.6","183,148.4","161,702.0","160,696.5","159,537.3","-34,668.6","-56,009.2","-21,446.5","-1,005.5","-1,159.2","-114,289.0",-12.66,-23.42,-11.71,-0.62,-0.72,-41.74,5.51,4.81,3.69,3.25,3.23,3.21,"4,970,017.0"
23,0,Statewide,45,2,"Severe Burned Upland Vegetation",4.2,"7,726.8","1,778.6",494.7,782.1,418.3,"7,722.6","-5,948.2","-1,283.9",287.4,-363.9,414.1,184751.67,-76.98,-72.18,58.09,-46.52,9905.98,0,0.16,0.04,0.01,0.02,0.01,"4,970,017.0"
24,0,Statewide,51,2,"Streams and Canals","13,346.8","13,195.5","15,011.6","15,932.9","16,592.9","16,056.2",-151.2,"1,816.0",921.4,660.0,-536.7,"2,709.4",-1.13,13.76,6.14,4.14,-3.23,20.3,0.27,0.27,0.3,0.32,0.33,0.32,"4,970,017.0"
25,0,Statewide,52,2,Natural Lakes,"9,911.4","9,912.4","9,184.6","9,115.7","8,934.2","8,777.2",1.0,-727.8,-68.9,-181.5,-157.1,"-1,134.3",0.01,-7.34,-0.75,-1.99,-1.76,-11.44,0.2,0.2,0.18,0.18,0.18,0.18,"4,970,017.0"
26,0,Statewide,53,2,"Artificial Lakes","58,287.6","62,672.6","65,241.6","71,516.9","72,689.1","71,211.5","4,385.0","2,569.0","6,275.3","1,172.2","-1,477.6","12,923.9",7.52,4.1,9.62,1.64,-2.03,22.17,1.17,1.26,1.31,1.44,1.46,1.43,"4,970,017.0"
27,0,Statewide,54,2,"Bays, Estuaries & other Tidal Waters","376,915.8","377,448.8","390,700.6","398,220.5","398,490.5","395,512.6",533.0,"13,251.7","7,519.9",270.0,"-2,977.9","18,596.7",0.14,3.51,1.92,0.07,-0.75,4.93,7.58,7.59,7.86,8.01,8.02,7.96,"4,970,017.0"
28,0,Statewide,54,2,"Bays, Estuaries & other Tidal Waters","376,915.8","377,448.8","390,700.6","398,220.5","398,490.5","395,512.6",533.0,"13,251.7","7,519.9",270.0,"-2,977.9","18,596.7",0.14,3.51,1.92,0.07,-0.75,4.93,7.58,7.59,7.86,8.01,8.02,7.96,"4,970,017.0"
29,0,Statewide,61,2,"Coastal Wetlands","209,540.9","208,523.2","198,756.5","198,607.4","199,938.8","199,967.5","-1,017.7","-9,766.7",-149.1,"1,331.4",28.8,"-9,573.4",-0.49,-4.68,-0.08,0.67,0.01,-4.57,4.22,4.2,4,4,4.02,4.02,"4,970,017.0"
30,0,Statewide,62,2,"Interior Wetland","730,145.6","708,036.1","705,993.8","697,325.1","699,143.1","698,319.5","-22,109.5","-2,042.3","-8,668.7","1,818.0",-823.6,"-31,826.1",-3.03,-0.29,-1.23,0.26,-0.12,-4.36,14.69,14.25,14.21,14.03,14.07,14.05,"4,970,017.0"
31,0,Statewide,65,2,"Severe Burned Wetlands",0.0,478.5,175.6,24.3,33.1,40.2,478.5,-302.9,-151.3,8.8,7.1,40.2,100,-63.3,-86.16,36.34,21.37,100,0,0.01,0,0,0,0,"4,970,017.0"
32,0,Statewide,71,2,Beaches,"3,845.1","4,480.4","5,835.7","3,438.8","3,895.1","5,085.6",635.3,"1,355.3","-2,396.9",456.4,"1,190.5","1,240.5",16.52,30.25,-41.07,13.27,30.56,32.26,0.08,0.09,0.12,0.07,0.08,0.1,"4,970,017.0"
33,0,Statewide,72,2,"Bare Exposed Rock, Rockslides, etc.",258.2,357.3,335.8,386.9,402.0,389.9,99.1,-21.5,51.1,15.1,-12.1,131.7,38.37,-6.01,15.23,3.9,-3.01,51.01,0.01,0.01,0.01,0.01,0.01,0.01,"4,970,017.0"
34,0,Statewide,73,2,"Extractive Mining","29,094.2","23,573.0","18,436.8","16,200.2","15,454.2","15,817.7","-5,521.1","-5,136.2","-2,236.6",-746.1,363.5,"-13,276.5",-18.98,-21.79,-12.13,-4.61,2.35,-45.63,0.59,0.47,0.37,0.33,0.31,0.32,"4,970,017.0"
35,0,Statewide,74,2,"Altered Lands","39,363.6","58,347.4","43,303.6","45,251.0","37,922.0","39,298.3","18,983.9","-15,043.9","1,947.4","-7,329.0","1,376.3",-65.3,48.23,-25.78,4.5,-16.2,3.63,-0.17,0.79,1.17,0.87,0.91,0.76,0.79,"4,970,017.0"
36,0,Statewide,74,2,"Altered Lands","39,363.6","58,347.4","43,303.6","45,251.0","37,922.0","39,298.3","18,983.9","-15,043.9","1,947.4","-7,329.0","1,376.3",-65.3,48.23,-25.78,4.5,-16.2,3.63,-0.17,0.79,1.17,0.87,0.91,0.76,0.79,"4,970,017.0"
37,0,Statewide,75,2,"Transitional Areas (sites under construction)","11,189.3","16,515.5","24,733.8","18,658.6","15,162.5","17,787.6","5,326.2","8,218.3","-6,075.2","-3,496.1","2,625.1","6,598.2",47.6,49.76,-24.56,-18.74,17.31,58.97,0.23,0.33,0.5,0.38,0.31,0.36,"4,970,017.0"
38,0,Statewide,76,2,"Undifferentiated Barren Lands","4,274.0","2,451.1","1,289.2",472.3,356.9,355.5,"-1,822.9","-1,162.0",-816.9,-115.4,-1.4,"-3,918.5",-42.65,-47.41,-63.36,-24.44,-0.39,-91.68,0.09,0.05,0.03,0.01,0.01,0.01,"4,970,017.0"
39,0,Statewide,80,2,"Managed Wetlands (Modified)",611.8,0.0,0.0,0.0,.0,.0,-611.8,.0,0.0,0.0,0.0,-611.8,-100,0,0,0,0,-100,0.01,0,0,0,0,0,"4,970,017.0"
40,0,Statewide,1100,3,Residential,"7,681.1",0.0,0.0,0.0,.0,.0,"-7,681.1",.0,0.0,0.0,0.0,"-7,681.1",-100,0,0,0,0,-100,0.15,0,0,0,0,0,"4,970,017.0"
41,0,Statewide,1110,3,"Residential (High Density or Multiple Dwelling)","115,028.8","127,657.6","133,267.7","139,035.5","141,093.4","142,841.7","12,628.9","5,610.1","5,767.8","2,057.8","1,748.4","27,813.0",10.98,4.39,4.33,1.48,1.24,24.18,2.31,2.57,2.68,2.8,2.84,2.87,"4,970,017.0"
42,0,Statewide,1120,3,"Residential (Single Unit, Medium Density)","330,473.2","352,163.9","363,512.4","374,718.2","378,271.1","379,885.1","21,690.7","11,348.5","11,205.7","3,552.9","1,614.1","49,412.0",6.56,3.22,3.08,0.95,0.43,14.95,6.65,7.09,7.31,7.54,7.61,7.64,"4,970,017.0"
43,0,Statewide,1130,3,"Residential (Single Unit, Low Density)","143,086.6","165,130.0","178,503.3","189,467.3","191,384.2","192,174.9","22,043.3","13,373.3","10,964.0","1,916.9",790.7,"49,088.3",15.41,8.1,6.14,1.01,0.41,34.31,2.88,3.32,3.59,3.81,3.85,3.87,"4,970,017.0"
44,0,Statewide,1140,3,"Residential (Rural, Single Unit)","183,295.9","230,060.0","268,323.5","293,034.5","301,729.1","304,324.9","46,764.1","38,263.5","24,711.0","8,694.6","2,595.8","121,029.1",25.51,16.63,9.21,2.97,0.86,66.03,3.69,4.63,5.4,5.9,6.07,6.12,"4,970,017.0"
45,0,Statewide,1150,3,"Mixed Residential",883.8,"1,036.1",568.0,688.8,713.1,708.3,152.3,-468.1,120.8,24.2,-4.8,-175.5,17.24,-45.18,21.27,3.52,-0.67,-19.86,0.02,0.02,0.01,0.01,0.01,0.01,"4,970,017.0"
46,0,Statewide,1200,3,"Commercial and Services","110,271.6","121,091.8","129,296.3","137,976.0","142,740.6","144,557.3","10,820.2","8,204.5","8,679.7","4,764.7","1,816.6","34,285.7",9.81,6.78,6.71,3.45,1.27,31.09,2.22,2.44,2.6,2.78,2.87,2.91,"4,970,017.0"
47,0,Statewide,1211,3,"Military Installations","8,109.8","7,785.7","8,631.0","8,455.3","8,553.1","8,597.7",-324.1,845.3,-175.7,97.9,44.6,487.9,-4,10.86,-2.04,1.16,0.52,6.02,0.16,0.16,0.17,0.17,0.17,0.17,"4,970,017.0"
48,0,Statewide,1214,3,"Former Military; Indeterminate Use",33.4,497.2,189.9,617.2,651.4,333.2,463.8,-307.3,427.4,34.2,-318.2,299.9,1390.38,-61.81,225.09,5.54,-48.85,898.86,0,0.01,0,0.01,0.01,0.01,"4,970,017.0"
49,0,Statewide,1300,3,Industrial,"63,480.7","65,998.2","67,615.9","66,324.3","65,842.1","65,010.5","2,517.5","1,617.7","-1,291.6",-482.2,-831.6,"1,529.8",3.97,2.45,-1.91,-0.73,-1.26,2.41,1.28,1.33,1.36,1.33,1.32,1.31,"4,970,017.0"
50,0,Statewide,1400,3,Transportation,"65,570.4","70,111.6","31,378.0","27,117.8","29,849.0","31,492.0","4,541.2","-38,733.6","-4,260.1","2,731.2","1,643.0","-34,078.4",6.93,-55.25,-13.58,10.07,5.5,-51.97,1.32,1.41,0.63,0.55,0.6,0.63,"4,970,017.0"
51,0,Statewide,1410,3,"Major Roadway",0.0,0.0,"25,607.5","30,062.1","30,855.8","31,542.1",0.0,"25,607.5","4,454.6",793.7,686.3,"31,542.1",0,100,17.4,2.64,2.22,100,0,0,0.52,0.6,0.62,0.63,"4,970,017.0"
52,0,Statewide,1411,3,"Mixed transportation Corridor Overlap Areas",0.0,0.0,0.0,66.5,79.6,80.7,0.0,.0,66.5,13.1,1.0,80.7,0,0,100,19.73,1.28,100,0,0,0,0,0,0,"4,970,017.0"
53,0,Statewide,1419,3,"Bridge Over Water",0.0,0.0,371.8,408.0,426.2,418.5,0.0,371.8,36.3,18.1,-7.7,418.5,0,100,9.76,4.45,-1.8,100,0,0,0.01,0.01,0.01,0.01,"4,970,017.0"
54,0,Statewide,1420,3,"Railroad Facilities",0.0,0.0,0.0,"10,286.7","10,445.6","10,447.4",0.0,.0,"10,286.7",158.9,1.7,"10,447.4",0,0,100,1.54,0.02,100,0,0,0,0.21,0.21,0.21,"4,970,017.0"
55,0,Statewide,1440,3,"Airport Facilities",0.0,0.0,"4,259.1","4,763.3","4,801.0","4,858.0",0.0,"4,259.1",504.3,37.7,57.0,"4,858.0",0,100,11.84,0.79,1.19,100,0,0,0.09,0.1,0.1,0.1,"4,970,017.0"
56,0,Statewide,1461,3,"Wetland Rights-of-Way(WETLANDS)","4,149.9","4,313.5","6,422.0","6,262.3","6,414.2","6,572.2",163.5,"2,108.6",-159.7,151.9,158.0,"2,422.2",3.94,48.88,-2.49,2.43,2.46,58.37,0.08,0.09,0.13,0.13,0.13,0.13,"4,970,017.0"
57,0,Statewide,1462,3,"Upland Rights-of-Way, Developed",0.0,0.0,"2,036.8","2,341.4","2,451.6","2,420.7",0.0,"2,036.8",304.6,110.1,-30.8,"2,420.7",0,100,14.95,4.7,-1.26,100,0,0,0.04,0.05,0.05,0.05,"4,970,017.0"
58,0,Statewide,1463,3,"Upland Rights-of-Way, Undeveloped",0.0,0.0,"15,796.1","16,001.1","16,492.3","17,026.5",0.0,"15,796.1",205.0,491.2,534.1,"17,026.5",0,100,1.3,3.07,3.24,100,0,0,0.32,0.32,0.33,0.34,"4,970,017.0"
59,0,Statewide,1499,3,Stormwater Basin,0.0,0.0,"8,386.4","13,281.7","15,209.3","16,391.0",0.0,"8,386.4","4,895.3","1,927.6","1,181.7","16,391.0",0,100,58.37,14.51,7.77,100,0,0,0.17,0.27,0.31,0.33,"4,970,017.0"
60,0,Statewide,1500,3,"Industrial and Commercial Complexes",377.7,419.0,540.8,754.5,"1,086.2","1,278.5",41.3,121.8,213.7,331.7,192.3,900.8,10.93,29.08,39.51,43.96,17.7,238.49,0.01,0.01,0.01,0.02,0.02,0.03,"4,970,017.0"
61,0,Statewide,1600,3,"Mixed Urban or Built-up Land","1,444.0","1,409.3","1,566.7","2,377.4","2,719.2","2,683.1",-34.7,157.5,810.7,341.8,-36.1,"1,239.1",-2.41,11.17,51.74,14.38,-1.33,85.81,0.03,0.03,0.03,0.05,0.05,0.05,"4,970,017.0"
62,0,Statewide,1700,3,"Other Urban or Built-up Land","103,512.5","117,829.4","96,425.6","103,986.4","97,810.2","95,877.3","14,317.0","-21,403.8","7,560.7","-6,176.2","-1,932.9","-7,635.2",13.83,-18.17,7.84,-5.94,-1.98,-7.38,2.08,2.37,1.94,2.09,1.97,1.93,"4,970,017.0"
63,0,Statewide,1710,3,Cemetery,0.0,0.0,"10,812.0","11,011.7","11,148.3","11,216.1",0.0,"10,812.0",199.7,136.6,67.8,"11,216.1",0,100,1.85,1.24,0.61,100,0,0,0.22,0.22,0.22,0.23,"4,970,017.0"
64,0,Statewide,1711,3,"Cemetery on Wetland",0.0,0.0,115.8,111.2,138.6,147.9,0.0,115.8,-4.6,27.4,9.3,147.9,0,100,-3.93,24.62,6.72,100,0,0,0,0,0,0,"4,970,017.0"
65,0,Statewide,1741,3,"Phragmites Dominate Urban Area",0.0,0.0,145.5,121.5,112.7,93.4,0.0,145.5,-24.0,-8.8,-19.3,93.4,0,100,-16.47,-7.27,-17.14,100,0,0,0,0,0,0,"4,970,017.0"
66,0,Statewide,1750,3,"Managed Wetland, in Maintained Lawn Green space ","4,727.4","5,727.3","4,277.9","3,879.4","3,641.0","3,644.4",999.9,"-1,449.4",-398.5,-238.4,3.5,"-1,083.0",21.15,-25.31,-9.31,-6.15,0.09,-22.91,0.1,0.12,0.09,0.08,0.07,0.07,"4,970,017.0"
67,0,Statewide,1800,3,"Recreational Land","60,850.2","66,309.0","76,438.8","81,307.1","84,941.1","85,689.1","5,458.8","10,129.8","4,868.3","3,634.0",748.0,"24,838.9",8.97,15.28,6.37,4.47,0.88,40.82,1.22,1.33,1.54,1.64,1.71,1.72,"4,970,017.0"
68,0,Statewide,1804,3,"Athletic Fields (Schools)","14,251.7","14,838.3","15,616.8","16,281.8","16,560.1","16,547.2",586.7,778.4,665.1,278.2,-12.9,"2,295.5",4.12,5.25,4.26,1.71,-0.08,16.11,0.29,0.3,0.31,0.33,0.33,0.33,"4,970,017.0"
69,0,Statewide,1810,3,"Stadium, Theaters, Cultural Centers, and Zoos",0.0,0.0,"1,628.4","2,211.7","2,824.1","2,933.1",0.0,"1,628.4",583.3,612.4,108.9,"2,933.1",0,100,35.82,27.69,3.86,100,0,0,0.03,0.04,0.06,0.06,"4,970,017.0"
70,0,Statewide,1850,3,"Managed Wetland, in Built-up Maintained Rec Area","2,409.1","3,182.1","3,857.2","4,365.9","4,503.2","4,430.0",773.0,675.1,508.8,137.3,-73.2,"2,020.9",32.09,21.22,13.19,3.14,-1.63,83.89,0.05,0.06,0.08,0.09,0.09,0.09,"4,970,017.0"
71,0,Statewide,2100,3,"Cropland and Pastureland","673,498.8","579,450.2","508,862.0","464,738.0","436,776.3","436,253.4","-94,048.6","-70,588.3","-44,123.9","-27,961.8",-522.9,"-237,245.5",-13.96,-12.18,-8.67,-6.02,-0.12,-35.23,13.55,11.66,10.24,9.35,8.79,8.78,"4,970,017.0"
72,0,Statewide,2140,3,"Agricultural Wetlands (Cranberry Farms & Modified Uplands)","84,992.8","78,317.3","74,611.9","72,533.8","69,449.7","69,274.0","-6,675.6","-3,705.3","-2,078.2","-3,084.0",-175.8,"-15,718.9",-7.85,-4.73,-2.79,-4.25,-0.25,-18.49,1.71,1.58,1.5,1.46,1.4,1.39,"4,970,017.0"
73,0,Statewide,2150,3," Former Agricultural Wetlands - Becoming Shrubby, not Built-up ",0.0,"5,380.5",0.0,"3,228.4",.0,.0,"5,380.5","-5,380.5","3,228.4","-3,228.4",0.0,0.0,100,-100,100,-100,0,0,0,0.11,0,0.06,0,0,"4,970,017.0"
74,0,Statewide,2200,3,"Orchards, Vineyards, Nurseries, Horticultural Areas, Sod Farms","46,565.9","50,907.5","53,598.8","59,668.8","60,892.4","57,923.5","4,341.6","2,691.3","6,070.1","1,223.6","-2,968.9","11,357.6",9.32,5.29,11.32,2.05,-4.88,24.39,0.94,1.02,1.08,1.2,1.23,1.17,"4,970,017.0"
75,0,Statewide,2260,3,"Cranberry Farms",10.0,0.0,0.0,0.0,.0,.0,-10.0,.0,0.0,0.0,0.0,-10.0,-100,0,0,0,0,-100,0,0,0,0,0,0,"4,970,017.0"
76,0,Statewide,2300,3,"Confined Feeding Operations",854.3,796.4,775.0,738.4,824.1,921.0,-57.9,-21.5,-36.5,85.7,96.8,66.7,-6.77,-2.7,-4.71,11.61,11.75,7.8,0.02,0.02,0.02,0.01,0.02,0.02,"4,970,017.0"
77,0,Statewide,2400,3,"Other Agriculture","23,449.8","27,859.9","33,566.5","40,898.3","47,324.6","48,406.5","4,410.2","5,706.6","7,331.8","6,426.3","1,082.0","24,956.8",18.81,20.48,21.84,15.71,2.29,106.43,0.47,0.56,0.68,0.82,0.95,0.97,"4,970,017.0"
78,0,Statewide,4100,3,Deciduous Forest,"41,458.5",0.0,0.0,0.0,.0,.0,"-41,458.5",.0,0.0,0.0,0.0,"-41,458.5",-100,0,0,0,0,-100,0.83,0,0,0,0,0,"4,970,017.0"
79,0,Statewide,4110,3,"Deciduous Forest (10-50% Crown Closure)","32,104.6","44,064.3","79,858.8","73,188.7","73,503.7","72,665.6","11,959.7","35,794.5","-6,670.1",315.0,-838.2,"40,561.0",37.25,81.23,-8.35,0.43,-1.14,126.34,0.65,0.89,1.61,1.47,1.48,1.46,"4,970,017.0"
80,0,Statewide,4120,3,"Deciduous Forest (>50% Crown Closure)","711,798.5","742,958.9","713,241.5","694,401.7","694,987.6","694,356.6","31,160.4","-29,717.3","-18,839.8",585.8,-631.0,"-17,441.9",4.38,-4,-2.64,0.08,-0.09,-2.45,14.32,14.95,14.35,13.97,13.98,13.97,"4,970,017.0"
81,0,Statewide,4200,3,Coniferous Forest,"70,408.9",0.0,0.0,0.0,.0,.0,"-70,408.9",.0,0.0,0.0,0.0,"-70,408.9",-100,0,0,0,0,-100,1.42,0,0,0,0,0,"4,970,017.0"
82,0,Statewide,4210,3,"Coniferous Forest (10-50% Crown Closure)","34,399.4","37,901.6","50,991.2","58,663.0","62,157.0","63,185.9","3,502.2","13,089.6","7,671.9","3,494.0","1,028.9","28,786.5",10.18,34.54,15.05,5.96,1.66,83.68,0.69,0.76,1.03,1.18,1.25,1.27,"4,970,017.0"
83,0,Statewide,4220,3,"Coniferous Forest (>50% Crown Closure)","249,058.2","254,877.9","242,481.0","234,043.8","225,410.5","220,994.9","5,819.7","-12,396.9","-8,437.2","-8,633.3","-4,415.7","-28,063.3",2.34,-4.86,-3.48,-3.69,-1.96,-11.27,5.01,5.13,4.88,4.71,4.54,4.45,"4,970,017.0"
84,0,Statewide,4230,3,Plantation,"5,886.0","6,335.9",0.0,"5,033.1",.0,.0,449.9,"-6,335.9","5,033.1","-5,033.1",0.0,"-5,886.0",7.64,-100,100,-100,0,-100,0.12,0.13,0,0.1,0,0,"4,970,017.0"
85,0,Statewide,4310,3,"Mixed with Coniferous Prevalent (> 50% Coniferous)","7,499.3",0.0,0.0,0.0,.0,.0,"-7,499.3",.0,0.0,0.0,0.0,"-7,499.3",-100,0,0,0,0,-100,0.15,0,0,0,0,0,"4,970,017.0"
86,0,Statewide,4311,3,"Mixed Forest (>50% Coniferous with 10-50% Crown Closure)","3,404.8","5,923.1","15,628.9","15,631.4","13,394.3","13,206.2","2,518.3","9,705.8",2.6,"-2,237.1",-188.1,"9,801.4",73.96,163.86,0.02,-14.31,-1.4,287.87,0.07,0.12,0.31,0.31,0.27,0.27,"4,970,017.0"
87,0,Statewide,4312,3,"Mixed Forest (>50% Coniferous with >50% Crown Closure)","89,793.7","118,715.4","126,896.6","123,796.8","129,576.9","127,842.1","28,921.8","8,181.2","-3,099.8","5,780.0","-1,734.8","38,048.5",32.21,6.89,-2.44,4.67,-1.34,42.37,1.81,2.39,2.55,2.49,2.61,2.57,"4,970,017.0"
88,0,Statewide,4320,3," Mixed with Deciduous Prevalent (> 50% Deciduous)","11,134.5",0.0,0.0,0.0,.0,.0,"-11,134.5",.0,0.0,0.0,0.0,"-11,134.5",-100,0,0,0,0,-100,0.22,0,0,0,0,0,"4,970,017.0"
