CountyFIPS,County,Agency,Total,Violent,Non-violent,Number of Clearances,Population
34003,Bergen,Englewood PD,582,75,325,128,
34003,Bergen,Fair Lawn PD,485,23,356,207,
34003,Bergen,Fairview PD,223,21,136,81,
34003,Bergen,Fort Lee PD,442,26,298,129,
34003,Bergen,Franklin Lakes Boro PD,83,1,71,20,
34003,Bergen,Garfield PD,862,59,563,303,
34003,Bergen,Glen Rock PD,100,2,93,29,
34003,Bergen,Hackensack PD,1061,94,672,280,
34003,Bergen,Harrington Park PD,9,1,8,10,
34003,Bergen,Hasbrouck Heights PD,85,2,61,33,
34003,Bergen,Haworth PD,7,0,6,1,
34003,Bergen,Hillsdale PD,48,0,35,9,
34003,Bergen,Ho-Ho-Kus PD,38,2,30,20,
34003,Bergen,Leonia PD,56,3,42,14,
34003,Bergen,Little Ferry PD,193,11,127,26,
34003,Bergen,Lodi PD,591,43,368,143,
34003,Bergen,Lyndhurst PD,300,9,225,102,
34003,Bergen,Mahwah TWP PD,176,9,146,60,
34003,Bergen,Maywood PD,98,4,77,44,
34003,Bergen,Midland Park PD,80,4,57,48,
34003,Bergen,Montvale PD,33,1,29,6,
34003,Bergen,Moonachie PD,85,1,66,7,
34003,Bergen,New Milford PD,112,2,75,23,
34003,Bergen,North Arlington PD,214,16,143,58,
34003,Bergen,Northvale PD,13,0,13,13,
34003,Bergen,Norwood PD,28,0,24,5,
34003,Bergen,Oakland PD,121,8,79,35,
34003,Bergen,Old Tappan PD,18,0,14,4,
34003,Bergen,Oradell PD,35,2,26,11,
34003,Bergen,Palisades Inter. Parkway P,8,2,4,3,
34003,Bergen,Palisades PD,177,15,126,68,
34003,Bergen,Paramus PD,1263,14,1154,578,
34003,Bergen,Park Ridge PD,19,1,18,0,
34003,Bergen,Ramsey PD,174,5,139,46,
34003,Bergen,Ridgefield Boro PD,109,2,73,37,
34003,Bergen,Ridgefield Park PD,240,8,166,49,
34003,Bergen,Ridgewood Village PD,247,6,175,72,
34003,Bergen,River Edge PD,82,2,63,17,
34003,Bergen,River Vale PD,18,0,26,7,
34003,Bergen,Rochelle Park PD,101,2,92,20,
34003,Bergen,Rockleigh Borough,3,2,1,2,
34003,Bergen,Rutherford PD,261,11,206,56,
34003,Bergen,Saddle Brook PD,295,9,247,102,
34003,Bergen,Saddle River PD,21,0,19,7,
34003,Bergen,South Hackensack PD,92,10,65,47,
34003,Bergen,State Police Bergen County,115,8,49,60,
34003,Bergen,Teaneck,445,55,390,120,
34003,Bergen,Tenafly PD,71,1,65,12,
34003,Bergen,Teterboro Borough,141,5,123,50,
34003,Bergen,Upper Saddle River PD,22,2,18,7,
34003,Bergen,Waldwick PD,72,3,64,17,
34003,Bergen,Wallington PD,178,6,141,62,
34003,Bergen,Washington TWP PD,31,3,15,20,
34003,Bergen,Westwood PD,63,9,49,24,
34003,Bergen,Wood-Ridge PD,78,3,67,4,
34003,Bergen,Woodcliff Lake PD,26,1,24,8,
34003,Bergen,Wyckoff TWP PD,159,8,107,69,
34005,Burlington,Beverly City PD,70,17,37,31,
34005,Burlington,Bordentown City PD,52,0,43,20,
34005,Burlington,Bordentown TWP PD,147,12,119,43,
34005,Burlington,Burlington,8684,670,6316,2362,
34005,Burlington,Burlington City PD,355,45,250,94,
34005,Burlington,Burlington TWP PD,397,34,308,190,
34005,Burlington,Chesterfield TWP PD,24,0,21,5,
34005,Burlington,Cinnaminson PD,365,8,336,116,
34005,Burlington,Delanco TWP PD,114,4,92,26,
34005,Burlington,Delran TWP PD,300,11,263,54,
34005,Burlington,Eastampton TWP PD,90,3,77,9,
34005,Burlington,Edgewater Park TWP PD,200,13,138,76,
34005,Burlington,Evesham TWP PD,727,28,562,183,
34005,Burlington,Fieldsboro PD,0,0,0,0,
34005,Burlington,Florence TWP PD,110,19,82,39,
34005,Burlington,Lumberton TWP PD,307,23,228,70,
34005,Burlington,Mansfield TWP PD,89,5,72,30,
34005,Burlington,Maple Shade PD,631,31,456,113,
34005,Burlington,Medford Lakes PD,29,0,24,6,
34005,Burlington,Medford TWP PD,177,13,133,63,
34005,Burlington,Moorestown PD,318,10,274,98,
34005,Burlington,Mount Holly PD,490,42,340,61,
34005,Burlington,Mount Laurel TWP PD,720,38,570,141,
34005,Burlington,New Hanover TWP PD,4,0,4,4,
34005,Burlington,North Hanover TWP PD,48,3,29,24,
34005,Burlington,Palmyra Boro PD,204,15,143,75,
34005,Burlington,Pemberton Boro PD,49,1,31,13,
34005,Burlington,Pemberton TWP PD,924,117,567,229,
34005,Burlington,Riverside PD,36,9,16,36,
34005,Burlington,Riverton Boro PD,42,0,39,10,
34005,Burlington,Springfield TWP PD,35,0,31,6,
34005,Burlington,State Police Burlington County,492,44,306,186,
34005,Burlington,Westampton TWP PD,220,26,160,41,
34005,Burlington,Willingboro PD,793,92,552,202,
34007,Camden,Audubon Park PD,52,0,47,19,
34007,Camden,Audubon PD,328,8,291,221,
34007,Camden,Barrington PD,148,3,136,21,
34007,Camden,Bellmawr PD,268,10,231,53,
34007,Camden,Berlin Boro PD,184,10,139,76,
34007,Camden,Berlin TWP PD,180,10,137,82,
34007,Camden,Brooklawn PD,252,20,197,123,
34007,Camden,Camden,19961,2245,12190,6388,
34007,Camden,Camden Co Sheriff's Dept,75,2,21,57,
34007,Camden,Camden PD,6747,1462,2526,2265,
34007,Camden,Cherry Hill TWP PD,2657,96,2075,924,
34007,Camden,Chesilhurst PD,38,3,20,13,
34007,Camden,Clementon Boro PD,241,17,170,35,
34007,Camden,Collingswood PD,482,24,352,147,
34007,Camden,Gibbsboro PD,45,1,38,3,
34007,Camden,Gloucester City PD,341,21,280,74,
34007,Camden,Gloucester TWP PD,1533,101,1130,482,
34007,Camden,Haddon Heights PD,83,3,67,27,
34007,Camden,Haddon TWP PD,413,15,321,179,
34007,Camden,Haddonfield PD,194,5,176,36,
34007,Camden,Hi-Nella Police Department,24,4,16,9,
34007,Camden,Laurel Springs PD,48,2,43,2,
34007,Camden,Lawnside Boro PD,138,9,117,64,
34007,Camden,Lindenwold Boro PD,965,109,504,351,
34007,Camden,Magnolia PD,143,13,102,29,
34007,Camden,Merchantville PD,95,9,69,33,
34007,Camden,Mt. Ephraim PD,236,9,195,89,
34007,Camden,Oaklyn Boro PD,163,2,145,40,
34007,Camden,Pennsauken TWP PD,1193,99,927,227,
34007,Camden,Pine Hill PD,402,32,249,71,
34007,Camden,Runnemede PD,304,7,265,84,
34007,Camden,Rutgers Univ Campus PD,88,5,72,15,
34007,Camden,Somerdale PD,288,6,255,104,
34007,Camden,State Police Camden County,49,12,27,24,
34007,Camden,Stratford Boro PD,137,6,90,46,
34007,Camden,Tavistock Boro,2,1,1,0,
34007,Camden,Voorhees TWP PD,590,61,410,147,
34007,Camden,Waterford TWP PD,141,3,79,36,
34007,Camden,Winslow TWP PD,317,32,171,162,
34007,Camden,Woodlynne PD,93,8,51,0,
34009,Cape May,Avalon Boro PD,216,1,190,26,
34009,Cape May,Cape May,3589,192,2701,1008,
34009,Cape May,Cape May City PD,116,0,93,21,
34009,Cape May,Cape May Co Sheriff's Office,3,0,0,3,
34009,Cape May,Cape May Point Boro PD,7,0,7,0,
34009,Cape May,Lower TWP PD,444,32,326,124,
34009,Cape May,Middle TWSP PD,674,36,469,235,
34009,Cape May,North Wildwood City PD,208,13,169,47,
34009,Cape May,Ocean City PD,429,12,385,104,
34009,Cape May,Sea Isle City PD,177,1,175,4,
34009,Cape May,State Police Cape May County,380,20,238,216,
34009,Cape May,Stone Harbor Boro PD,100,1,98,32,
34009,Cape May,West Cape May Boro PD,7,0,6,3,
34009,Cape May,West Wildwood Boro PD,8,2,5,2,
34009,Cape May,Wildwood Crest Boro PD,117,9,87,31,
34009,Cape May,Wildwood PD,690,65,450,160,
34011,Cumberland,Bridgeton PD,1824,272,994,216,
34011,Cumberland,Cumberland,8759,809,5479,2433,
34011,Cumberland,Cumberland Co Sheriff's Dept,1,0,1,1,
34011,Cumberland,Millville PD,2158,160,1554,490,
34011,Cumberland,State Police Cumberland County,806,72,510,523,
34011,Cumberland,Vineland PD,3915,298,2414,1163,
34013,Essex,Belleville PD,944,81,647,275,
34013,Essex,Bloomfield PD,963,57,783,308,
34013,Essex,Caldwell PD,79,8,56,9,
34013,Essex,Cedar Grove PD,117,4,94,24,
34013,Essex,East Orange PD,2473,473,1059,812,
34013,Essex,Essex,26515,4280,16479,5283,
34013,Essex,Essex Co Sheriff's Office,214,65,58,66,
34013,Essex,Essex County College PD,69,3,60,2,
34013,Essex,Essex Fells PD,13,0,13,0,
34013,Essex,Fairfield PD,223,4,192,67,
34013,Essex,Glen Ridge PD,187,7,157,46,
34013,Essex,Irvington PD,2450,445,1409,505,
34013,Essex,Livingston PD,400,9,339,192,
34013,Essex,Maplewood PD,530,35,414,188,
34013,Essex,Millburn PD,470,7,438,155,
34013,Essex,Montclair PD,814,60,650,174,
34013,Essex,Montclair State College PD,89,5,72,17,
34013,Essex,New Jersey Insitute of Technology,95,5,82,20,
34013,Essex,New Jersey Transit Police,447,43,298,243,
34013,Essex,Newark PD,12112,2543,6794,1542,
34013,Essex,North Caldwell PD,23,2,15,7,
34013,Essex,Nutley PD,301,22,224,78,
34013,Essex,Orange PD,1403,245,977,131,
34013,Essex,Roseland PD,60,3,48,23,
34013,Essex,Rutgers Newark Campus,330,20,250,68,
34013,Essex,South Orange PD,337,29,282,107,
34013,Essex,State Police Essex County,45,11,15,14,
34013,Essex,Verona PD,82,4,76,5,
34013,Essex,West Caldwell PD,92,8,66,39,
34013,Essex,West Orange PD,1123,93,839,221,
34015,Gloucester,Clayton PD,191,12,124,78,
34015,Gloucester,Deptford TWP PD,1507,60,1227,312,
34015,Gloucester,East Greenwich TWP PD,89,7,59,16,
34015,Gloucester,Elk TWP PD,77,6,53,31,
34015,Gloucester,Franklin TWP PD,325,14,215,74,
34015,Gloucester,Glassboro PD,606,17,395,171,
34015,Gloucester,Gloucester,7914,378,5667,2943,
34015,Gloucester,Gloucester Co Sheriff's Department,21,1,3,9,
34015,Gloucester,Greenwich TWP PD,132,6,81,49,
34015,Gloucester,Harrison TWP PD,158,6,102,67,
34015,Gloucester,Logan TWP PD,173,6,146,52,
34015,Gloucester,Mantua TWP PD,302,13,266,132,
34015,Gloucester,Monroe TWP PD,784,44,548,466,
34015,Gloucester,National Park PD,70,4,43,37,
34015,Gloucester,Newfield PD,26,0,16,8,
34015,Gloucester,Paulsboro,314,28,196,83,
34015,Gloucester,Pitman PD,82,1,67,20,
34015,Gloucester,Rowan University of NJ,196,10,151,60,
34015,Gloucester,South Harrison PD,13,0,13,1,
34015,Gloucester,State Police Gloucester Co,29,4,16,19,
34015,Gloucester,Swedesboro PD,25,1,15,11,
34015,Gloucester,Washington TWP PD,1195,58,764,636,
34015,Gloucester,Wenonah PD,20,0,20,1,
34015,Gloucester,West Deptford TWP PD,505,12,349,264,
34015,Gloucester,Westville PD,205,14,138,38,
34015,Gloucester,Woodbury City PD,697,47,535,247,
34015,Gloucester,Woodbury Heights PD,104,2,73,26,
34015,Gloucester,Woolwich TWP PD,81,4,66,33,
34017,Hudson,Bayonne PD,1184,140,810,336,
34017,Hudson,East Newark PD,41,1,40,0,
34017,Hudson,Guttenberg PD,216,22,111,41,
34017,Hudson,Harrison PD,464,58,341,90,
34017,Hudson,Hoboken PD,1478,131,1064,434,
34017,Hudson,Hudson,16703,2211,11072,3889,
34017,Hudson,Jersey City PD,7394,1365,4841,1415,
34017,Hudson,Kearny PD,762,51,632,264,
34017,Hudson,North Bergen PD,901,96,485,372,
34017,Hudson,Port Authority of NY and NJ,547,22,496,114,
34017,Hudson,Secaucus PD,622,33,454,161,
34017,Hudson,State Police Hudson County,18,6,6,4,
34017,Hudson,Stevens Institute of Technology,33,0,33,0,
34017,Hudson,Union City PD,2019,164,1235,372,
34017,Hudson,Weehawken PD,364,15,300,93,
34017,Hudson,West New York PD,940,108,525,212,
34019,Hunterdon,Califon Borough,4,0,2,3,
34019,Hunterdon,Clinton Town PD,22,2,11,16,
34019,Hunterdon,Clinton TWP PD,90,1,71,43,
34019,Hunterdon,Delaware TWP PD,19,1,17,13,
34019,Hunterdon,Flemington PD,122,9,79,46,
34019,Hunterdon,Franklin TWP PD,17,0,17,11,
34019,Hunterdon,Frenchtown Boro PD,13,1,10,0,
34019,Hunterdon,High Bridge Boro PD,34,0,31,6,
34019,Hunterdon,Holland TWP PD,21,3,12,13,
34019,Hunterdon,Hunterdon,983,49,678,351,
34019,Hunterdon,Lambertville City PD,62,5,45,22,
34019,Hunterdon,Lebanon TWP PD,33,1,30,7,
34019,Hunterdon,Raritan TWP PD,120,5,91,44,
34019,Hunterdon,Readington PD,115,2,79,31,
34019,Hunterdon,State Police Hunterdon County,200,15,117,59,
34019,Hunterdon,Tewksbury TWP PD,22,0,19,3,
34019,Hunterdon,West Amwell TWP PD,45,2,31,17,
34021,Mercer,College of New Jersey,80,2,78,5,
34021,Mercer,Dept of Corrections,200,33,0,200,
34021,Mercer,East Windsor TWP PD,318,22,235,141,
34021,Mercer,Ewing TWP PD,1007,76,743,277,
34021,Mercer,Hamilton TWP PD,2376,126,1922,562,
34021,Mercer,Hightstown PD,77,5,40,40,
34021,Mercer,Hopewell Borough,17,2,13,7,
34021,Mercer,Hopewell TWP PD,141,7,99,34,
34021,Mercer,Lawrence TWP PD,862,19,693,387,
34021,Mercer,Mercer,11614,1406,7032,3150,
34021,Mercer,Mercer Co Sheriff's Dept,35,6,19,32,
34021,Mercer,NJ Department of Human Se,1838,15,43,17,
34021,Mercer,NJ Division Criminal Justice-Tru,0,0,0,0,
34021,Mercer,"NJ Division of Fish, Game & V",3,1,2,1,
34021,Mercer,NJ Park Police,79,5,58,9,
34021,Mercer,Pennington Boro PD,11,0,8,4,
34021,Mercer,Princeton PD,270,7,229,55,
34021,Mercer,Princeton University Police,284,3,269,25,
34021,Mercer,Robbinsville Township Police,84,1,83,10,
34021,Mercer,State Police Mercer County,89,7,71,14,
34021,Mercer,Trenton PD,5013,1083,2193,1369,
34021,Mercer,West Windsor TWP PD,359,21,301,107,
34023,Middlesex,Carteret PD,568,44,326,148,
34023,Middlesex,Cranbury TWP PD,28,0,27,6,
34023,Middlesex,Dunellen PD,180,10,139,50,
34023,Middlesex,East Brunswick TWP PD,904,24,673,365,
34023,Middlesex,Edison TWP PD,1611,112,1210,467,
34023,Middlesex,Helmetta PD,17,1,10,9,
34023,Middlesex,Highland Park PD,260,5,186,66,
34023,Middlesex,Jamesburg PD,94,8,59,42,
34023,Middlesex,Metuchen PD,231,12,175,29,
34023,Middlesex,Middlesex,15802,1168,10936,3841,
34023,Middlesex,Middlesex Boro PD,169,8,132,97,
34023,Middlesex,Middlesex Co College PD,18,1,13,0,
34023,Middlesex,Milltown PD,140,7,119,66,
34023,Middlesex,Monroe TWP PD,188,4,153,52,
34023,Middlesex,New Brunswick PD,2367,360,1341,350,
34023,Middlesex,North Brunswick TWP PD,950,49,688,262,
34023,Middlesex,Old Bridge TWP PD,780,44,581,172,
34023,Middlesex,Perth Amboy PD,1423,171,843,363,
34023,Middlesex,Piscataway TWP PD,806,54,542,149,
34023,Middlesex,Plainsboro TWP PD,162,8,126,50,
34023,Middlesex,Rutgers University PD,485,28,390,81,
34023,Middlesex,Sayreville PD,635,29,392,89,
34023,Middlesex,South Amboy PD,94,1,84,7,
34023,Middlesex,South Brunswick TWP PD,670,25,437,164,
34023,Middlesex,South Plainfield PD,570,28,454,146,
34023,Middlesex,South River PD,227,18,124,70,
34023,Middlesex,Spotswood PD,95,1,64,37,
34023,Middlesex,State Police Middlesex County,49,6,26,13,
34023,Middlesex,Woodbridge TWP PD,2051,104,1608,477,
34025,Monmouth,Aberdeen TWP PD,244,15,155,129,
34025,Monmouth,Allenhurst PD,26,0,25,3,
34025,Monmouth,Allentown Boro PD,11,0,7,1,
34025,Monmouth,Asbury Park PD,1417,213,746,337,
34025,Monmouth,Atlantic Highlands PD,41,1,34,22,
34025,Monmouth,Avon-By-The-Sea PD,35,0,34,9,
34025,Monmouth,Belmar PD,217,9,135,91,
34025,Monmouth,Bradley Beach PD,89,3,75,32,
34025,Monmouth,Brielle PD,27,2,18,6,
34025,Monmouth,Brookdale College PD,13,1,12,2,
34025,Monmouth,Colts Neck PD,60,6,50,20,
34025,Monmouth,Deal PD,33,2,30,9,
34025,Monmouth,Eatontown PD,516,32,337,203,
34025,Monmouth,Englishtown PD,69,9,46,33,
34025,Monmouth,Fair Haven PD,29,0,25,6,
34025,Monmouth,Freehold Boro PD,214,25,129,99,
34025,Monmouth,Freehold TWP PD,761,45,585,270,
34025,Monmouth,Hazlet TWP PD,307,13,223,70,
34025,Monmouth,Highlands PD,56,4,31,27,
34025,Monmouth,Holmdel PD,212,12,150,70,
34025,Monmouth,Howell TWP PD,645,35,407,378,
34025,Monmouth,Interlaken PD,14,0,14,0,
34025,Monmouth,Keansburg PD,307,31,176,154,
34025,Monmouth,Keyport PD,139,16,98,38,
34025,Monmouth,Lake Como Boro PD,84,4,37,35,
34025,Monmouth,Little Silver PD,37,0,35,6,
34025,Monmouth,Loch Arbour Village PD,7,0,7,1,
34025,Monmouth,Long Branch PD,1242,99,839,574,
34025,Monmouth,Malboro TWP PD,321,7,244,69,
34025,Monmouth,Manalapan TWP PD,450,13,249,59,
34025,Monmouth,Manasquan PD,132,5,89,39,
34025,Monmouth,Marlboro TWP PD,321,7,244,69,
34025,Monmouth,Matawan PD,28,0,28,2,
34025,Monmouth,Middletown PD,700,48,497,261,
34025,Monmouth,Monmouth,12853,933,8571,4324,
34025,Monmouth,Monmouth Beach PD,38,5,28,10,
34025,Monmouth,Monmouth Co Sheriff's Department,7,4,1,7,
34025,Monmouth,Monmouth University PD,34,3,27,6,
34025,Monmouth,Neptune City PD,207,13,144,73,
34025,Monmouth,Neptune TWP PD,1652,150,913,420,
34025,Monmouth,Ocean TWP PD,848,30,668,306,
34025,Monmouth,Oceanport PD,61,4,32,28,
34025,Monmouth,Red Bank PD,276,24,180,77,
34025,Monmouth,Rumson PD,46,0,40,14,
34025,Monmouth,Sea Bright PD,14,0,5,6,
34025,Monmouth,Sea Girt PD,20,1,14,6,
34025,Monmouth,Shrewsbury PD,66,2,53,18,
34025,Monmouth,Spring Lake Heights PD,19,1,16,5,
34025,Monmouth,Spring Lake PD,62,0,60,16,
34025,Monmouth,State Police Monmouth Co,198,13,144,36,
34025,Monmouth,Tinton Falls PD,306,3,270,70,
34025,Monmouth,Union Beach Pd,47,4,26,21,
34025,Monmouth,Wall TWP PD,322,19,254,139,
34025,Monmouth,West Long Branch PD,138,7,121,11,
34027,Morris,Boonton PD,95,3,74,44,
34027,Morris,Boonton TWP PD,27,3,7,9,
34027,Morris,Butler Boro PD,77,3,60,12,
34027,Morris,Chatham Boro PD,59,2,46,15,
34027,Morris,Chatham TWP PD,42,0,39,1,
34027,Morris,Chester Boro PD,26,0,23,4,
34027,Morris,Chester TWP PD,52,0,45,2,
34027,Morris,Denville PD,101,1,87,24,
34027,Morris,Dover PD,310,29,190,71,
34027,Morris,East Hanover TWP PD,218,4,196,10,
34027,Morris,Florham Park PD,101,6,81,21,
34027,Morris,Hanover TWP PD,243,7,190,89,
34027,Morris,Harding TWP PD,20,2,17,4,
34027,Morris,Jefferson TWP PD,127,15,93,31,
34027,Morris,Kinnelon Boro PD,47,5,35,18,
34027,Morris,Lincoln Park PD,100,4,72,47,
34027,Morris,Long Hill TWP PD,48,1,39,9,
34027,Morris,Madison PD,101,4,66,32,
34027,Morris,Mendham Boro PD,27,1,17,6,
34027,Morris,Mendham TWP PD,8,0,6,3,
34027,Morris,Mine Hill TWP PD,35,3,24,14,
34027,Morris,Montville TWP PD,153,3,146,32,
34027,Morris,Morris,6213,236,3834,1413,
34027,Morris,Morris County Park PD,11,0,8,5,
34027,Morris,Morris Plains PD,59,4,50,17,
34027,Morris,Morris TWP PD,129,3,102,17,
34027,Morris,Morristown PD,526,40,288,121,
34027,Morris,Mount Arlington Boro PD,61,1,49,26,
34027,Morris,Mount Olive TWP PD,266,9,166,125,
34027,Morris,Mountain Lakes PD,50,0,50,0,
34027,Morris,Netcong Boro PD,73,5,55,25,
34027,Morris,Parsippany-Troy Hills PD,594,36,413,95,
34027,Morris,Pequannock PD,157,1,96,70,
34027,Morris,Randolph TWP PD,173,4,117,34,
34027,Morris,Riverdale PD,118,1,109,52,
34027,Morris,Rockaway Boro PD,89,1,79,21,
34027,Morris,Rockaway TWP PD,404,11,326,138,
34027,Morris,Roxbury TWP PD,274,5,237,71,
34027,Morris,State Police Morris County,41,6,15,14,
34027,Morris,Washington TWP PD,75,3,42,37,
34027,Morris,Wharton Boro PD,81,4,57,44,
34029,Ocean,Barnegat Light Boro,1,1,0,0,
34029,Ocean,Barnegat TWP PD,256,8,143,153,
34029,Ocean,Bayhead Boro PD,24,0,20,5,
34029,Ocean,Beach Haven PD,122,2,110,19,
34029,Ocean,Beachwood Boro PD,224,6,134,58,
34029,Ocean,Berkeley TWP PD,644,24,458,72,
34029,Ocean,Brick TWP PD,1492,107,1051,401,
34029,Ocean,Harvey Cedars Boro PD,16,1,15,8,
34029,Ocean,Island Heights Boro PD,10,0,10,1,
34029,Ocean,Jackson TWP PD,665,24,483,142,
34029,Ocean,Lacey TWP PD,420,27,312,153,
34029,Ocean,Lakehurst Boro PD,55,0,36,35,
34029,Ocean,Lakewood PD,1535,95,931,680,
34029,Ocean,Lavallette PD,24,1,23,1,
34029,Ocean,Little Egg Harbor TWP PD,421,12,286,109,
34029,Ocean,Long Beach TWP PD,104,3,98,0,
34029,Ocean,Manchester TWP PD,331,11,224,103,
34029,Ocean,Mantoloking Boro PD,9,0,9,1,
34029,Ocean,Ocean,10059,484,6783,2975,
34029,Ocean,Ocean Co Sheriff's Department,12,0,4,9,
34029,Ocean,Ocean TWP PD,96,2,57,0,
34029,Ocean,Oceangate Boro PD,59,0,42,21,
34029,Ocean,Pine Beach Boro PD,23,0,19,1,
34029,Ocean,Plumsted TWP PD,34,0,17,10,
34029,Ocean,Point Pleasant Beach PD,141,1,82,70,
34029,Ocean,Point Pleasant Boro PD,220,16,122,90,
34029,Ocean,Seaside Heights PD,291,34,133,147,
34029,Ocean,Seaside Park PD,35,4,26,7,
34029,Ocean,Ship Bottom Boro PD,23,1,16,0,
34029,Ocean,South Toms River PD,111,6,67,33,
34029,Ocean,State Police Ocean County,49,6,27,19,
34029,Ocean,Strafford TWP PD,268,25,201,137,
34029,Ocean,Surf City PD,29,1,26,10,
34029,Ocean,Toms River Township,2250,63,1545,465,
34029,Ocean,Tuckerton Boro PD,58,3,49,15,
34031,Passaic,Bloomingdale Boro PD,68,2,44,20,
34031,Passaic,Clifton PD,1980,184,1386,659,
34031,Passaic,Haledon PD,218,18,158,74,
34031,Passaic,Hawthorne PD,239,2,227,34,
34031,Passaic,Little Falls PD,211,19,115,104,
34031,Passaic,North Haledon PD,46,1,39,15,
34031,Passaic,Passaic,14410,1757,8630,3048,
34031,Passaic,Passaic PD,2236,390,1163,350,
34031,Passaic,Paterson PD,6778,1028,3399,1019,
34031,Passaic,Peapack-Gladstone PD,24,3,17,12,
34031,Passaic,Pompton Lakes Boro PD,155,13,103,45,
34031,Passaic,Prospect Park Boro PD,127,3,113,9,
34031,Passaic,Ringwood Boro PD,46,3,37,26,
34031,Passaic,State Police Passaic County,15,0,11,4,
34031,Passaic,Totowa Boro PD,344,10,288,100,
34031,Passaic,Wanaque Boro PD,139,6,80,30,
34031,Passaic,Wayne PD,1160,17,1119,386,
34031,Passaic,West Milford PD,292,25,203,94,
34031,Passaic,William Paterson University,64,1,53,13,
34031,Passaic,Woodland Park Boro PD,195,17,152,50,
34033,Salem,Carney's Point PD,252,21,153,93,
34033,Salem,Elmer Boro PD,10,0,10,3,
34033,Salem,Elsinboro TWP PD,16,1,12,5,
34033,Salem,Lower Alloways Creek TWP,12,1,10,3,
34033,Salem,Penns Grove PD,333,37,237,126,
34033,Salem,Pennsville PD,424,14,208,270,
34033,Salem,Salem,1852,162,1117,867,
34033,Salem,Salem Co Sheriff's Department,2,1,0,2,
34033,Salem,Salem PD,361,54,206,108,
34033,Salem,State Police Salem County,366,30,238,221,
34033,Salem,Woodstown Boro PD,74,2,43,36,
34035,Somerset,Bedminister TWP PD,33,1,24,10,
34035,Somerset,Bernards TWP PD,152,1,117,24,
34035,Somerset,Bernardsville PD,49,1,46,2,
34035,Somerset,Bound Brook PD,256,17,165,61,
34035,Somerset,Branchburg TWP PD,102,3,59,35,
34035,Somerset,Bridgewater TWP PD,478,19,387,174,
34035,Somerset,Far Hills PD,7,0,7,1,
34035,Somerset,Franklin TWP PD,1070,48,779,156,
34035,Somerset,Green Brook PD,110,2,83,25,
34035,Somerset,Hillsborough TWP PD,379,9,255,36,
34035,Somerset,Manville PD,259,12,169,117,
34035,Somerset,Montgomery TWP PD,127,6,103,11,
34035,Somerset,North Plainfield PD,697,63,508,118,
34035,Somerset,Raritan PD,150,4,90,71,
34035,Somerset,Somerset,4642,208,3393,1076,
34035,Somerset,Somerset Co Sheriff's Department,5,1,1,4,
34035,Somerset,Somerville PD,250,10,135,73,
34035,Somerset,South Bound Brook PD,59,3,29,26,
34035,Somerset,State Police Somerset County,21,1,11,7,
34035,Somerset,Warren TWP PD,47,3,42,8,
34035,Somerset,Watchung PD,367,1,366,105,
34037,Sussex,Andover TWP PD,42,1,26,16,
34037,Sussex,Byram TWP PD,61,6,43,13,
34037,Sussex,Franklin Boro PD,93,2,47,34,
34037,Sussex,Hamburg PD,37,2,18,10,
34037,Sussex,Hardyston TWP Police Department,112,1,62,26,
34037,Sussex,Hopatcong PD,106,11,71,60,
