ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
34,NEW JERSEY,NJ,34001,Atlantic,34001001900,"Census Tract 19, Atlantic County, New Jersey",0.107910103572,1413,184,1086,66,724,87,516,200,174,79,21826,4845,179,82,127,42,247,104,252,82,67,44,1249,194,156,85,876,87,0,12,11,22,331,89,0,12,36.5,11.9,22.2,7.9,21826.0,4845.0,17.6,7.7,9.0,3.3,17.5,7.0,17.8,6.2,9.3,6.0,88.4,7.6,11.3,6.0,80.7,6.4,0.0,2.9,1.5,3.1,45.7,10.4,0.0,0.8,0.9599,0.9895,0.8574,0.802,3.6088,0.9478,0.1275,0.173,0.9178,0.647,1.8653,0.3992,0.8645,0.8285,1.693,0.8755,0.9905,0.0,0.474,0.9604,0.0,2.4249,0.6458,9.592,0.8254,1,1,0,0,2,0,0,1,0,1,0,0,0,1,0,0,1,0,2,5,345,124,24.4,7.0,793
34,NEW JERSEY,NJ,34001,Atlantic,34001002300,"Census Tract 23, Atlantic County, New Jersey",0.26953394518,2469,378,1004,69,756,89,1217,383,70,39,14800,4193,547,169,151,81,769,197,258,127,173,61,2205,399,651,167,68,44,0,12,91,54,408,94,0,12,49.5,12.0,5.9,3.2,14800.0,4193.0,35.9,8.9,6.1,3.4,31.1,6.4,10.4,4.5,22.9,7.6,89.3,8.6,28.4,5.9,6.8,4.4,0.0,3.2,12.0,7.0,54.0,9.4,0.0,0.5,0.993,0.5336,0.956,0.971,3.4536,0.9147,0.0475,0.942,0.5271,0.942,2.4586,0.8134,0.8735,0.9655,1.839,0.9585,0.4395,0.0,0.9485,0.9824,0.0,2.3704,0.6237,10.1216,0.8796,1,0,1,1,3,0,1,0,1,2,0,1,1,0,0,1,1,0,2,8,735,259,29.8,8.4,6347
34,NEW JERSEY,NJ,34001,Atlantic,34001002400,"Census Tract 24, Atlantic County, New Jersey",0.608920305894,2620,460,1638,94,1176,131,853,295,71,60,22073,9061,588,246,424,95,416,235,546,170,144,92,2057,503,494,261,1239,199,0,12,133,103,694,143,244,200,32.6,10.2,6.3,5.0,22073.0,9061.0,27.9,10.2,16.2,4.7,15.9,8.5,20.8,6.6,12.2,7.8,78.5,13.4,20.4,10.2,75.6,11.4,0.0,2.0,11.3,8.7,59.0,10.4,9.3,7.5,0.9408,0.5878,0.8484,0.917,3.294,0.8796,0.6115,0.111,0.9624,0.763,2.4479,0.8079,0.7875,0.923,1.7105,0.8855,0.9875,0.0,0.938,0.9915,0.9585,3.8755,0.9875,11.3279,0.9734,1,0,0,1,2,0,0,1,0,1,0,1,1,1,0,1,1,1,4,8,534,182,20.4,5.8,17684
34,NEW JERSEY,NJ,34001,Atlantic,34001002500,"Census Tract 25, Atlantic County, New Jersey",0.419363142892,3934,449,2419,121,2031,169,1252,300,159,73,21407,2749,677,221,1061,159,647,187,1032,189,241,104,3054,502,464,227,1424,182,0,12,74,64,1168,203,182,120,32.7,8.5,9.3,4.5,21407.0,2749.0,21.8,6.5,27.0,4.9,16.4,4.4,27.0,4.7,11.9,5.1,77.6,9.2,12.1,5.8,58.9,6.9,0.0,1.3,3.6,3.2,57.5,8.1,4.6,3.0,0.9413,0.837,0.8634,0.863,3.5047,0.9288,0.9415,0.1295,0.9855,0.7525,2.809,0.9338,0.78,0.84,1.62,0.8345,0.9645,0.0,0.683,0.9895,0.9105,3.5475,0.9568,11.4812,0.9829,1,0,0,0,1,1,0,1,0,2,0,0,0,1,0,0,1,1,3,6,363,177,9.5,4.1,5661
34,NEW JERSEY,NJ,34001,Atlantic,34001010101,"Census Tract 101.01, Atlantic County, New Jersey",4.189568091472,3154,326,2795,101,1350,136,196,95,82,50,40601,4472,165,76,762,128,462,168,446,100,38,55,200,463,11,49,275,103,9,14,0,17,80,60,5,12,6.2,3.1,4.9,2.9,40601.0,4472.0,6.6,3.0,24.2,4.3,14.6,5.1,14.1,3.4,2.8,4.1,6.3,14.7,0.4,1.7,9.8,3.7,0.3,0.5,0.0,1.3,5.9,4.3,0.2,0.4,0.4433,0.3952,0.4112,0.416,1.6657,0.4208,0.9205,0.0855,0.7954,0.1605,1.9619,0.4679,0.04,0.102,0.142,0.0555,0.5335,0.7998,0.0,0.4641,0.467,2.2644,0.5755,6.034,0.3909,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,129,75,4.1,2.3,1926
34,NEW JERSEY,NJ,34001,Atlantic,34001010102,"Census Tract 101.02, Atlantic County, New Jersey",0.772276201074,1813,189,2315,68,862,88,213,107,94,37,50202,6742,129,53,600,93,226,66,250,72,18,20,87,258,17,50,442,116,0,12,0,17,92,48,0,12,12.0,6.1,11.0,4.1,50202.0,6742.0,8.5,3.6,33.1,4.2,12.5,3.4,13.8,3.9,2.1,2.3,4.8,14.2,0.9,2.8,19.1,5.0,0.0,1.4,0.0,2.0,10.7,5.3,0.0,0.7,0.679,0.8872,0.2366,0.5285,2.3313,0.6284,0.9665,0.053,0.7823,0.1005,1.9023,0.4258,0.021,0.2125,0.2335,0.1,0.726,0.0,0.0,0.6518,0.0,1.3778,0.2318,5.8449,0.3573,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,105,59,5.8,3.1,1413
34,NEW JERSEY,NJ,34001,Atlantic,34001010104,"Census Tract 101.04, Atlantic County, New Jersey",0.560536705968,1415,222,2135,55,758,99,57,39,30,26,47028,7778,141,78,411,106,101,63,269,92,57,46,223,302,37,49,490,94,0,12,0,17,61,40,0,12,4.0,2.9,3.7,3.1,47028.0,7778.0,11.1,6.1,29.0,7.2,7.1,4.3,19.0,5.5,7.5,6.1,15.8,21.3,2.6,3.5,23.0,4.4,0.0,1.5,0.0,2.2,8.0,5.0,0.0,0.8,0.2553,0.2187,0.2851,0.645,1.4041,0.3355,0.9515,0.0215,0.9433,0.5585,2.4748,0.825,0.2025,0.4575,0.66,0.3175,0.7775,0.0,0.0,0.5665,0.0,1.344,0.2233,5.8829,0.3643,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2,107,63,7.6,4.0,1012
34,NEW JERSEY,NJ,34001,Atlantic,34001010105,"Census Tract 101.05, Atlantic County, New Jersey",0.99867405861,2584,299,2324,76,1157,132,416,126,29,26,37573,4890,105,65,776,131,329,100,305,110,90,55,678,417,59,65,309,116,0,12,57,44,86,47,0,12,16.1,5.4,2.3,2.0,37573.0,4890.0,4.9,3.1,30.0,5.0,12.7,3.6,11.8,4.3,7.8,4.7,26.2,15.9,2.3,2.6,13.3,5.0,0.0,1.4,4.9,3.8,7.4,4.0,0.0,0.5,0.7648,0.0652,0.4897,0.2875,1.6072,0.4042,0.956,0.055,0.6525,0.5705,2.234,0.6836,0.3785,0.4245,0.803,0.3945,0.6205,0.0,0.7725,0.5404,0.0,1.9334,0.43,6.5776,0.4722,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,248,104,9.6,3.7,1055
34,NEW JERSEY,NJ,34001,Atlantic,34001010200,"Census Tract 102, Atlantic County, New Jersey",3.386729214384,5866,195,2451,136,2175,109,104,88,308,197,40681,6158,273,145,1420,168,1193,187,726,184,181,116,483,313,99,99,71,47,30,34,0,24,104,62,154,85,1.8,1.6,10.0,6.2,40681.0,6158.0,6.5,3.5,24.2,2.9,20.3,3.1,12.7,3.2,8.3,5.3,8.2,5.3,1.8,1.8,2.9,1.9,1.2,1.4,0.0,1.1,4.8,2.8,2.6,1.4,0.0762,0.8606,0.4087,0.404,1.7495,0.4458,0.9205,0.379,0.7172,0.599,2.6157,0.8837,0.068,0.3555,0.4235,0.1995,0.2945,0.8866,0.0,0.3944,0.8525,2.428,0.6473,7.2167,0.5635,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,151,172,2.6,3.0,4269
34,NEW JERSEY,NJ,34001,Atlantic,34001010300,"Census Tract 103, Atlantic County, New Jersey",2.08149904812,2423,199,1056,68,917,76,432,217,266,80,24636,2988,263,83,431,79,486,91,342,86,79,42,1485,233,167,81,240,77,0,12,33,31,116,51,0,12,18.0,8.6,19.5,5.4,24636.0,2988.0,15.4,4.7,17.8,3.0,20.1,3.4,14.1,3.6,8.6,4.5,61.3,8.2,7.2,3.5,22.7,7.2,0.0,3.0,3.6,3.4,12.6,5.3,0.0,0.5,0.7959,0.9845,0.8009,0.762,3.3433,0.8912,0.7215,0.3645,0.7954,0.613,2.4944,0.834,0.686,0.7245,1.4105,0.717,0.775,0.0,0.683,0.6934,0.0,2.1514,0.5238,9.3996,0.8058,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,241,118,9.9,5.0,2875
34,NEW JERSEY,NJ,34001,Atlantic,34001010401,"Census Tract 104.01, Atlantic County, New Jersey",34.971881316988,5878,634,2587,104,2233,158,113,70,284,169,44883,7939,371,142,1000,300,1088,339,780,227,34,42,977,880,13,66,148,86,12,19,76,70,87,64,0,17,1.9,1.2,8.5,5.0,44883.0,7939.0,8.4,3.1,17.0,5.3,18.5,5.4,13.4,3.9,1.5,1.9,16.6,14.9,0.2,1.2,5.7,3.3,0.5,0.7,3.4,3.2,3.9,2.8,0.0,0.3,0.0868,0.7934,0.3242,0.5205,1.7249,0.4383,0.6675,0.244,0.7608,0.0645,1.7368,0.3064,0.2135,0.0605,0.274,0.12,0.404,0.8154,0.6705,0.3141,0.0,2.204,0.5499,5.9397,0.3743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,240,9.1,4.0,3791
34,NEW JERSEY,NJ,34001,Atlantic,34001010403,"Census Tract 104.03, Atlantic County, New Jersey",3.581160915136,7138,578,2286,135,2180,161,392,218,148,107,27781,3097,809,256,1362,291,1414,349,739,197,176,110,3779,735,582,245,164,95,0,17,40,44,170,89,449,172,5.9,3.4,4.1,2.8,27781.0,3097.0,15.6,4.6,19.1,4.4,19.8,4.6,11.0,3.1,8.1,5.0,52.9,9.4,8.8,3.6,7.2,4.2,0.0,1.4,1.8,2.0,7.8,3.9,6.3,2.4,0.4188,0.2763,0.7369,0.766,2.198,0.5873,0.788,0.339,0.5893,0.589,2.3053,0.7237,0.629,0.7735,1.4025,0.711,0.4515,0.0,0.519,0.5564,0.9375,2.4644,0.6603,8.3702,0.6934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,378,205,5.6,3.2,3897
34,NEW JERSEY,NJ,34001,Atlantic,34001010501,"Census Tract 105.01, Atlantic County, New Jersey",38.50473430819,6870,526,3595,127,3085,201,306,136,176,94,39633,3063,170,59,2073,182,1029,181,1149,268,104,59,1072,744,60,78,77,58,17,26,0,24,162,98,12,8,4.5,1.9,5.0,2.6,39633.0,3063.0,3.1,1.1,30.2,3.0,15.0,2.4,16.7,3.7,3.4,1.9,15.6,10.8,0.9,1.2,2.1,1.6,0.5,0.7,0.0,0.8,5.3,3.1,0.2,0.1,0.2989,0.4117,0.4382,0.1445,1.2933,0.2889,0.957,0.092,0.8922,0.2125,2.1537,0.6344,0.198,0.2125,0.4105,0.192,0.2635,0.8154,0.0,0.4275,0.467,1.9734,0.4491,5.8309,0.3542,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,206,144,3.0,2.0,4002
34,NEW JERSEY,NJ,34001,Atlantic,34001010503,"Census Tract 105.03, Atlantic County, New Jersey",3.656806405078,7454,637,3517,134,3024,198,1101,438,474,227,26230,3149,441,215,974,111,1619,355,951,243,451,185,4384,839,303,197,821,255,0,17,52,74,296,166,0,17,14.9,5.7,11.0,5.0,26230.0,3149.0,9.4,4.5,13.1,1.8,21.7,4.4,12.8,3.2,14.9,6.1,58.8,10.1,4.3,2.8,23.3,7.2,0.0,0.9,1.7,2.4,9.8,5.4,0.0,0.2,0.7452,0.8872,0.7674,0.5775,2.9773,0.7929,0.375,0.5045,0.7252,0.8325,2.4372,0.8014,0.67,0.593,1.263,0.6425,0.779,0.0,0.5005,0.6292,0.0,1.9087,0.4245,8.5862,0.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769,337,10.3,4.3,6398
34,NEW JERSEY,NJ,34001,Atlantic,34001010505,"Census Tract 105.05, Atlantic County, New Jersey",8.516329806604,2686,284,1220,71,954,99,165,109,35,31,39017,5537,156,84,397,73,423,114,300,125,69,47,591,403,31,53,120,76,0,12,0,17,9,14,48,31,6.1,4.1,2.2,2.1,39017.0,5537.0,8.0,4.2,14.8,3.0,15.7,3.9,11.2,4.8,7.2,4.9,22.0,14.9,1.2,2.0,9.8,6.2,0.0,2.6,0.0,1.8,0.9,1.4,1.8,1.1,0.4358,0.0612,0.4552,0.5005,1.4527,0.3531,0.5005,0.1065,0.6093,0.541,1.7573,0.32,0.3155,0.2695,0.585,0.2815,0.5335,0.0,0.0,0.0552,0.809,1.3977,0.2393,5.1927,0.2494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,97,8.7,3.3,1736
34,NEW JERSEY,NJ,34001,Atlantic,34001010506,"Census Tract 105.06, Atlantic County, New Jersey",4.255562575822,5261,412,1990,76,1793,111,438,390,444,168,33278,4175,387,142,700,123,1052,235,678,159,202,87,1580,598,196,118,82,70,66,44,74,62,193,111,0,17,8.3,7.3,13.4,4.8,33278.0,4175.0,10.3,3.6,13.3,2.5,20.0,4.2,12.9,2.9,11.3,4.9,30.0,11.1,3.9,2.3,4.1,3.5,3.3,2.2,4.1,3.5,10.8,6.0,0.0,0.3,0.5471,0.9308,0.6123,0.604,2.6942,0.7212,0.396,0.3565,0.7332,0.723,2.2087,0.6675,0.4265,0.57,0.9965,0.5005,0.343,0.9438,0.72,0.6573,0.0,2.6641,0.7526,8.5635,0.7165,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,591,352,11.2,6.4,5154
34,NEW JERSEY,NJ,34001,Atlantic,34001010600,"Census Tract 106, Atlantic County, New Jersey",10.849353844318,4153,27,1609,187,1388,165,765,219,290,113,22023,2754,481,145,558,148,1165,191,493,155,174,80,2368,347,258,147,114,74,0,12,127,72,150,70,56,57,19.4,5.5,14.2,5.1,22023.0,2754.0,18.2,5.5,13.4,3.6,28.1,4.6,12.0,3.8,12.5,5.6,57.0,8.3,6.8,3.9,7.1,4.5,0.0,2.0,9.1,5.1,10.8,4.6,1.3,1.4,0.8195,0.9408,0.8509,0.817,3.4282,0.9072,0.4025,0.8765,0.6695,0.7715,2.72,0.9072,0.653,0.7125,1.3655,0.693,0.45,0.0,0.9075,0.6573,0.777,2.7918,0.7943,10.3055,0.8971,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,827,257,20.1,6.2,4694
