"","SSN","geogValue","geogName","municipality"
"50",227,2,"suburban","HILLSDALE BORO"
"51",228,2,"suburban","HO-HO-KUS BORO"
"52",229,1,"urban","LEONIA BORO"
"53",230,2,"suburban","LITTLE FERRY BORO"
"54",231,1,"urban","LODI BORO"
"55",232,2,"suburban","LYNDHURST TWP"
"56",233,2,"suburban","MAHWAH TWP"
"57",234,1,"urban","MAYWOOD BORO"
"58",235,2,"suburban","MIDLAND PARK BORO"
"59",236,2,"suburban","MONTVALE BORO"
"60",237,2,"suburban","MOONACHIE BORO"
"61",238,1,"urban","NEW MILFORD BORO"
"62",239,1,"urban","NORTH ARLINGTON BORO"
"63",240,2,"suburban","NORTHVALE BORO"
"64",241,2,"suburban","NORWOOD BORO"
"65",242,2,"suburban","OAKLAND BORO"
"66",243,2,"suburban","OLD TAPPAN BORO"
"67",244,1,"urban","ORADELL BORO"
"68",245,1,"urban","PALISADES PARK BORO"
"69",246,1,"urban","PARAMUS BORO"
"70",247,2,"suburban","PARK RIDGE BORO"
"71",248,2,"suburban","RAMSEY BORO"
"72",249,1,"urban","RIDGEFIELD BORO"
"73",250,1,"urban","RIDGEFIELD PARK VILLAGE"
"74",251,1,"urban","RIDGEWOOD VILLAGE"
"75",252,1,"urban","RIVER EDGE BORO"
"76",253,2,"suburban","RIVER VALE TWP"
"77",254,1,"urban","ROCHELLE PARK TWP"
"78",255,2,"suburban","ROCKLEIGH BORO"
"79",256,2,"suburban","RUTHERFORD BORO"
"80",257,1,"urban","SADDLE BROOK TWP"
"81",258,2,"suburban","SADDLE RIVER BORO"
"82",259,1,"urban","SOUTH HACKENSACK TWP"
"83",260,1,"urban","TEANECK TWP"
"84",261,1,"urban","TENAFLY BORO"
"85",262,2,"suburban","TETERBORO BORO"
"86",263,2,"suburban","UPPER SADDLE RIVER BORO"
"87",264,2,"suburban","WALDWICK BORO"
"88",265,1,"urban","WALLINGTON BORO"
"89",266,2,"suburban","WASHINGTON TWP"
"90",267,2,"suburban","WESTWOOD BORO"
"91",268,2,"suburban","WOODCLIFF LAKE BORO"
"92",269,1,"urban","WOOD-RIDGE BORO"
"93",270,2,"suburban","WYCKOFF TWP"
"94",301,3,"rural","BASS RIVER TWP"
"95",302,1,"urban","BEVERLY CITY"
"96",303,2,"suburban","BORDENTOWN CITY"
"97",304,2,"suburban","BORDENTOWN TWP"
"98",305,2,"suburban","BURLINGTON CITY"
"99",306,2,"suburban","BURLINGTON TWP"
"100",307,3,"rural","CHESTERFIELD TWP"
"101",308,2,"suburban","CINNAMINSON TWP"
"102",309,2,"suburban","DELANCO TWP"
"103",310,2,"suburban","DELRAN TWP"
"104",311,2,"suburban","EASTAMPTON TWP"
"105",312,2,"suburban","EDGEWATER PARK TWP"
"106",313,2,"suburban","EVESHAM TWP"
"107",314,2,"suburban","FIELDSBORO BORO"
"108",315,2,"suburban","FLORENCE TWP"
"109",316,2,"suburban","HAINESPORT TWP"
"110",317,2,"suburban","LUMBERTON TWP"
"111",318,3,"rural","MANSFIELD TWP"
"112",319,2,"suburban","MAPLE SHADE TWP"
"113",320,3,"rural","MEDFORD TWP"
"114",321,3,"rural","MEDFORD LAKES BORO"
"115",322,2,"suburban","MOORESTOWN TWP"
"116",323,2,"suburban","MOUNT HOLLY TWP"
"117",324,2,"suburban","MOUNT LAUREL TWP"
"118",325,3,"rural","NEW HANOVER TWP"
"119",326,3,"rural","NORTH HANOVER TWP"
"120",327,2,"suburban","PALMYRA BORO"
"121",328,3,"rural","PEMBERTON BORO"
"122",329,3,"rural","PEMBERTON TWP"
"123",330,1,"urban","RIVERSIDE TWP"
"124",331,1,"urban","RIVERTON BORO"
"125",332,3,"rural","SHAMONG TWP"
"126",333,3,"rural","SOUTHAMPTON TWP"
"127",334,3,"rural","SPRINGFIELD TWP"
"128",335,3,"rural","TABERNACLE TWP"
"129",336,3,"rural","WASHINGTON TWP"
"130",337,2,"suburban","WESTAMPTON TWP"
"131",338,2,"suburban","WILLINGBORO TWP"
"132",339,3,"rural","WOODLAND TWP"
"133",340,3,"rural","WRIGHTSTOWN BORO"
"134",401,1,"urban","AUDUBON BORO"
"135",402,1,"urban","AUDUBON PARK BORO"
"136",403,1,"urban","BARRINGTON BORO"
"137",404,1,"urban","BELLMAWR BORO"
"138",405,2,"suburban","BERLIN BORO"
"139",406,2,"suburban","BERLIN TWP"
"140",407,1,"urban","BROOKLAWN BORO"
"141",408,1,"urban","CAMDEN CITY"
"142",409,2,"suburban","CHERRY HILL TWP"
"143",410,3,"rural","CHESILHURST BORO"
"144",411,2,"suburban","CLEMENTON BORO"
"145",412,1,"urban","COLLINGSWOOD BORO"
"146",413,2,"suburban","GIBBSBORO BORO"
"147",414,2,"suburban","GLOUCESTER CITY"
"148",415,2,"suburban","GLOUCESTER TWP"
"149",416,1,"urban","HADDON TWP"
"150",417,1,"urban","HADDONFIELD BORO"
"151",418,1,"urban","HADDON HEIGHTS BORO"
"152",419,1,"urban","HI-NELLA BORO"
"153",420,1,"urban","LAUREL SPRINGS BORO"
"154",421,2,"suburban","LAWNSIDE BORO"
"155",422,2,"suburban","LINDENWOLD BORO"
"156",423,2,"suburban","MAGNOLIA BORO"
"157",424,1,"urban","MERCHANTVILLE BORO"
"158",425,1,"urban","MOUNT EPHRAIM BORO"
"159",426,1,"urban","OAKLYN BORO"
"160",427,1,"urban","PENNSAUKEN TWP"
"161",428,2,"suburban","PINE HILL BORO"
"162",429,2,"suburban","PINE VALLEY BORO"
"163",430,1,"urban","RUNNEMEDE BORO"
"164",431,1,"urban","SOMERDALE BORO"
"165",432,1,"urban","STRATFORD BORO"
"166",433,2,"suburban","TAVISTOCK BORO"
"167",434,2,"suburban","VOORHEES TWP"
"168",435,3,"rural","WATERFORD TWP"
"169",436,2,"suburban","WINSLOW TWP"
"170",437,1,"urban","WOODLYNNE BORO"
"171",501,3,"rural","AVALON BORO"
"172",502,3,"rural","CAPE MAY CITY"
"173",503,3,"rural","CAPE MAY POINT BORO"
"174",504,3,"rural","DENNIS TWP"
"175",505,2,"suburban","LOWER TWP"
"176",506,3,"rural","MIDDLE TWP"
"177",507,2,"suburban","NORTH WILDWOOD CITY"
"178",508,2,"suburban","OCEAN CITY"
"179",509,3,"rural","SEA ISLE CITY"
"180",510,3,"rural","STONE HARBOR BORO"
"181",511,3,"rural","UPPER TWP"
"182",512,2,"suburban","WEST CAPE MAY BORO"
"183",513,2,"suburban","WEST WILDWOOD BORO"
"184",514,2,"suburban","WILDWOOD CITY"
"185",515,2,"suburban","WILDWOOD CREST BORO"
"186",516,3,"rural","WOODBINE BORO"
"187",601,2,"suburban","BRIDGETON CITY"
"188",602,3,"rural","COMMERCIAL TWP"
"189",603,3,"rural","DEERFIELD TWP"
"190",604,3,"rural","DOWNE TWP"
"191",605,3,"rural","FAIRFIELD TWP"
"192",606,3,"rural","GREENWICH TWP"
"193",607,3,"rural","HOPEWELL TWP"
"194",608,3,"rural","LAWRENCE TWP"
"195",609,3,"rural","MAURICE RIVER TWP"
"196",610,3,"rural","MILLVILLE CITY"
"197",611,3,"rural","SHILOH BORO"
"198",612,3,"rural","STOW CREEK TWP"
"199",613,3,"rural","UPPER DEERFIELD TWP"
"200",614,2,"suburban","VINELAND CITY"
"201",701,1,"urban","BELLEVILLE TWP"
"202",702,1,"urban","BLOOMFIELD TWP"
"203",703,2,"suburban","CALDWELL BORO"
"204",704,2,"suburban","CEDAR GROVE TWP"
"205",705,1,"urban","EAST ORANGE CITY"
"206",706,2,"suburban","ESSEX FELLS BORO"
"207",707,2,"suburban","FAIRFIELD TWP"
"208",708,1,"urban","GLEN RIDGE BORO"
"209",709,1,"urban","IRVINGTON TWP"
"210",710,2,"suburban","LIVINGSTON TWP"
"211",711,1,"urban","MAPLEWOOD TWP"
"212",712,2,"suburban","MILLBURN TWP"
"213",713,1,"urban","MONTCLAIR TWP"
"214",714,1,"urban","NEWARK CITY"
"215",715,2,"suburban","NORTH CALDWELL BORO"
"216",716,1,"urban","NUTLEY TWP"
"217",717,1,"urban","CITY OF ORANGE TWP"
"218",718,2,"suburban","ROSELAND BORO"
"219",719,1,"urban","SOUTH ORANGE VILLAGE TWP"
"220",720,2,"suburban","VERONA TWP"
"221",721,2,"suburban","WEST CALDWELL TWP"
"222",722,1,"urban","WEST ORANGE TWP"
"223",801,3,"rural","CLAYTON BORO"
"224",802,2,"suburban","DEPTFORD TWP"
"225",803,2,"suburban","EAST GREENWICH TWP"
"226",804,3,"rural","ELK TWP"
"227",805,3,"rural","FRANKLIN TWP"
"228",806,2,"suburban","GLASSBORO BORO"
"229",807,3,"rural","GREENWICH TWP"
"230",808,3,"rural","HARRISON TWP"
"231",809,3,"rural","LOGAN TWP"
"232",810,2,"suburban","MANTUA TWP"
"233",811,2,"suburban","MONROE TWP"
"234",812,2,"suburban","NATIONAL PARK BORO"
"235",813,2,"suburban","NEWFIELD BORO"
"236",814,3,"rural","PAULSBORO BORO"
"237",815,2,"suburban","PITMAN BORO"
"238",816,3,"rural","SOUTH HARRISON TWP"
"239",817,2,"suburban","SWEDESBORO BORO"
"240",818,2,"suburban","WASHINGTON TWP"
"241",819,2,"suburban","WENONAH BORO"
"242",820,2,"suburban","WEST DEPTFORD TWP"
"243",821,1,"urban","WESTVILLE BORO"
"244",822,2,"suburban","WOODBURY CITY"
"245",823,2,"suburban","WOODBURY HEIGHTS BORO"
"246",824,3,"rural","WOOLWICH TWP"
"247",901,1,"urban","BAYONNE CITY"
"248",902,1,"urban","EAST NEWARK BORO"
"249",903,1,"urban","GUTTENBERG TOWN"
"250",904,1,"urban","HARRISON TOWN"
"251",905,1,"urban","HOBOKEN CITY"
"252",906,1,"urban","JERSEY CITY"
"253",907,1,"urban","KEARNY TOWN"
"254",908,1,"urban","NORTH BERGEN TWP"
"255",909,2,"suburban","SECAUCUS TOWN"
"256",910,1,"urban","UNION CITY"
"257",911,1,"urban","WEEHAWKEN TWP"
"258",912,1,"urban","WEST NEW YORK TOWN"
"259",1001,3,"rural","ALEXANDRIA TWP"
"260",1002,3,"rural","BETHLEHEM TWP"
"261",1003,3,"rural","BLOOMSBURY BORO"
"262",1004,3,"rural","CALIFON BORO"
"263",1005,3,"rural","CLINTON TOWN"
"264",1006,3,"rural","CLINTON TWP"
"265",1007,3,"rural","DELAWARE TWP"
"266",1008,3,"rural","EAST AMWELL TWP"
"267",1009,3,"rural","FLEMINGTON BORO"
"268",1010,3,"rural","FRANKLIN TWP"
"269",1011,3,"rural","FRENCHTOWN BORO"
"270",1012,3,"rural","GLEN GARDNER BORO"
"271",1013,3,"rural","HAMPTON BORO"
"272",1014,3,"rural","HIGH BRIDGE BORO"
"273",1015,3,"rural","HOLLAND TWP"
"274",1016,3,"rural","KINGWOOD TWP"
"275",1017,3,"rural","LAMBERTVILLE CITY"
"276",1018,3,"rural","LEBANON BORO"
"277",1019,3,"rural","LEBANON TWP"
"278",1020,3,"rural","MILFORD BORO"
"279",1021,3,"rural","RARITAN TWP"
"280",1022,3,"rural","READINGTON TWP"
"281",1023,3,"rural","STOCKTON BORO"
"282",1024,3,"rural","TEWKSBURY TWP"
"283",1025,3,"rural","UNION TWP"
"284",1026,3,"rural","WEST AMWELL TWP"
"285",1101,2,"suburban","EAST WINDSOR TWP"
"286",1102,2,"suburban","EWING TWP"
"287",1103,2,"suburban","HAMILTON TWP"
"288",1104,2,"suburban","HIGHTSTOWN BORO"
"289",1105,2,"suburban","HOPEWELL BORO"
"290",1106,2,"suburban","HOPEWELL TWP"
"291",1107,2,"suburban","LAWRENCE TWP"
"292",1108,2,"suburban","PENNINGTON BORO"
"293",1111,1,"urban","TRENTON CITY"
"294",1112,2,"suburban","ROBBINSVILLE TWP"
"295",1113,2,"suburban","WEST WINDSOR TWP"
"296",1114,2,"suburban","PRINCETON"
"297",1201,2,"suburban","CARTERET BORO"
"298",1202,2,"suburban","CRANBURY TWP"
"299",1203,1,"urban","DUNELLEN BORO"
"300",1204,2,"suburban","EAST BRUNSWICK TWP"
"301",1205,1,"urban","EDISON TWP"
"302",1206,2,"suburban","HELMETTA BORO"
"303",1207,1,"urban","HIGHLAND PARK BORO"
"304",1208,2,"suburban","JAMESBURG BORO"
"305",1209,2,"suburban","OLD BRIDGE TWP"
"306",1210,1,"urban","METUCHEN BORO"
"307",1211,2,"suburban","MIDDLESEX BORO"
"308",1212,2,"suburban","MILLTOWN BORO"
"309",1213,2,"suburban","MONROE TWP"
"310",1214,1,"urban","NEW BRUNSWICK CITY"
"311",1215,2,"suburban","NORTH BRUNSWICK TWP"
"312",1216,1,"urban","PERTH AMBOY CITY"
"313",1217,1,"urban","PISCATAWAY TWP"
"314",1218,2,"suburban","PLAINSBORO TWP"
"315",1219,2,"suburban","SAYREVILLE BORO"
"316",1220,2,"suburban","SOUTH AMBOY CITY"
"317",1221,2,"suburban","SOUTH BRUNSWICK TWP"
"318",1222,1,"urban","SOUTH PLAINFIELD BORO"
"319",1223,2,"suburban","SOUTH RIVER BORO"
"320",1224,2,"suburban","SPOTSWOOD BORO"
"321",1225,1,"urban","WOODBRIDGE TWP"
"322",1301,2,"suburban","ALLENHURST BORO"
"323",1302,3,"rural","ALLENTOWN BORO"
"324",1303,2,"suburban","ASBURY PARK CITY"
"325",1304,2,"suburban","ATLANTIC HIGHLANDS BORO"
"326",1305,2,"suburban","AVON-BY-THE-SEA BORO"
"327",1306,2,"suburban","BELMAR BORO"
"328",1307,2,"suburban","BRADLEY BEACH BORO"
"329",1308,2,"suburban","BRIELLE BORO"
"330",1309,2,"suburban","COLTS NECK TWP"
"331",1310,2,"suburban","DEAL BORO"
"332",1311,2,"suburban","EATONTOWN BORO"
"333",1312,2,"suburban","ENGLISHTOWN BORO"
"334",1313,2,"suburban","FAIR HAVEN BORO"
"335",1314,3,"rural","FARMINGDALE BORO"
"336",1315,2,"suburban","FREEHOLD BORO"
"337",1316,2,"suburban","FREEHOLD TWP"
"338",1317,2,"suburban","HIGHLANDS BORO"
"339",1318,2,"suburban","HOLMDEL TWP"
"340",1319,2,"suburban","HOWELL TWP"
"341",1320,2,"suburban","INTERLAKEN BORO"
"342",1321,1,"urban","KEANSBURG BORO"
"343",1322,2,"suburban","KEYPORT BORO"
"344",1323,2,"suburban","LITTLE SILVER BORO"
"345",1324,2,"suburban","LOCH ARBOUR VILLAGE"
"346",1325,2,"suburban","LONG BRANCH CITY"
"347",1326,2,"suburban","MANALAPAN TWP"
"348",1327,2,"suburban","MANASQUAN BORO"
"349",1328,2,"suburban","MARLBORO TWP"
"350",1329,2,"suburban","MATAWAN BORO"
"351",1330,2,"suburban","ABERDEEN TWP"
"352",1331,2,"suburban","MIDDLETOWN TWP"
"353",1332,3,"rural","MILLSTONE TWP"
"354",1333,2,"suburban","MONMOUTH BEACH BORO"
"355",1334,2,"suburban","NEPTUNE TWP"
"356",1335,2,"suburban","NEPTUNE CITY BORO"
"357",1336,2,"suburban","TINTON FALLS BORO"
"358",1337,2,"suburban","OCEAN TWP"
"359",1338,2,"suburban","OCEANPORT BORO"
"360",1339,2,"suburban","HAZLET TWP"
"361",1340,2,"suburban","RED BANK BORO"
"362",1341,3,"rural","ROOSEVELT BORO"
"363",1342,2,"suburban","RUMSON BORO"
"364",1343,2,"suburban","SEA BRIGHT BORO"
"365",1344,2,"suburban","SEA GIRT BORO"
"366",1345,2,"suburban","SHREWSBURY BORO"
"367",1346,2,"suburban","SHREWSBURY TWP"
"368",1347,2,"suburban","LAKE COMO BORO"
"369",1348,2,"suburban","SPRING LAKE BORO"
"370",1349,2,"suburban","SPRING LAKE HEIGHTS BORO"
"371",1350,2,"suburban","UNION BEACH BORO"
"372",1351,3,"rural","UPPER FREEHOLD TWP"
"373",1352,2,"suburban","WALL TWP"
"374",1353,2,"suburban","WEST LONG BRANCH BORO"
"375",1401,2,"suburban","BOONTON TOWN"
"376",1402,2,"suburban","BOONTON TWP"
"377",1403,2,"suburban","BUTLER BORO"
"378",1404,2,"suburban","CHATHAM BORO"
"379",1405,2,"suburban","CHATHAM TWP"
"380",1406,2,"suburban","CHESTER BORO"
"381",1407,3,"rural","CHESTER TWP"
"382",1408,2,"suburban","DENVILLE TWP"
"383",1409,2,"suburban","DOVER TOWN"
"384",1410,2,"suburban","EAST HANOVER TWP"
"385",1411,2,"suburban","FLORHAM PARK BORO"
"386",1412,2,"suburban","HANOVER TWP"
"387",1413,2,"suburban","HARDING TWP"
"388",1414,3,"rural","JEFFERSON TWP"
"389",1415,3,"rural","KINNELON BORO"
"390",1416,2,"suburban","LINCOLN PARK BORO"
"391",1417,2,"suburban","MADISON BORO"
"392",1418,3,"rural","MENDHAM BORO"
"393",1419,3,"rural","MENDHAM TWP"
"394",1420,2,"suburban","MINE HILL TWP"
"395",1421,2,"suburban","MONTVILLE TWP"
"396",1422,2,"suburban","MORRIS TWP"
"397",1423,2,"suburban","MORRIS PLAINS BORO"
"398",1424,2,"suburban","MORRISTOWN TOWN"
"399",1425,2,"suburban","MOUNTAIN LAKES BORO"
"400",1426,2,"suburban","MOUNT ARLINGTON BORO"
"401",1427,2,"suburban","MOUNT OLIVE TWP"
"402",1428,2,"suburban","NETCONG BORO"
"403",1429,2,"suburban","PARSIPPANY-TROY HILLS TWP"
"404",1430,2,"suburban","LONG HILL TWP"
"405",1431,2,"suburban","PEQUANNOCK TWP"
"406",1432,2,"suburban","RANDOLPH TWP"
"407",1433,2,"suburban","RIVERDALE BORO"
"408",1434,2,"suburban","ROCKAWAY BORO"
"409",1435,2,"suburban","ROCKAWAY TWP"
"410",1436,2,"suburban","ROXBURY TWP"
"411",1437,2,"suburban","VICTORY GARDENS BORO"
"412",1438,3,"rural","WASHINGTON TWP"
"413",1439,2,"suburban","WHARTON BORO"
"414",1501,3,"rural","BARNEGAT LIGHT BORO"
"415",1502,2,"suburban","BAY HEAD BORO"
"416",1503,3,"rural","BEACH HAVEN BORO"
"417",1504,2,"suburban","BEACHWOOD BORO"
"418",1505,2,"suburban","BERKELEY TWP"
"419",1506,2,"suburban","BRICK TWP"
"420",1507,2,"suburban","TOMS RIVER TWP"
"421",1508,3,"rural","EAGLESWOOD TWP"
"422",1509,3,"rural","HARVEY CEDARS BORO"
"423",1510,2,"suburban","ISLAND HEIGHTS BORO"
"424",1511,2,"suburban","JACKSON TWP"
"425",1512,2,"suburban","LACEY TWP"
"426",1513,2,"suburban","LAKEHURST BORO"
"427",1514,2,"suburban","LAKEWOOD TWP"
"428",1515,2,"suburban","LAVALLETTE BORO"
"429",1516,3,"rural","LITTLE EGG HARBOR TWP"
"430",1517,3,"rural","LONG BEACH TWP"
"431",1518,2,"suburban","MANCHESTER TWP"
"432",1519,2,"suburban","MANTOLOKING BORO"
"433",1520,3,"rural","OCEAN TWP"
"434",1521,2,"suburban","OCEAN GATE BORO"
"435",1522,2,"suburban","PINE BEACH BORO"
"436",1523,3,"rural","PLUMSTED TWP"
"437",1524,2,"suburban","POINT PLEASANT BORO"
"438",1525,2,"suburban","POINT PLEASANT BEACH BORO"
"439",1526,2,"suburban","SEASIDE HEIGHTS BORO"
"440",1527,2,"suburban","SEASIDE PARK BORO"
"441",1528,2,"suburban","SHIP BOTTOM BORO"
"442",1529,2,"suburban","SOUTH TOMS RIVER BORO"
"443",1530,3,"rural","STAFFORD TWP"
"444",1531,3,"rural","SURF CITY BORO"
"445",1532,3,"rural","TUCKERTON BORO"
"446",1533,3,"rural","BARNEGAT TWP"
"447",1601,2,"suburban","BLOOMINGDALE BORO"
"448",1602,1,"urban","CLIFTON CITY"
"449",1603,1,"urban","HALEDON BORO"
"450",1604,1,"urban","HAWTHORNE BORO"
"451",1605,2,"suburban","LITTLE FALLS TWP"
"452",1606,2,"suburban","NORTH HALEDON BORO"
"453",1607,1,"urban","PASSAIC CITY"
"454",1608,1,"urban","PATERSON CITY"
"455",1609,2,"suburban","POMPTON LAKES BORO"
"456",1610,1,"urban","PROSPECT PARK BORO"
"457",1611,3,"rural","RINGWOOD BORO"
"458",1612,2,"suburban","TOTOWA BORO"
"459",1613,2,"suburban","WANAQUE BORO"
"460",1614,2,"suburban","WAYNE TWP"
"461",1615,3,"rural","WEST MILFORD TWP"
"462",1616,1,"urban","WOODLAND PARK BORO"
"463",1701,3,"rural","ALLOWAY TWP"
"464",1702,3,"rural","ELMER BORO"
"465",1703,3,"rural","ELSINBORO TWP"
"466",1704,3,"rural","LOWER ALLOWAYS CREEK TWP"
"467",1705,3,"rural","MANNINGTON TWP"
"468",1706,3,"rural","OLDMANS TWP"
"469",1707,2,"suburban","PENNS GROVE BORO"
"470",1708,3,"rural","PENNSVILLE TWP"
"471",1709,3,"rural","PILESGROVE TWP"
"472",1710,3,"rural","PITTSGROVE TWP"
"473",1711,3,"rural","QUINTON TWP"
"474",1712,3,"rural","SALEM CITY"
"475",1713,2,"suburban","CARNEYS POINT TWP"
"476",1714,3,"rural","UPPER PITTSGROVE TWP"
"477",1715,3,"rural","WOODSTOWN BORO"
"478",1801,2,"suburban","BEDMINSTER TWP"
"479",1802,2,"suburban","BERNARDS TWP"
"480",1803,3,"rural","BERNARDSVILLE BORO"
"481",1804,2,"suburban","BOUND BROOK BORO"
"482",1805,3,"rural","BRANCHBURG TWP"
"483",1806,2,"suburban","BRIDGEWATER TWP"
"484",1807,2,"suburban","FAR HILLS BORO"
"485",1808,2,"suburban","FRANKLIN TWP"
"486",1809,2,"suburban","GREEN BROOK TWP"
"487",1810,2,"suburban","HILLSBOROUGH TWP"
"488",1811,2,"suburban","MANVILLE BORO"
"489",1812,3,"rural","MILLSTONE BORO"
"490",1813,2,"suburban","MONTGOMERY TWP"
"491",1814,1,"urban","NORTH PLAINFIELD BORO"
"492",1815,3,"rural","PEAPACK-GLADSTONE BORO"
"493",1816,2,"suburban","RARITAN BORO"
"494",1817,2,"suburban","ROCKY HILL BORO"
"495",1818,2,"suburban","SOMERVILLE BORO"
"496",1819,2,"suburban","SOUTH BOUND BROOK BORO"
"497",1820,2,"suburban","WARREN TWP"
"498",1821,2,"suburban","WATCHUNG BORO"
"499",1901,3,"rural","ANDOVER BORO"
"500",1902,3,"rural","ANDOVER TWP"
"501",1903,3,"rural","BRANCHVILLE BORO"
"502",1904,3,"rural","BYRAM TWP"
"503",1905,3,"rural","FRANKFORD TWP"
"504",1906,3,"rural","FRANKLIN BORO"
"505",1907,3,"rural","FREDON TWP"
"506",1908,3,"rural","GREEN TWP"
"507",1909,3,"rural","HAMBURG BORO"
"508",1910,3,"rural","HAMPTON TWP"
"509",1911,3,"rural","HARDYSTON TWP"
"510",1912,2,"suburban","HOPATCONG BORO"
"511",1913,3,"rural","LAFAYETTE TWP"
"512",1914,3,"rural","MONTAGUE TWP"
"513",1915,3,"rural","NEWTON TOWN"
"514",1916,3,"rural","OGDENSBURG BORO"
"515",1917,3,"rural","SANDYSTON TWP"
"516",1918,3,"rural","SPARTA TWP"
"517",1919,2,"suburban","STANHOPE BORO"
"518",1920,3,"rural","STILLWATER TWP"
"519",1921,3,"rural","SUSSEX BORO"
"520",1922,3,"rural","VERNON TWP"
"521",1923,3,"rural","WALPACK TWP"
"522",1924,3,"rural","WANTAGE TWP"
"523",2001,2,"suburban","BERKELEY HEIGHTS TWP"
"524",2002,1,"urban","CLARK TWP"
"525",2003,2,"suburban","CRANFORD TWP"
"526",2004,1,"urban","ELIZABETH CITY"
"527",2005,1,"urban","FANWOOD BORO"
"528",2006,1,"urban","GARWOOD BORO"
"529",2007,1,"urban","HILLSIDE TWP"
"530",2008,2,"suburban","KENILWORTH BORO"
"531",2009,1,"urban","LINDEN CITY"
"532",2010,2,"suburban","MOUNTAINSIDE BORO"
"533",2011,2,"suburban","NEW PROVIDENCE BORO"
"534",2012,1,"urban","PLAINFIELD CITY"
"535",2013,1,"urban","RAHWAY CITY"
"536",2014,1,"urban","ROSELLE BORO"
"537",2015,1,"urban","ROSELLE PARK BORO"
"538",2016,1,"urban","SCOTCH PLAINS TWP"
"539",2017,2,"suburban","SPRINGFIELD TWP"
"540",2018,2,"suburban","SUMMIT CITY"
"541",2019,1,"urban","UNION TWP"
"542",2020,1,"urban","WESTFIELD TOWN"
"543",2021,1,"urban","WINFIELD TWP"
"544",2101,3,"rural","ALLAMUCHY TWP"
"545",2102,2,"suburban","ALPHA BORO"
"546",2103,3,"rural","BELVIDERE TOWN"
"547",2104,3,"rural","BLAIRSTOWN TWP"
"548",2105,3,"rural","FRANKLIN TWP"
"549",2106,3,"rural","FRELINGHUYSEN TWP"
"550",2107,3,"rural","GREENWICH TWP"
"551",2108,3,"rural","HACKETTSTOWN TOWN"
"552",2109,3,"rural","HARDWICK TWP"
"553",2110,3,"rural","HARMONY TWP"
"554",2111,3,"rural","HOPE TWP"
"555",2112,3,"rural","INDEPENDENCE TWP"
"556",2113,3,"rural","KNOWLTON TWP"
"557",2114,3,"rural","LIBERTY TWP"
"558",2115,2,"suburban","LOPATCONG TWP"
"559",2116,3,"rural","MANSFIELD TWP"
"560",2117,3,"rural","OXFORD TWP"
"561",2119,2,"suburban","PHILLIPSBURG TOWN"
"562",2120,2,"suburban","POHATCONG TWP"
"563",2121,3,"rural","WASHINGTON BORO"
"564",2122,3,"rural","WASHINGTON TWP"
"565",2123,3,"rural","WHITE TWP"
