"","SSN","HSgradrate"
"143",217,26
"144",605,3
"145",707,27
"146",218,NA
"147",2005,47
"148",1807,47
"149",1314,22
"150",314,4
"151",1009,8
"152",315,16
"153",1411,49
"154",110,24
"155",219,33
"156",1905,30
"157",1906,20
"158",220,43
"159",805,15
"160",1808,30
"161",2105,17
"162",1010,52
"163",1907,45
"164",1315,2
"165",1316,30
"166",2106,32
"167",1011,24
"168",111,24
"169",221,6
"170",2006,22
"171",413,36
"172",806,22
"173",1012,38
"174",708,55
"175",222,49
"176",414,3
"177",415,23
"178",1809,21
"179",1908,48
"180",807,24
"181",606,28
"182",2107,42
"183",903,3
"184",223,9
"185",2108,8
"186",418,28
"187",416,36
"188",417,52
"189",316,24
"190",1603,1
"191",1909,29
"192",112,13
"193",1103,18
"194",113,4
"195",1013,39
"196",1910,40
"197",1412,40
"198",1413,56
"199",2109,46
"200",1911,32
"201",2110,29
"202",224,53
"203",904,3
"204",808,49
"205",1509,52
"206",225,27
"207",226,53
"208",1604,24
"209",1339,21
"210",1206,27
"211",1014,54
"212",1207,42
"213",1317,41
"214",1104,6
"215",1810,42
"216",227,53
"217",2007,7
"218",419,19
"219",905,33
"220",228,54
"221",1015,37
"222",1318,34
"223",1912,32
"224",2111,31
"225",1105,54
"226",607,14
"227",1106,41
"228",1319,29
"229",2112,35
"230",1320,48
"231",709,4
"232",1510,34
"233",1511,20
"234",1208,9
"235",1414,38
"236",906,7
"237",1321,3
"238",907,4
"239",2008,13
"240",1322,9
"241",1016,40
"242",1415,55
"243",2113,23
"244",1512,29
"245",1913,41
"246",1347,24
"247",1513,17
"248",1514,8
"249",1017,20
"250",420,23
"251",1515,30
"252",421,21
"253",608,3
"254",1107,33
"255",1018,50
"256",1019,40
"257",229,35
"258",2114,27
"259",1416,21
"260",2009,11
"261",422,5
"262",114,36
"263",1516,23
"264",1605,29
"265",230,11
"266",1323,55
"267",710,46
"268",1324,53
"269",231,6
"270",809,38
"271",1517,48
"272",1325,5
"273",1430,24
"274",115,33
"275",2115,24
"276",1704,7
"277",505,13
"278",317,26
"279",232,19
"280",1417,32
"281",423,20
"282",233,31
"283",1326,36
"284",1327,48
"285",1518,12
"286",1705,18
"287",2116,27
"288",318,27
"289",1519,56
"290",810,26
"291",1811,10
"292",319,14
"293",711,43
"294",116,46
"295",1328,46
"296",1329,18
"297",609,1
"298",234,27
"299",321,55
"300",320,50
"301",1418,38
"302",1419,53
"303",424,22
"304",1210,43
"305",506,12
"306",1211,19
"307",1331,37
"308",235,47
"309",1020,41
"310",712,48
"311",1812,32
"312",1332,43
"313",1212,38
"314",610,5
"315",1420,16
"316",1333,46
"317",811,12
"318",1213,33
"319",1914,11
"320",713,43
"321",1813,51
"322",236,53
"323",1421,51
"324",237,6
"325",322,44
"326",1423,40
"327",1422,36
"328",1424,12
"329",1426,45
"330",425,15
"331",323,14
"332",324,40
"333",1427,42
"334",1425,56
"335",2010,35
"336",117,7
"337",812,7
"338",1335,17
"339",1334,12
"340",1428,17
"341",1214,1
"342",325,8
"343",238,32
"344",2011,50
"345",714,NA
"346",813,26
"347",1915,16
"348",239,14
"349",908,2
"350",1215,21
"351",715,49
"352",1606,38
"353",326,12
"354",1814,7
"355",507,15
"356",118,29
"357",240,43
"358",241,18
"359",716,27
"360",242,43
"361",426,31
"362",508,31
"363",1521,46
"364",1520,23
"365",1337,37
"366",1338,38
"367",1916,18
"368",1209,28
"369",243,52
"370",1706,8
"371",244,38
"372",2117,12
"373",245,9
"374",327,32
"375",246,29
"376",247,47
"377",1429,29
"378",1607,NA
"379",1608,1
"380",814,5
"381",1815,40
"382",328,9
"383",329,13
"384",1108,51
"385",1707,2
"386",427,5
"387",1708,23
"388",1431,37
"389",1216,NA
"390",2119,4
"391",1709,21
"392",1522,48
"393",428,15
"394",429,56
"395",1217,34
"396",815,19
"397",1710,14
"398",2012,3
"399",1218,52
"400",119,1
"401",1523,21
"402",2120,19
"403",1525,40
"404",1524,45
"405",1609,30
"406",120,45
"407",1114,43
"408",1610,3
"409",1711,7
"410",2013,11
"411",248,49
"412",1432,49
"413",1816,18
"414",1021,49
"415",1022,47
"416",1340,13
"417",249,19
"418",250,18
"419",251,49
"420",1611,40
"421",252,37
"422",253,48
"423",1433,37
"424",330,7
"425",331,52
"426",1112,36
"427",254,31
"428",1434,30
"429",1435,38
"430",255,15
"431",1817,56
"432",1341,44
"433",718,44
"434",2014,16
"435",2015,11
"436",1436,38
"437",1342,54
"438",430,7
"439",256,42
"440",257,20
"441",258,55
"442",1712,1
"443",1917,44
"444",1219,21
"445",2016,42
"446",1343,51
"447",1344,54
"448",509,27
"449",1526,2
"450",1527,41
"451",909,13
"452",332,34
"453",611,8
"454",1528,44
"455",1345,30
"456",1346,20
"457",431,20
"458",121,18
"459",1818,9
"460",1220,9
"461",1819,11
"462",1221,43
"463",259,6
"464",816,10
"465",719,46
"466",1222,17
"467",1223,5
"468",1529,6
"469",333,23
"470",1918,48
"471",1224,10
"472",1348,55
"473",1349,45
"474",334,33
"475",2017,42
"476",1530,25
"477",1919,36
"478",1920,44
"479",1023,36
"480",510,45
"481",612,37
"482",432,28
"483",2018,38
"484",1531,42
"485",1921,9
"486",817,10
"487",335,42
"488",433,27
"489",260,32
"490",261,44
"491",262,56
"492",1024,54
"493",1336,38
"494",1507,23
"495",1612,8
"496",1111,1
"497",1532,16
"498",1350,19
"499",910,NA
"500",2019,13
"501",1025,2
"502",613,8
"503",1351,48
"504",1714,18
"505",263,54
"506",511,39
"507",122,12
"508",1922,42
"509",720,34
"510",1437,3
"511",614,3
"512",434,29
"513",264,38
"514",1352,34
"515",265,10
"516",1923,6
"517",1613,15
"518",1924,30
"519",1820,51
"520",2121,11
"521",336,NA
"522",818,35
"523",2122,31
"524",266,36
"525",1438,50
"526",1821,46
"527",435,17
"528",1614,26
"529",911,14
"530",819,51
"531",1026,31
"532",721,38
"533",512,47
"534",820,24
"535",1353,17
"536",1615,35
"537",912,NA
"538",722,30
"539",513,8
"540",1113,53
"541",337,50
"542",2020,48
"543",821,11
"544",267,44
"545",123,11
"546",1439,13
"547",2123,16
"548",514,6
"549",515,17
"550",338,23
"551",2021,22
"552",436,15
"553",516,NA
"554",1225,15
"555",822,12
"556",823,24
"557",268,54
"558",1616,26
"559",339,20
"560",437,4
"561",269,17
"562",1715,42
"563",824,40
"564",340,16
"565",270,51
"566",NA,NA
"567",NA,NA
"568",NA,NA
