SSN,bike_path_ft_p_mile,bikes_ft_p_mile
"1402",2750.33504321642,2.45657745566654
"1404",198.78020650434,
"1405",1942.62896773362,1273.78649342087
"1406",262.336204758913,
"1407",2819.39578655266,772.214417036649
"1408",5361.62567866893,8.7052415345607
"1409",1317.26985043665,
"1410",431.301774149303,
"1411",917.818744926913,902.572959919701
"1412",539.329278848689,534.098713943724
"1413",1792.14274680349,719.909170187597
"1414",4138.22724015331,
"1415",3839.64591173468,
"1417",2064.03584866403,2064.03584866403
"1418",50.1488481889365,
"1419",2094.05995956552,2094.05995956552
"1420",136.905094081864,
"1421",3521.87655088873,9.38609983191831
"1422",2247.41142849025,19.8710642256326
"1423",1204.71694474132,620.009531183975
"1424",4944.5108950346,
"1425",11726.2771516518,
"1427",9326.41772828068,422.242813375015
"1429",832.178418062981,
"1430",108.272957232379,
"1431",4648.96072532286,
"1432",1502.78031821545,276.149177643239
"1433",1038.85548116502,
"1435",4728.73755602894,274.4627609384
"1436",666.631866798202,316.044920103203
"1438",3020.20921421705,
"1439",4757.25613886792,
"1501",11978.5379596112,
"1504",1981.25619158802,1981.25619158802
"1505",848.797539424515,224.668891895862
"1506",290.919250314899,
"1507",151.332683057856,
"1509",79.011943216995,
"1511",1109.02736744249,
"1512",312.781392488534,196.455757713881
"1514",110.939268091104,
"1517",58.8215568465656,
"1518",100.340998710032,
"1520",733.465496595926,733.465496595926
"1525",1379.32337316711,
"1526",2745.8268793175,
"1527",408.56233767619,
"1530",21.4022478299977,
"1601",9657.59186269952,
"1602",75.8095866110721,75.8095866110721
"1604",4877.35195747485,
"1605",3753.99016946839,2831.9030337985
"1606",8503.12280424609,276.058823894304
"1607",21.2416408711162,
"1608",29.0034325138908,
"1609",9637.45830428568,
"1611",14981.3673712174,1625.81642013117
"1613",15276.8644329272,
"1614",7704.51086971472,90.3369996689167
"1615",5293.59991424808,736.077816799453
"1616",15275.6961282118,2748.97253664059
"1707",459.903058203124,
"1709",232.299960718476,
"1712",29.3787423217211,
"1713",185.772461737389,
"1714",341.485628449641,341.485628449641
"1801",2650.34921348591,823.604035380604
"1802",1625.46872279993,
"1803",6.35260805391679,
"1804",4450.84800968207,4034.44568204232
"1805",884.730857081615,
"1806",477.165428178854,253.423248514877
"1807",230.60372261354,
"1808",3826.94617231209,2568.29892954228
"1809",789.342807324744,
"1810",3242.05960706467,107.001698602786
"1811",433.452607807097,433.452607807097
"1813",2025.85510151246,22.2879809655575
"1815",3889.29200317477,
"1816",2006.66433989911,
"1817",15423.5588910512,
"1818",8863.20907018258,3716.9083334122
"1819",9188.42689700651,8775.07983919564
"1820",61.4841569890232,
"1901",6791.4211421341,6791.4211421341
"1902",7222.21766768554,808.292899368948
"1903",61.6951394347937,61.6951394347937
"1904",10682.4328621336,1575.12301508812
"1905",804.680763557423,559.268629531808
"1907",1750.76047332727,1750.76047332727
"1908",2223.53151507907,426.114292856255
"1910",1943.80157965981,1882.47837839004
"1911",460.861114571858,
"1912",4022.45715296556,
"1913",1779.94106771735,1764.60876713817
"1914",2245.03275195578,
"1915",2611.98796929669,5.70648211444489
"1916",283.266298029922,
"1917",6234.39563043371,
"1918",3247.05977421831,78.1027861708674
"1919",5354.43634394358,
"1920",404.612639385316,
"1922",2574.10833921809,
"1923",6306.02707036417,
"1924",275.433488363035,
"2001",137.79357136809,
"2002",5661.94916426525,
"2003",7603.42392690401,5481.75955659928
"2004",624.123076968688,624.123076968688
"2006",401.011214438492,
"2007",3.46763093421767,
"2008",4716.78781749479,3724.29176999168
"2009",922.287648701757,475.486052808423
"2010",3359.62152210726,3103.5845131045
"2011",24.3341105510294,
"2013",2088.28516206706,1191.9537817891
"2014",117.359453012805,
"2015",80.4598944755591,
"2016",805.25208100209,
"2017",8.66450178593421,
"2018",1479.98439711543,
"2019",417.467786952661,217.954972549368
"2020",1075.44640352641,956.385146977886
"2101",6485.39248948583,
"2104",1303.4189306555,1125.07021992796
"2106",1272.5014830883,779.983842001575
"2108",4452.10022153065,
"2109",6616.90608766411,88.6109720087938
"2110",988.969305440003,
"2111",2744.33444540884,
"2112",1666.6200005436,
"2113",220.021512888402,220.021512888402
"2114",1238.580429841,
"2115",2299.15064385133,
"2117",969.88392188243,969.88392188243
"2119",3379.26074505088,
"2121",17.7834406735165,
"2122",25.8000015652147,
"2123",1135.62119239881,
