"","SSN","vlntCr"
"184",514,12.3
"185",515,0.6
"186",516,4.8
"187",601,11.5
"188",602,3.9
"189",603,2.2
"190",604,2
"191",605,3.7
"192",606,0
"193",607,0.9
"194",608,1.5
"195",609,0.6
"196",610,7.1
"197",611,2
"198",612,0
"199",613,2.2
"200",614,5.5
"201",701,2.7
"202",702,2
"203",703,0.5
"204",704,0.7
"205",705,0.2
"206",706,6.9
"207",707,0.5
"208",708,1.4
"209",709,11.7
"210",710,0.4
"211",711,1.1
"212",712,0.4
"213",713,1.2
"214",714,11.5
"215",715,0
"216",716,0.8
"217",717,11
"218",718,0.5
"219",719,2
"220",720,0.1
"221",721,0.5
"222",722,2.1
"223",801,0.7
"224",802,2.1
"225",803,0.5
"226",804,1
"227",805,0.4
"228",806,1.6
"229",807,0.6
"230",808,0.4
"231",809,1.2
"232",810,0.4
"233",811,1
"234",812,1.3
"235",813,0
"236",814,5
"237",815,0.8
"238",816,0
"239",817,0.8
"240",818,1
"241",819,0
"242",820,0.8
"243",821,1.7
"244",822,3.6
"245",823,2
"246",824,0.4
"247",901,2.4
"248",902,0
"249",903,2.29
"250",904,2.7
"251",905,2.7
"252",906,5.4
"253",907,1.7
"254",908,1.8
"255",909,2
"256",910,2.4
"257",911,1.2
"258",912,2.6
"259",1001,0.4
"260",1002,0.3
"261",1003,2.29
"262",1004,0
"263",1005,0
"264",1006,0.3
"265",1007,0.7
"266",1008,0
"267",1009,1.5
"268",1010,0
"269",1011,0.7
"270",1012,0.6
"271",1013,0.7
"272",1014,0.3
"273",1015,0.4
"274",1016,0
"275",1017,0.8
"276",1018,0.6
"277",1019,0
"278",1020,0
"279",1021,0.5
"280",1022,0.3
"281",1023,0
"282",1024,0
"283",1025,1
"284",1026,1.1
"285",1101,0.4
"286",1102,2.4
"287",1103,1.8
"288",1104,2.5
"289",1105,0
"290",1106,0.2
"291",1107,1.5
"292",1108,0.4
"293",1114,0.5
"294",1111,12.2
"295",1112,0.8
"296",1113,0.7
"297",1201,1.4
"298",1202,1.8
"299",1203,0.9
"300",1204,0.8
"301",1205,1
"302",1206,0.4
"303",1207,0.4
"304",1208,0.8
"305",1209,0.6
"306",1210,0.5
"307",1211,0.9
"308",1212,0.3
"309",1213,0.1
"310",1214,7.7
"311",1215,1.7
"312",1216,4.4
"313",1217,0.9
"314",1218,0.3
"315",1219,0.9
"316",1220,1.6
"317",1221,0.7
"318",1222,1.1
"319",1223,1.4
"320",1224,0.7
"321",1225,1.1
"322",1301,0
"323",1302,0
"324",1303,14.6
"325",1304,0.2
"326",1305,0.2
"327",1306,0
"328",1307,3.3
"329",1308,0.7
"330",1309,0.4
"331",1310,4.09
"332",1311,3.3
"333",1312,0.5
"334",1313,0
"335",1314,1.5
"336",1315,3
"337",1316,0.6
"338",1317,1
"339",1318,0.8
"340",1319,0.9
"341",1320,0
"342",1321,2.4
"343",1322,2.1
"344",1323,0.2
"345",1324,0
"346",1325,3.1
"347",1326,0.7
"348",1327,1.2
"349",1328,0.5
"350",1329,0.3
"351",1330,0.9
"352",1331,0.4
"353",1332,1
"354",1333,0.6
"355",1334,5.6
"356",1335,2.29
"357",1336,0.3
"358",1337,0.7
"359",1338,1
"360",1339,0.2
"361",1340,2.29
"362",1341,0
"363",1342,0.4
"364",1343,1.5
"365",1344,2.2
"366",1345,0.2
"367",1346,0
"368",1347,0.6
"369",1348,0
"370",1349,0
"371",1350,0.7
"372",1351,0.1
"373",1352,0.7
"374",1353,0.8
"375",1401,1.1
"376",1402,1.4
"377",1403,0.8
"378",1404,0
"379",1405,0.1
"380",1406,0
"381",1407,0
"382",1408,0.3
"383",1409,1.7
"384",1410,0.5
"385",1411,0.3
"386",1412,0.6
"387",1413,0
"388",1414,0.7
"389",1415,0.1
"390",1416,0.4
"391",1417,0.2
"392",1418,0.6
"393",1419,0.2
"394",1420,1.1
"395",1421,0.4
"396",1422,0.3
"397",1423,1.2
"398",1424,3.1
"399",1425,0
"400",1426,0
"401",1427,0.3
"402",1428,0.9
"403",1429,0.8
"404",1430,0.1
"405",1431,0.3
"406",1432,0.2
"407",1433,0.5
"408",1434,0
"409",1435,0.7
"410",1436,0.3
"411",1437,3.3
"412",1438,0.1
"413",1439,1.1
"414",1502,3.5
"415",1503,0
"416",1504,2.6
"417",1505,0.4
"418",1506,1.2
"419",1507,1
"420",1508,0.6
"421",1509,3.1
"422",1510,0
"423",1511,0.6
"424",1512,0.6
"425",1513,0.5
"426",1514,0.4
"427",1515,1.7
"428",1516,0.6
"429",1517,1.2
"430",1518,2.7
"431",1519,0.5
"432",1520,0
"433",1521,0.2
"434",1522,0
"435",1523,0.5
"436",1524,0.8
"437",1525,0.5
"438",1526,0.7
"439",1527,13.8
"440",1528,1.3
"441",1529,0.9
"442",1530,2.4
"443",1531,0.3
"444",1532,0.8
"445",1533,0.6
"446",1501,0.9
"447",1601,1.2
"448",1602,2.29
"449",1603,3.1
"450",1604,0.4
"451",1605,1
"452",1606,0.2
"453",1607,4.59
"454",1608,7.9
"455",1609,0.8
"456",1610,0.8
"457",1611,0.4
"458",1612,1.8
"459",1613,0.7
"460",1614,0.3
"461",1615,0.7
"462",1616,1
"463",1701,2.1
"464",1703,1.5
"465",1704,0
"466",1705,2.29
"467",1709,0.5
"468",1706,4
"469",1707,3.3
"470",1708,5
"471",1710,2.2
"472",1711,0.8
"473",1712,2.29
"474",1713,15.8
"475",1702,1.4
"476",1714,0.9
"477",1715,1.7
"478",1801,0.1
"479",1802,0.1
"480",1803,0
"481",1804,1.4
"482",1805,0.1
"483",1806,0.2
"484",1807,2.1
"485",1808,1
"486",1809,0.4
"487",1810,0.2
"488",1811,0.7
"489",1812,0
"490",1813,0.3
"491",1814,2.4
"492",1815,0.4
"493",1816,0.7
"494",1817,0
"495",1818,1.2
"496",1819,0
"497",1820,0.2
"498",1821,1.2
"499",1901,3.4
"500",1902,0.7
"501",1903,0
"502",1904,0.1
"503",1905,0.9
"504",1906,0
"505",1907,0.9
"506",1908,0.3
"507",1909,0.3
"508",1910,0.4
"509",1911,0.6
"510",1912,0.5
"511",1913,1.2
"512",1914,1.8
"513",1915,1.5
"514",1916,0.9
"515",1917,1
"516",1918,0.3
"517",1919,0.3
"518",1920,0.8
"519",1921,1.5
"520",1922,0.4
"521",1923,0
"522",1924,1.1
"523",2001,0
"524",2002,0.2
"525",2003,0.2
"526",2004,9.3
"527",2005,0.1
"528",2006,1.2
"529",2007,4.09
"530",2008,0.6
"531",2009,4.09
"532",2010,0.1
"533",2011,0
"534",2012,6.6
"535",2013,1.9
"536",2014,1.9
"537",2015,0.8
"538",2016,0.2
"539",2017,0.4
"540",2018,0.4
"541",2019,1.5
"542",2020,0.3
"543",2021,0
"544",2101,0.2
"545",2102,0.9
"546",2103,0
"547",2104,0.3
"548",2105,0.3
"549",2106,0.5
"550",2107,0
"551",2108,1.3
"552",2109,0.6
"553",2110,0
"554",2111,0.5
"555",2112,0.4
"556",2113,1.7
"557",2114,0.4
"558",2115,0.1
"559",2116,0.5
"560",2117,0
"561",2119,1.6
"562",2120,0.6
"563",2121,0.9
"564",2122,0.5
"565",2123,0.2
