GEOID,occupancy_rate,vacancy_rate,multiunit_struct,mobile_home_rate,pop_20yrs_plus,no_vehicle,public_transit,NAME,mobile_home,multiunits_10_to_19,multiunits_20_to_49,multiunits_50plus,multiunits_five_to_nine,multiunits_three_or_four,multiunits_two,occupied_owner,occupied_renter,occupied_units,pop_own_90_99,pop_own_bfr89,pop_own_occ,pop_ren_90_99,pop_ren_bfr89,pop_ren_occ,total_units,vacant_units,pop_own_20yrs_plus,pop_ren_20yrs_plus
34001010403,0.9536307961504812,0.04636920384951881,284,0,1547,170,46,"Census Tract 104.03, Atlantic County, New Jersey",0,0,105,59,0,80,40,1816,364,2180,888,596,5898,41,22,791,2286,106,1484,63
34001010501,0.8581363004172462,0.14186369958275383,724,0.004728789986091794,2127,162,23,"Census Tract 105.01, Atlantic County, New Jersey",17,51,0,26,268,316,63,2650,435,3085,1306,749,5884,21,51,974,3595,510,2055,72
34001010503,0.8598237133920955,0.14017628660790446,1808,0,1549,296,345,"Census Tract 105.03, Atlantic County, New Jersey",0,436,266,119,741,172,74,1639,1385,3024,884,496,3891,169,0,3563,3517,493,1380,169
34001010505,0.7819672131147541,0.2180327868852459,143,0,1259,9,18,"Census Tract 105.05, Atlantic County, New Jersey",0,0,120,0,23,0,0,936,18,954,619,631,2620,9,0,18,1220,266,1250,9
34001010506,0.9010050251256282,0.09899497487437187,259,0.033165829145728645,1924,193,51,"Census Tract 105.06, Atlantic County, New Jersey",66,74,0,8,108,39,30,1461,332,1793,1195,729,4176,0,0,1085,1990,197,1924,0
34001010600,0.8626476072094469,0.13735239279055314,551,0,782,150,56,"Census Tract 106, Atlantic County, New Jersey",0,19,5,90,101,89,247,711,677,1388,179,551,1849,44,8,2248,1609,221,730,52
34001010700,0.9277551020408163,0.07224489795918368,17,0.037142857142857144,2388,115,86,"Census Tract 107, Atlantic County, New Jersey",91,0,0,0,0,17,0,2019,254,2273,878,1486,5263,24,0,615,2450,177,2364,24
34001010800,0.9419680403700589,0.05803195962994113,280,0,835,181,43,"Census Tract 108, Atlantic County, New Jersey",0,57,6,71,29,92,25,754,366,1120,417,406,1997,0,12,973,1189,69,823,12
34001010900,0.9308176100628931,0.06918238993710692,494,0,1908,152,86,"Census Tract 109, Atlantic County, New Jersey",0,119,41,104,75,61,94,1537,683,2220,1025,778,4040,50,55,1544,2385,165,1803,105
34001011000,0.8528528528528528,0.14714714714714713,111,0,1014,40,7,"Census Tract 110, Atlantic County, New Jersey",0,34,6,6,29,14,22,692,160,852,375,582,1999,44,13,417,999,147,957,57
34001011100,0.8787593984962406,0.1212406015037594,230,0.009398496240601503,1148,128,55,"Census Tract 111, Atlantic County, New Jersey",10,8,0,31,0,33,158,655,280,935,387,623,1667,138,0,1022,1064,129,1010,138
34001011201,0.9656786271450858,0.0343213728549142,27,0,963,22,0,"Census Tract 112.01, Atlantic County, New Jersey",0,0,0,0,0,12,15,576,43,619,431,527,1638,0,5,123,641,22,958,5
34001011202,0.8584490348797833,0.14155096512021673,0,0.10768709786657636,3034,101,91,"Census Tract 112.02, Atlantic County, New Jersey",318,0,0,0,0,0,0,2124,411,2535,1053,1981,6104,0,0,1235,2953,418,3034,0
34001011300,0.9414951245937161,0.05850487540628386,612,0,1120,272,31,"Census Tract 113, Atlantic County, New Jersey",0,149,31,119,10,140,163,925,813,1738,476,464,2609,132,48,1789,1846,108,940,180
34001011401,0.9252842447211694,0.07471575527883054,55,0,1947,71,19,"Census Tract 114.01, Atlantic County, New Jersey",0,0,0,0,9,11,35,1490,219,1709,617,1222,3757,81,27,502,1847,138,1839,108
34001011403,0.90633608815427,0.09366391184573003,1508,0.0023612750885478157,794,113,40,"Census Tract 114.03, Atlantic County, New Jersey",6,672,172,39,272,150,203,1179,1124,2303,519,219,3138,0,56,2516,2541,238,738,56
34001011404,0.8987753061734567,0.10122469382654337,912,0.02999250187453137,1204,223,68,"Census Tract 114.04, Atlantic County, New Jersey",120,222,59,37,313,262,19,2761,835,3596,694,510,6775,0,0,2055,4001,405,1204,0
34001011500,0.93,0.07,250,0.034,1949,240,64,"Census Tract 115, Atlantic County, New Jersey",85,14,0,17,101,0,118,1794,531,2325,1071,864,5036,14,0,1769,2500,175,1935,14
34001011600,0.9184160305343512,0.08158396946564886,50,0.19751908396946566,1891,51,8,"Census Tract 116, Atlantic County, New Jersey",414,16,0,5,0,21,8,1734,191,1925,918,966,4322,0,7,622,2096,171,1884,7
34001011701,0.8324192565508836,0.1675807434491164,474,0.15722120658135283,2057,42,79,"Census Tract 117.01, Atlantic County, New Jersey",516,109,28,42,50,245,0,2275,457,2732,1246,623,7358,188,0,1504,3282,550,1869,188
34001011702,0.9186676994577847,0.08133230054221534,195,0.3718048024786987,1071,138,17,"Census Tract 117.02, Atlantic County, New Jersey",480,6,41,0,72,24,52,897,289,1186,588,473,2389,0,10,777,1291,105,1061,10
34001011802,0.9276075857038658,0.0723924142961342,287,0.03792851932895697,3732,0,2,"Census Tract 118.02, Atlantic County, New Jersey",208,0,0,155,22,0,110,4858,229,5087,1721,1944,15585,0,67,971,5484,397,3665,67
34001011803,0.9211281070745698,0.0788718929254302,842,0.06453154875717017,1294,180,46,"Census Tract 118.03, Atlantic County, New Jersey",135,265,124,24,217,125,87,1362,565,1927,856,296,3249,118,24,1372,2092,165,1152,142
34001011804,0.8953399541634836,0.10466004583651642,58,0.08861726508785332,2478,0,24,"Census Tract 118.04, Atlantic County, New Jersey",232,0,0,0,0,27,31,2162,182,2344,1131,1273,6257,74,0,595,2618,274,2404,74
34001011805,0.8823529411764706,0.11764705882352941,18,0.15606242496998798,819,19,0,"Census Tract 118.05, Atlantic County, New Jersey",130,0,0,0,0,0,18,674,61,735,491,323,1774,0,5,225,833,98,814,5
34001011900,0.8722480620155039,0.12775193798449613,1709,0,1889,435,278,"Census Tract 119, Atlantic County, New Jersey",0,746,283,50,172,210,248,1033,1780,2813,623,703,3431,517,46,4975,3225,412,1326,563
34001012000,0.8657205240174672,0.13427947598253276,631,0,867,280,208,"Census Tract 120, Atlantic County, New Jersey",0,69,31,105,111,188,127,942,644,1586,337,463,2975,37,30,1549,1832,246,800,67
34001012100,0.8025793650793651,0.1974206349206349,272,0,393,172,185,"Census Tract 121, Atlantic County, New Jersey",0,97,41,0,57,38,39,442,367,809,93,291,1335,9,0,1307,1008,199,384,9
34001012200,0.9059656218402427,0.09403437815975733,697,0,1305,368,348,"Census Tract 122, Atlantic County, New Jersey",0,12,63,206,108,31,277,1027,765,1792,493,792,3361,11,9,1858,1978,186,1285,20
34001012302,0.9081125827814569,0.09188741721854304,92,0.013245033112582781,1431,11,22,"Census Tract 123.02, Atlantic County, New Jersey",16,11,0,0,40,12,29,941,156,1097,858,573,2958,0,0,544,1208,111,1431,0
34001012401,0.8891992551210428,0.11080074487895716,98,0,1310,42,31,"Census Tract 124.01, Atlantic County, New Jersey",0,0,79,0,0,7,12,901,54,955,609,684,2627,17,0,144,1074,119,1293,17
34001012402,0.948905109489051,0.051094890510948905,5,0.004866180048661801,789,26,4,"Census Tract 124.02, Atlantic County, New Jersey",4,0,0,0,0,5,0,731,49,780,360,409,1792,20,0,114,822,42,769,20
34001012501,0.9332003988035892,0.06679960119641076,242,0,978,131,11,"Census Tract 125.01, Atlantic County, New Jersey",0,39,6,88,32,37,40,732,204,936,371,591,1947,11,5,485,1003,67,962,16
34001012502,0.9133986928104575,0.08660130718954248,66,0.011437908496732025,646,14,0,"Census Tract 125.02, Atlantic County, New Jersey",7,0,0,0,5,30,31,474,85,559,324,309,1241,0,13,229,612,53,633,13
34001012602,0.9417293233082706,0.05827067669172932,0,0,680,5,0,"Census Tract 126.02, Atlantic County, New Jersey",0,0,0,0,0,0,0,470,31,501,278,402,1284,0,0,119,532,31,680,0
34001012701,0.9040469973890339,0.09595300261096605,490,0,1010,111,87,"Census Tract 127.01, Atlantic County, New Jersey",0,243,11,11,61,21,143,812,573,1385,414,514,1879,73,9,1366,1532,147,928,82
34001012702,0.8229284903518729,0.17707150964812712,359,0,411,116,19,"Census Tract 127.02, Atlantic County, New Jersey",0,157,8,43,46,76,29,399,326,725,180,154,1008,39,38,806,881,156,334,77
34001012801,0.8118466898954704,0.18815331010452963,1072,0.007466401194624191,1279,144,94,"Census Tract 128.01, Atlantic County, New Jersey",15,521,199,104,71,90,87,815,816,1631,700,324,2059,228,27,1772,2009,378,1024,255
34001012802,0.6456266907123535,0.35437330928764654,238,0,588,18,8,"Census Tract 128.02, Atlantic County, New Jersey",0,56,4,4,97,46,31,566,150,716,279,285,1242,20,4,313,1109,393,564,24
34001013000,0.509409474367294,0.49059052563270605,306,0,1605,122,17,"Census Tract 130, Atlantic County, New Jersey",0,44,32,46,29,31,124,1375,195,1570,699,866,2883,9,31,356,3082,1512,1565,40
34001013101,0.44937238493723847,0.5506276150627615,26,0,603,54,24,"Census Tract 131.01, Atlantic County, New Jersey",0,8,0,10,0,8,0,519,18,537,273,314,1091,16,0,33,1195,658,587,16
34001013102,0.3260944501895898,0.6739055498104102,2032,0,435,49,5,"Census Tract 131.02, Atlantic County, New Jersey",0,228,217,771,161,200,455,612,334,946,209,188,1145,22,16,563,2901,1955,397,38
34001013201,0.5088517956499747,0.49114820435002526,1301,0,457,238,331,"Census Tract 132.01, Atlantic County, New Jersey",0,57,25,650,62,106,401,600,406,1006,265,131,1510,61,0,1515,1977,971,396,61
34001013202,0.6958904109589041,0.3041095890410959,537,0,661,115,63,"Census Tract 132.02, Atlantic County, New Jersey",0,125,88,79,58,23,164,710,306,1016,312,318,1809,31,0,638,1460,444,630,31
34001013301,0.48560986751941526,0.5143901324805847,811,0,707,259,174,"Census Tract 133.01, Atlantic County, New Jersey",0,0,50,160,63,125,413,566,497,1063,282,344,1128,73,8,901,2189,1126,626,81
34001013302,0.5668367346938775,0.4331632653061224,734,0,671,93,262,"Census Tract 133.02, Atlantic County, New Jersey",0,26,29,168,92,17,402,735,376,1111,204,467,1658,0,0,1061,1960,849,671,0
34001013500,0.44420226678291197,0.555797733217088,469,0.0034873583260680036,825,28,24,"Census Tract 135, Atlantic County, New Jersey",8,35,96,239,38,18,43,882,137,1019,403,350,2108,0,72,279,2294,1275,753,72
34001983400,1,0,0,0,8,0,67,"Census Tract 9834, Atlantic County, New Jersey",0,0,0,0,0,0,0,12,0,12,0,8,35,0,0,0,12,0,8,0
34001990000,NaN,NaN,0,NaN,0,0,0,"Census Tract 9900, Atlantic County, New Jersey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34003001000,0.9379941739492301,0.062005826050769874,256,0,2481,104,541,"Census Tract 10, Bergen County, New Jersey",0,0,18,89,21,17,111,1925,329,2254,1619,821,6105,41,0,559,2403,149,2440,41
34003002100,0.8764607679465777,0.12353923205342238,21,0,577,21,49,"Census Tract 21, Bergen County, New Jersey",0,0,0,0,14,7,0,430,95,525,255,273,1211,42,7,302,599,74,528,49
34003002200,0.9640171858216972,0.0359828141783029,185,5.370569280343716e-4,1945,31,71,"Census Tract 22, Bergen County, New Jersey",1,0,18,23,0,54,90,1549,246,1795,1053,863,4315,18,11,726,1862,67,1916,29
34003002300,0.9726402188782489,0.027359781121751026,410,0.006839945280437756,2008,84,218,"Census Tract 23, Bergen County, New Jersey",15,28,0,208,0,82,92,1732,401,2133,1108,816,4735,22,62,877,2193,60,1924,84
34003003100,0.9612756264236902,0.0387243735763098,312,0,1816,112,382,"Census Tract 31, Bergen County, New Jersey",0,19,6,36,7,82,162,1393,295,1688,998,795,4328,16,7,820,1756,68,1793,23
34003003200,0.981100611450806,0.018899388549193995,1035,0,949,164,419,"Census Tract 32, Bergen County, New Jersey",0,169,113,84,212,96,361,780,985,1765,272,507,2788,126,44,2207,1799,34,779,170
34003003300,1,0,411,0,2442,89,634,"Census Tract 33, Bergen County, New Jersey",0,0,0,0,0,41,370,1652,464,2116,1472,932,5440,38,0,1265,2116,0,2404,38
34003003401,0.8875453446191052,0.1124546553808948,47,0,977,23,227,"Census Tract 34.01, Bergen County, New Jersey",0,0,0,5,0,0,42,661,73,734,541,436,2570,0,0,213,827,93,977,0
34003003402,0.9736575481256332,0.02634245187436677,54,0,1102,51,198,"Census Tract 34.02, Bergen County, New Jersey",0,0,0,0,3,0,51,857,104,961,457,639,3313,0,6,365,987,26,1096,6
34003003500,0.9803407601572739,0.019659239842726082,887,0,795,346,285,"Census Tract 35, Bergen County, New Jersey",0,27,29,217,40,173,401,549,947,1496,178,469,1851,85,63,2151,1526,30,647,148
34003004001,0.9493891797556719,0.0506108202443281,410,0.009598603839441536,792,26,291,"Census Tract 40.01, Bergen County, New Jersey",11,22,0,11,47,11,319,738,350,1088,305,325,2444,162,0,889,1146,58,630,162
34003004002,0.9694656488549618,0.030534351145038167,513,0,1701,162,419,"Census Tract 40.02, Bergen County, New Jersey",0,96,65,24,63,75,190,1271,507,1778,874,709,3964,100,18,1033,1834,56,1583,118
34003005000,0.9141394249704609,0.08586057502953919,1288,0,2100,87,396,"Census Tract 50, Bergen County, New Jersey",0,0,0,0,73,185,1030,1500,821,2321,646,1285,4329,51,118,1862,2539,218,1931,169
34003006100,0.937854994988306,0.062145005011693955,2189,0,2184,669,1058,"Census Tract 61, Bergen County, New Jersey",0,268,240,370,104,573,634,1227,1580,2807,394,1280,2928,259,251,3762,2993,186,1674,510
34003006201,0.9408775981524249,0.05912240184757506,1554,0,896,606,595,"Census Tract 62.01, Bergen County, New Jersey",0,245,161,556,0,57,535,702,1335,2037,281,303,1379,256,56,2848,2165,128,584,312
34003006202,0.9060751398880895,0.09392486011191047,2130,0,1147,290,736,"Census Tract 62.02, Bergen County, New Jersey",0,54,49,1536,94,146,251,1631,636,2267,689,458,3907,0,0,1237,2502,235,1147,0
34003006300,0.9406593406593406,0.05934065934065934,2706,0,1813,496,1670,"Census Tract 63, Bergen County, New Jersey",0,289,167,446,278,480,1046,1407,2017,3424,1009,642,3868,102,60,4949,3640,216,1651,162
34003007001,0.9654395191585274,0.03456048084147258,178,0,1303,26,302,"Census Tract 70.01, Bergen County, New Jersey",0,18,0,0,55,7,98,993,292,1285,556,701,3012,13,33,811,1331,46,1257,46
34003007002,0.9560439560439561,0.04395604395604396,106,0,1599,37,113,"Census Tract 70.02, Bergen County, New Jersey",0,0,0,15,5,39,47,1302,177,1479,846,753,4047,0,0,640,1547,68,1599,0
34003008000,0.9466098919095971,0.053390108090402885,407,0,2301,81,562,"Census Tract 80, Bergen County, New Jersey",0,39,41,184,75,35,33,2408,482,2890,1168,1119,7350,0,14,1313,3053,163,2287,14
34003009100,0.9445378151260504,0.05546218487394958,38,0,1698,9,230,"Census Tract 91, Bergen County, New Jersey",0,0,0,0,0,23,15,1507,179,1686,933,765,4247,0,0,696,1785,99,1698,0
34003009200,0.9754385964912281,0.02456140350877193,6,0,1598,0,283,"Census Tract 92, Bergen County, New Jersey",0,0,0,0,0,0,6,1052,60,1112,904,694,3200,0,0,211,1140,28,1598,0
34003010100,0.9674479166666666,0.032552083333333336,371,0,2365,84,260,"Census Tract 101, Bergen County, New Jersey",0,24,80,0,67,121,79,1803,426,2229,982,1349,5045,34,0,833,2304,75,2331,34
34003010200,0.9571596244131455,0.04284037558685446,837,0,1061,159,264,"Census Tract 102, Bergen County, New Jersey",0,183,181,18,163,90,202,748,883,1631,381,569,2499,54,57,1951,1704,73,950,111
34003010300,0.9468726450640542,0.05312735493594574,518,0,3199,204,376,"Census Tract 103, Bergen County, New Jersey",0,94,47,71,26,0,280,2026,487,2513,1444,1627,6439,112,16,910,2654,141,3071,128
34003011100,0.9429928741092637,0.057007125890736345,700,0,883,196,290,"Census Tract 111, Bergen County, New Jersey",0,49,46,58,64,211,272,939,649,1588,269,314,2581,88,212,1795,1684,96,583,300
34003011200,1,0,938,0,1155,102,91,"Census Tract 112, Bergen County, New Jersey",0,15,13,46,74,302,488,765,968,1733,370,679,2159,27,79,2837,1733,0,1049,106
34003011300,0.9211563731931669,0.07884362680683311,378,0,1114,15,128,"Census Tract 113, Bergen County, New Jersey",0,8,30,7,0,18,315,978,424,1402,429,664,3009,21,0,1313,1522,120,1093,21
34003011400,0.9252775405636209,0.07472245943637916,1315,0,2159,73,188,"Census Tract 114, Bergen County, New Jersey",0,0,90,36,46,83,1060,1176,991,2167,820,723,3231,409,207,3156,2342,175,1543,616
34003012001,0.9126031507876969,0.08739684921230308,2281,0,1455,404,346,"Census Tract 120.01, Bergen County, New Jersey",0,211,203,512,119,209,1027,708,1725,2433,243,934,1918,146,132,4245,2666,233,1177,278
34003012002,0.9343814080656186,0.06561859193438141,907,0,1120,158,264,"Census Tract 120.02, Bergen County, New Jersey",0,59,24,69,39,235,481,672,695,1367,390,428,1594,222,80,1691,1463,96,818,302
34003013001,0.8756641870350691,0.12433581296493093,3481,0,254,355,1854,"Census Tract 130.01, Bergen County, New Jersey",0,478,602,2085,126,116,74,888,2408,3296,146,61,1976,14,33,4693,3764,468,207,47
34003013002,0.9555382215288611,0.044461778471138844,1870,0,819,264,996,"Census Tract 130.02, Bergen County, New Jersey",0,127,322,658,171,269,323,1003,1447,2450,437,160,2001,75,147,3509,2564,114,597,222
34003014000,0.9525436598329536,0.04745634016704632,327,0.006074411541381929,2596,101,419,"Census Tract 140, Bergen County, New Jersey",16,51,62,34,0,71,109,2087,422,2509,1181,1353,6147,0,62,1221,2634,125,2534,62
34003015100,0.9440628066732091,0.05593719332679097,325,0.015701668302257114,836,28,134,"Census Tract 151, Bergen County, New Jersey",16,33,75,113,9,33,62,765,197,962,542,241,2352,47,6,477,1019,57,783,53
34003015200,0.9375487900078064,0.0624512099921936,1114,0,1973,184,687,"Census Tract 152, Bergen County, New Jersey",0,321,26,0,252,170,345,1387,1015,2402,1009,805,3972,74,85,2231,2562,160,1814,159
34003015300,0.8827080638206123,0.11729193617938767,1087,0.0021561017680034496,2254,454,701,"Census Tract 153, Bergen County, New Jersey",5,33,85,65,205,307,392,1126,921,2047,457,1288,3573,69,440,2347,2319,272,1745,509
34003015400,0.8344066237350506,0.1655933762649494,2519,0,2036,409,611,"Census Tract 154, Bergen County, New Jersey",0,145,282,1252,161,240,439,721,2000,2721,702,754,2396,222,358,4528,3261,540,1456,580
34003015500,0.9710536472404477,0.028946352759552298,1160,0,1587,273,780,"Census Tract 155, Bergen County, New Jersey",0,65,106,140,493,169,187,1627,889,2516,686,733,4285,140,28,1984,2591,75,1419,168
34003016000,0.8998482549317147,0.10015174506828528,51,0,1590,43,398,"Census Tract 160, Bergen County, New Jersey",0,0,0,11,15,7,18,1538,241,1779,359,1197,4526,34,0,788,1977,198,1556,34
34003017100,0.9541697971450037,0.04583020285499624,563,0,2775,223,816,"Census Tract 171, Bergen County, New Jersey",0,61,14,28,89,299,72,2039,501,2540,1423,1174,5901,164,14,1137,2662,122,2597,178
34003017200,0.9289281598155974,0.07107184018440262,1155,0,1818,253,444,"Census Tract 172, Bergen County, New Jersey",0,260,74,136,148,221,316,1244,1174,2418,841,903,3846,14,60,2304,2603,185,1744,74
34003017300,0.9528487229862476,0.047151277013752456,105,0,2298,27,439,"Census Tract 173, Bergen County, New Jersey",0,13,0,0,0,0,92,1791,149,1940,991,1307,5378,0,0,618,2036,96,2298,0
34003017400,0.9956116291826659,0.004388370817334065,115,0,1974,85,554,"Census Tract 174, Bergen County, New Jersey",0,38,8,33,9,0,27,1619,196,1815,947,949,4858,8,70,458,1823,8,1896,78
34003017500,0.9892086330935251,0.01079136690647482,245,0.006834532374100719,3055,128,482,"Census Tract 175, Bergen County, New Jersey",19,13,0,0,37,86,109,2485,265,2750,1364,1614,7468,0,77,909,2780,30,2978,77
34003018100,0.940959409594096,0.05904059040590406,2293,0,1300,904,1276,"Census Tract 181, Bergen County, New Jersey",0,66,142,327,248,714,796,932,1873,2805,473,448,3008,318,61,4409,2981,176,921,379
34003018200,0.9553340716131414,0.04466592838685862,1987,0,1423,379,499,"Census Tract 182, Bergen County, New Jersey",0,187,252,107,92,518,831,892,1696,2588,541,549,2681,267,66,4163,2709,121,1090,333
34003019102,0.9701492537313433,0.029850746268656716,1261,0,519,133,494,"Census Tract 191.02, Bergen County, New Jersey",0,51,231,769,46,35,129,708,722,1430,307,176,1444,16,20,1893,1474,44,483,36
34003019103,0.9400337837837838,0.059966216216216214,1998,0.005489864864864865,326,293,670,"Census Tract 191.03, Bergen County, New Jersey",13,29,1054,707,48,54,106,1010,1216,2226,105,178,1627,26,17,2605,2368,142,283,43
34003019104,0.9635119726339795,0.036488027366020526,1309,0.009122006841505131,829,222,421,"Census Tract 191.04, Bergen County, New Jersey",16,75,213,735,64,79,143,1014,676,1690,253,445,2295,67,64,1659,1754,64,698,131
34003019202,0.8533077660594439,0.14669223394055608,867,0,175,125,293,"Census Tract 192.02, Bergen County, New Jersey",0,61,171,475,37,69,54,205,685,890,41,33,503,69,32,1610,1043,153,74,101
34003019203,0.9029892836999436,0.09701071630005641,1631,0.006204173716864072,866,272,311,"Census Tract 192.03, Bergen County, New Jersey",11,52,33,1421,25,43,57,1070,531,1601,442,343,2095,10,71,904,1773,172,785,81
34003019204,0.9466594827586207,0.05334051724137931,1483,0,676,326,429,"Census Tract 192.04, Bergen County, New Jersey",0,39,101,1092,27,46,178,934,823,1757,302,304,2047,34,36,1506,1856,99,606,70
34003019303,0.9648549243972211,0.035145075602778915,1989,0,952,314,682,"Census Tract 193.03, Bergen County, New Jersey",0,142,125,693,385,190,454,947,1414,2361,295,373,2369,196,88,3205,2447,86,668,284
34003019304,0.9581545064377682,0.04184549356223176,303,0.018240343347639486,967,38,343,"Census Tract 193.04, Bergen County, New Jersey",17,0,2,0,10,43,248,610,283,893,309,584,1831,11,63,852,932,39,893,74
34003019305,0.8374459425082676,0.16255405749173238,3233,0,1692,222,956,"Census Tract 193.05, Bergen County, New Jersey",0,148,248,2801,0,0,36,2747,545,3292,777,915,4979,0,0,1537,3931,639,1692,0
34003019306,0.9085173501577287,0.0914826498422713,558,0,478,60,259,"Census Tract 193.06, Bergen County, New Jersey",0,19,15,366,0,79,79,687,177,864,187,252,1659,12,27,358,951,87,439,39
34003020100,0.9524390243902439,0.0475609756097561,340,0,1393,11,99,"Census Tract 201, Bergen County, New Jersey",0,80,50,65,60,63,22,1148,414,1562,572,784,3287,37,0,773,1640,78,1356,37
34003020200,0.9564459930313589,0.04355400696864112,95,0,2682,14,214,"Census Tract 202, Bergen County, New Jersey",0,13,0,0,0,43,39,2157,39,2196,1559,1123,6646,0,0,172,2296,100,2682,0
34003021100,0.9464619992512168,0.053538000748783225,1930,0.013478098090602771,1682,194,280,"Census Tract 211, Bergen County, New Jersey",36,31,59,35,209,256,1340,1010,1518,2528,530,850,2870,169,133,3864,2671,143,1380,302
34003021200,0.9650675360968793,0.03493246390312063,1657,0,1462,187,199,"Census Tract 212, Bergen County, New Jersey",0,40,0,23,141,309,1144,905,1167,2072,498,507,2517,326,131,3189,2147,75,1005,457
