"","GEOID","occupancy_rate","vacancy_rate","multiunit_struct","mobile_home_rate","pop_20yrs_plus","no_vehicle","public_transit","NAME","mobile_home","multiunits_10_to_19","multiunits_20_to_49","multiunits_50plus","multiunits_five_to_nine","multiunits_three_or_four","multiunits_two","occupied_owner","occupied_renter","occupied_units","pop_own_90_99","pop_own_bfr89","pop_own_occ","pop_ren_90_99","pop_ren_bfr89","pop_ren_occ","total_units","vacant_units","pop_own_20yrs_plus","pop_ren_20yrs_plus","X","geoid","ams_res","ams_bus","ams_oth","res_vac","bus_vac","oth_vac","avg_vac_r","avg_vac_b","avg_vac_o","vac_3_res","vac_3_bus","vac_3_oth","vac_3_6_r","vac_3_6_b","vac_3_6_o","vac_6_12r","vac_6_12b","vac_6_12o","vac_12_24r","vac_12_24b","vac_12_24o","vac_24_36r","vac_24_36b","vac_24_36o","vac_36_res","vac_36_bus","vac_36_oth","pqv_is_res","pqv_is_bus","pqv_is_oth","pqv_ns_res","pqv_ns_bus","pqv_ns_oth","nostat_res","nostat_bus","nostat_oth","avg_ns_res","avg_ns_bus","avg_ns_oth","ns_3_res","ns_3_bus","ns_3_oth","ns_3_6_res","ns_3_6_bus","ns_3_6_oth","ns_6_12_r","ns_6_12_b","ns_6_12_o","ns_12_24_r","ns_12_24_b","ns_12_24_o","ns_24_36_r","ns_24_36_b","ns_24_36_o","ns_36_res","ns_36_bus","ns_36_oth","pqns_is_r","pqns_is_b","pqns_is_o"
"11","34001001900",0.666666666666667,0.333333333333333,1017,0,223,331,191,"Census Tract 19, Atlantic County, New Jersey",0,31,8,837,21,85,35,59,665,724,74,0,216,94,55,1197,1086,362,74,149,55906,34001001900,1249,14,42,27,0,0,3061.56,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,0,0,2,0,0,0,0,0,269,4,0,478.23,1116.25,0,125,0,0,88,0,0,1,0,0,4,1,0,0,1,0,51,2,0,0,0,0
"12","34001002300",0.752988047808765,0.247011952191235,593,0,367,408,281,"Census Tract 23, Atlantic County, New Jersey",0,56,12,0,87,175,263,221,535,756,279,81,828,7,0,1641,1004,248,360,7,9801,34001002300,1105,213,209,80,15,0,3275.76,3408.73,0,0,0,0,0,1,0,7,0,0,5,1,0,1,0,0,67,13,0,1,0,0,0,0,0,118,19,0,2066.55,3529.58,0,0,0,0,43,0,0,1,2,0,2,0,0,13,0,0,59,17,0,0,0,0
"13","34001002400",0.717948717948718,0.282051282051282,1459,0,103,694,279,"Census Tract 24, Atlantic County, New Jersey",0,214,273,752,135,63,22,123,1053,1176,0,33,209,70,0,2167,1638,462,33,70,28284,34001002400,4451,1070,199,52,40,0,1633.46,2743.6,0,2,0,0,0,0,0,6,1,0,2,0,0,4,3,0,38,36,0,1,0,0,0,0,0,2976,515,0,3096.37,3052.1,0,84,0,0,27,0,0,2,1,0,16,4,0,21,39,0,2826,471,0,0,0,0
"14","34001002500",0.83960314179413,0.16039685820587,1608,0,756,1168,502,"Census Tract 25, Atlantic County, New Jersey",0,186,31,1207,25,71,88,327,1704,2031,229,68,679,401,58,3073,2419,388,297,459,46734,34001002500,2746,101,78,70,4,0,3294.6,5150.75,0,0,0,0,0,0,0,8,0,0,5,0,0,3,0,0,54,4,0,2,0,0,0,0,0,213,19,0,1148.61,2186.89,0,34,0,0,78,0,0,0,0,0,11,2,0,32,6,0,58,11,0,0,0,0
"15","34001010101",0.483005366726297,0.516994633273703,501,0.00322003577817531,1421,80,24,"Census Tract 101.01, Atlantic County, New Jersey",9,108,130,37,20,61,145,1125,225,1350,889,407,2655,114,11,494,2795,1445,1296,125,28255,34001010101,2786,15,98,561,2,0,609.17,1335,0,2,0,0,0,0,0,24,0,0,497,1,0,23,0,0,15,1,0,15,0,0,0,0,0,411,3,0,885.25,1867,0,100,0,0,0,0,0,7,0,0,15,0,0,227,1,0,62,2,0,8,0,0
"16","34001010102",0.372354211663067,0.627645788336933,744,0,730,92,60,"Census Tract 101.02, Atlantic County, New Jersey",0,104,125,213,82,56,164,635,227,862,373,300,1360,32,25,453,2315,1453,673,57,28250,34001010102,2129,82,107,276,1,0,1459.45,588,0,0,0,0,0,0,0,19,0,0,76,1,0,71,0,0,110,0,0,5,0,0,0,0,0,614,5,0,1476.72,2063.2,0,0,0,0,0,0,0,4,0,0,11,0,0,434,3,0,165,2,0,0,0,0
"17","34001010104",0.355035128805621,0.644964871194379,1210,0,382,61,132,"Census Tract 101.04, Atlantic County, New Jersey",0,110,78,302,109,216,395,395,363,758,146,181,723,43,12,692,2135,1377,327,55,9771,34001010104,2774,228,219,524,16,0,1058.48,3914.19,0,0,0,0,0,0,0,18,0,0,280,0,0,35,0,0,191,16,0,5,0,0,0,0,0,919,131,0,2747.32,3091.84,0,0,0,0,1,0,0,40,0,0,9,1,0,130,8,0,739,122,0,0,0,0
"18","34001010105",0.497848537005164,0.502151462994836,629,0,704,86,71,"Census Tract 101.05, Atlantic County, New Jersey",0,206,23,80,21,51,248,842,315,1157,340,318,1801,7,39,783,2324,1167,658,46,55868,34001010105,2243,6,34,451,0,0,1959.28,0,0,0,0,0,2,0,0,13,0,0,150,0,0,78,0,0,208,0,0,40,0,0,0,0,0,100,0,0,1002.07,0,0,0,0,0,16,0,0,1,0,0,30,0,0,31,0,0,22,0,0,6,0,0
"19","34001010200",0.887392900856793,0.112607099143207,166,0.0122399020807834,2301,104,11,"Census Tract 102, Atlantic County, New Jersey",30,58,0,13,17,14,64,1995,180,2175,1509,792,5222,0,0,490,2451,276,2301,0,615,34001010200,4176,479,70,11,1,0,1603,2307,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,6,1,0,0,0,0,0,0,0,1451,333,0,3012.63,3107.24,0,0,2,0,0,0,0,3,0,0,11,6,0,11,2,0,1426,323,0,0,0,0
"20","34001010300",0.868371212121212,0.131628787878788,446,0,771,116,130,"Census Tract 103, Atlantic County, New Jersey",0,216,13,11,83,27,96,586,331,917,201,237,1459,286,47,964,1056,139,438,333,26827,34001010300,1098,154,77,14,25,0,1315.36,2606.68,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13,24,0,0,0,0,0,0,0,34,24,0,891.91,882.25,0,0,0,0,0,0,0,12,1,0,16,18,0,2,0,0,4,5,0,0,0,0
"21","34001010401",0.863161963664476,0.136838036335524,524,0.00463857750289911,2267,87,0,"Census Tract 104.01, Atlantic County, New Jersey",12,90,18,40,236,140,0,1711,522,2233,1199,947,4810,82,39,1068,2587,354,2146,121,37467,34001010401,3253,211,21,4,1,0,1333.75,1991,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,902,147,0,2997.3,3158.29,0,28,1,0,4,0,0,13,0,0,7,0,0,15,2,0,835,144,0,103,0,0
"22","34001010403",0.953630796150481,0.0463692038495188,284,0,1547,170,46,"Census Tract 104.03, Atlantic County, New Jersey",0,0,105,59,0,80,40,1816,364,2180,888,596,5898,41,22,791,2286,106,1484,63,46711,34001010403,2343,159,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,48,0,1129.41,2025.38,0,7,0,0,22,0,0,8,0,0,14,7,0,4,0,0,55,41,0,9,0,0
"23","34001010501",0.858136300417246,0.141863699582754,724,0.00472878998609179,2127,162,23,"Census Tract 105.01, Atlantic County, New Jersey",17,51,0,26,268,316,63,2650,435,3085,1306,749,5884,21,51,974,3595,510,2055,72,55873,34001010501,3862,244,21,1,0,0,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,67,0,1696.87,1766.52,0,13,0,0,46,0,0,22,1,0,6,3,0,34,6,0,157,57,0,4,0,0
"24","34001010503",0.859823713392096,0.140176286607904,1808,0,1549,296,345,"Census Tract 105.03, Atlantic County, New Jersey",0,436,266,119,741,172,74,1639,1385,3024,884,496,3891,169,0,3563,3517,493,1380,169,46707,34001010503,3273,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,4,0,1279.59,4733,0,0,0,0,3,0,0,6,0,0,1,0,0,4,0,0,25,4,0,0,0,0
"25","34001010505",0.781967213114754,0.218032786885246,143,0,1259,9,18,"Census Tract 105.05, Atlantic County, New Jersey",0,0,120,0,23,0,0,936,18,954,619,631,2620,9,0,18,1220,266,1250,9,17569,34001010505,1701,157,28,1,1,0,55,55,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653,99,0,3050.81,2747.18,0,2,0,0,12,0,0,6,4,0,4,1,0,7,5,0,622,89,0,1,0,0
"26","34001010506",0.901005025125628,0.0989949748743719,259,0.0331658291457286,1924,193,51,"Census Tract 105.06, Atlantic County, New Jersey",66,74,0,8,108,39,30,1461,332,1793,1195,729,4176,0,0,1085,1990,197,1924,0,45315,34001010506,2030,229,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,52,0,897.24,1894.42,0,4,0,0,18,0,0,16,0,0,14,17,0,9,2,0,33,33,0,1,0,0
"27","34001010600",0.862647607209447,0.137352392790553,551,0,782,150,56,"Census Tract 106, Atlantic County, New Jersey",0,19,5,90,101,89,247,711,677,1388,179,551,1849,44,8,2248,1609,221,730,52,621,34001010600,2240,240,104,50,29,0,1242.78,1538.93,0,0,0,0,6,1,0,1,0,0,0,1,0,14,3,0,29,24,0,0,1,0,0,0,0,448,40,0,278.57,1593.88,0,343,1,0,2,0,0,9,0,0,21,3,0,53,9,0,20,27,0,2,0,0
"28","34001010700",0.927755102040816,0.0722448979591837,17,0.0371428571428571,2388,115,86,"Census Tract 107, Atlantic County, New Jersey",91,0,0,0,0,17,0,2019,254,2273,878,1486,5263,24,0,615,2450,177,2364,24,55870,34001010700,2527,76,21,2,0,0,806,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,189,12,0,1251.53,1609.67,0,53,2,0,3,0,0,1,0,0,2,0,0,19,0,0,111,10,0,2,0,0
"29","34001010800",0.941968040370059,0.0580319596299411,280,0,835,181,43,"Census Tract 108, Atlantic County, New Jersey",0,57,6,71,29,92,25,754,366,1120,417,406,1997,0,12,973,1189,69,823,12,18923,34001010800,1274,146,56,12,0,0,374.92,0,0,0,0,0,6,0,0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,75,42,0,1564.35,1697.88,0,20,4,0,1,0,0,4,14,0,3,0,0,14,0,0,33,24,0,2,0,0
"30","34001010900",0.930817610062893,0.0691823899371069,494,0,1908,152,86,"Census Tract 109, Atlantic County, New Jersey",0,119,41,104,75,61,94,1537,683,2220,1025,778,4040,50,55,1544,2385,165,1803,105,600,34001010900,2439,290,112,26,4,0,629,1654.25,0,0,0,0,7,2,0,7,0,0,9,0,0,1,0,0,2,2,0,0,0,0,0,0,0,116,41,0,1680.16,2268.37,0,13,0,0,1,0,0,7,7,0,7,3,0,35,8,0,53,23,0,0,0,0
"31","34001011000",0.852852852852853,0.147147147147147,111,0,1014,40,7,"Census Tract 110, Atlantic County, New Jersey",0,34,6,6,29,14,22,692,160,852,375,582,1999,44,13,417,999,147,957,57,9752,34001011000,997,110,18,2,0,0,781,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,24,0,2371.37,1800.13,0,0,0,0,0,0,0,1,3,0,6,2,0,1,0,0,27,19,0,1,0,0
"32","34001011100",0.878759398496241,0.121240601503759,230,0.0093984962406015,1148,128,55,"Census Tract 111, Atlantic County, New Jersey",10,8,0,31,0,33,158,655,280,935,387,623,1667,138,0,1022,1064,129,1010,138,46673,34001011100,1153,151,56,6,0,0,459.67,0,0,0,0,0,1,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,75,30,0,1997,1722.23,0,4,0,0,0,0,0,7,3,0,11,6,0,1,4,0,52,17,0,2,0,0
"33","34001011201",0.965678627145086,0.0343213728549142,27,0,963,22,0,"Census Tract 112.01, Atlantic County, New Jersey",0,0,0,0,0,12,15,576,43,619,431,527,1638,0,5,123,641,22,958,5,46668,34001011201,683,67,8,7,1,0,277.14,153,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,0,1383.61,1874.18,0,0,0,0,1,0,0,0,2,0,3,2,0,5,8,0,9,5,0,0,0,0
"34","34001011202",0.858449034879783,0.141550965120217,0,0.107687097866576,3034,101,91,"Census Tract 112.02, Atlantic County, New Jersey",318,0,0,0,0,0,0,2124,411,2535,1053,1981,6104,0,0,1235,2953,418,3034,0,18948,34001011202,3110,93,32,4,0,0,254.75,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,24,0,1687.08,1760.83,0,0,0,0,0,0,0,19,1,0,36,2,0,65,3,0,172,18,0,5,0,0
"35","34001011300",0.941495124593716,0.0585048754062839,612,0,1120,272,31,"Census Tract 113, Atlantic County, New Jersey",0,149,31,119,10,140,163,925,813,1738,476,464,2609,132,48,1789,1846,108,940,180,37479,34001011300,2358,181,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,82,0,3038.92,2872.21,0,0,0,0,0,0,0,9,0,0,11,3,0,3,0,0,531,79,0,2,0,0
"36","34001011401",0.925284244721169,0.0747157552788305,55,0,1947,71,19,"Census Tract 114.01, Atlantic County, New Jersey",0,0,0,0,9,11,35,1490,219,1709,617,1222,3757,81,27,502,1847,138,1839,108,9783,34001011401,2007,157,47,10,0,0,207.1,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,115,32,0,2777.02,1946.22,0,3,1,0,0,0,0,5,0,0,6,1,0,24,13,0,77,17,0,0,0,0
"37","34001011403",0.90633608815427,0.09366391184573,1508,0.00236127508854782,794,113,40,"Census Tract 114.03, Atlantic County, New Jersey",6,672,172,39,272,150,203,1179,1124,2303,519,219,3138,0,56,2516,2541,238,738,56,46720,34001011403,2863,230,69,30,17,0,107.2,181,0,6,0,0,11,0,0,13,17,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,288,39,0,954.27,1408.64,0,3,0,0,5,0,0,3,1,0,2,6,0,200,7,0,75,25,0,13,0,0
"38","34001011404",0.898775306173457,0.101224693826543,912,0.0299925018745314,1204,223,68,"Census Tract 114.04, Atlantic County, New Jersey",120,222,59,37,313,262,19,2761,835,3596,694,510,6775,0,0,2055,4001,405,1204,0,64900,34001011404,5302,478,41,13,3,0,206,146,0,1,0,0,1,1,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1239,300,0,3062.28,2572.68,0,5,3,0,1,0,0,9,2,0,8,0,0,35,82,0,1181,213,0,9,0,0
"39","34001011500",0.93,0.07,250,0.034,1949,240,64,"Census Tract 115, Atlantic County, New Jersey",85,14,0,17,101,0,118,1794,531,2325,1071,864,5036,14,0,1769,2500,175,1935,14,46719,34001011500,2433,100,25,12,0,0,284.75,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,20,0,1113.94,2197.75,0,1,3,0,1,0,0,10,1,0,9,1,0,41,2,0,37,13,0,0,0,0
"40","34001011600",0.918416030534351,0.0815839694656489,50,0.197519083969466,1891,51,8,"Census Tract 116, Atlantic County, New Jersey",414,16,0,5,0,21,8,1734,191,1925,918,966,4322,0,7,622,2096,171,1884,7,28269,34001011600,2360,71,22,2,0,0,226.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,26,0,2262.44,2721.38,0,16,1,0,12,0,0,4,1,0,8,1,0,10,4,0,179,19,0,8,0,0
"41","34001011701",0.832419256550884,0.167580743449116,474,0.157221206581353,2057,42,79,"Census Tract 117.01, Atlantic County, New Jersey",516,109,28,42,50,245,0,2275,457,2732,1246,623,7358,188,0,1504,3282,550,1869,188,37466,34001011701,3895,385,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,95,0,866.19,2393.35,0,102,2,0,8,0,0,191,0,0,7,6,0,27,6,0,116,81,0,12,0,0
"42","34001011702",0.918667699457785,0.0813323005422153,195,0.371804802478699,1071,138,17,"Census Tract 117.02, Atlantic County, New Jersey",480,6,41,0,72,24,52,897,289,1186,588,473,2389,0,10,777,1291,105,1061,10,64886,34001011702,1580,340,60,1,3,0,230,2239,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,203,81,0,907.52,1817.25,0,74,0,0,10,7,0,7,0,0,7,9,0,20,17,0,85,48,0,1,0,0
"43","34001011802",0.927607585703866,0.0723924142961342,287,0.037928519328957,3732,0,2,"Census Tract 118.02, Atlantic County, New Jersey",208,0,0,155,22,0,110,4858,229,5087,1721,1944,15585,0,67,971,5484,397,3665,67,620,34001011802,6526,102,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,16,0,1136.93,2481.81,0,98,0,0,32,0,0,10,1,0,25,0,0,9,3,0,119,12,0,4,0,0
"44","34001011803",0.92112810707457,0.0788718929254302,842,0.0645315487571702,1294,180,46,"Census Tract 118.03, Atlantic County, New Jersey",135,265,124,24,217,125,87,1362,565,1927,856,296,3249,118,24,1372,2092,165,1152,142,55872,34001011803,2531,243,53,6,0,0,1934.67,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,182,48,0,1694.73,1328.29,0,23,0,0,2,0,0,20,3,0,51,10,0,20,11,0,66,24,0,0,0,0
"45","34001011804",0.895339954163484,0.104660045836516,58,0.0886172650878533,2478,0,24,"Census Tract 118.04, Atlantic County, New Jersey",232,0,0,0,0,27,31,2162,182,2344,1131,1273,6257,74,0,595,2618,274,2404,74,64888,34001011804,2953,66,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,5,0,2722.32,3490.2,0,41,0,0,2,0,0,8,0,0,8,0,0,5,0,0,194,5,0,1,0,0
"46","34001011805",0.882352941176471,0.117647058823529,18,0.156062424969988,819,19,0,"Census Tract 118.05, Atlantic County, New Jersey",130,0,0,0,0,0,18,674,61,735,491,323,1774,0,5,225,833,98,814,5,64889,34001011805,937,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,799.85,0,0,41,0,0,2,0,0,1,0,0,6,0,0,6,0,0,28,0,0,0,0,0
"47","34001011900",0.872248062015504,0.127751937984496,1709,0,1889,435,278,"Census Tract 119, Atlantic County, New Jersey",0,746,283,50,172,210,248,1033,1780,2813,623,703,3431,517,46,4975,3225,412,1326,563,55866,34001011900,3030,335,106,107,17,0,1630.23,2285.71,0,0,0,0,1,0,0,8,0,0,4,0,0,4,0,0,90,17,0,0,0,0,0,0,0,97,97,0,1744.13,2351.08,0,3,0,0,11,1,0,17,14,0,13,9,0,7,20,0,46,53,0,0,0,0
"48","34001012000",0.865720524017467,0.134279475982533,631,0,867,280,208,"Census Tract 120, Atlantic County, New Jersey",0,69,31,105,111,188,127,942,644,1586,337,463,2975,37,30,1549,1832,246,800,67,18959,34001012000,1827,178,51,16,2,0,1297,694,0,0,0,0,0,0,0,0,0,0,6,2,0,4,0,0,6,0,0,0,0,0,0,0,0,140,44,0,1931.45,911.34,0,12,0,0,0,0,0,9,2,0,13,30,0,49,7,0,57,5,0,0,0,0
"49","34001012100",0.802579365079365,0.197420634920635,272,0,393,172,185,"Census Tract 121, Atlantic County, New Jersey",0,97,41,0,57,38,39,442,367,809,93,291,1335,9,0,1307,1008,199,384,9,28261,34001012100,1071,89,42,10,1,0,812.3,680,0,0,0,0,0,0,0,0,0,0,3,1,0,7,0,0,0,0,0,0,0,0,0,0,0,102,10,0,1601.19,1147.7,0,1,0,0,0,0,0,0,0,0,11,6,0,63,1,0,27,3,0,0,0,0
"50","34001012200",0.905965621840243,0.0940343781597573,697,0,1305,368,348,"Census Tract 122, Atlantic County, New Jersey",0,12,63,206,108,31,277,1027,765,1792,493,792,3361,11,9,1858,1978,186,1285,20,18951,34001012200,3221,459,69,18,4,0,666.67,1463.75,0,0,0,0,2,0,0,3,0,0,8,2,0,2,0,0,3,2,0,0,0,0,0,0,0,1362,301,0,3054.43,3085.13,0,3,0,0,0,0,0,1,0,0,25,3,0,3,1,0,1330,297,0,0,0,0
"51","34001012302",0.908112582781457,0.091887417218543,92,0.0132450331125828,1431,11,22,"Census Tract 123.02, Atlantic County, New Jersey",16,11,0,0,40,12,29,941,156,1097,858,573,2958,0,0,544,1208,111,1431,0,18958,34001012302,1245,363,67,5,0,0,2579.6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,77,80,0,701.6,1771.26,0,0,0,0,6,0,0,50,0,0,4,9,0,0,21,0,17,50,0,0,0,0
