"","SSN","TotalDeaths","PropDeaths","TotalDeath15","TotalDeath16","TotalDeath17","TotalDeath18","da15","da1520","da2024","da2529","da3034","da3539","da4044","da4549","da5054","da5559","da6064","da6569","da7074","da7580","da8085","FentW","FentB","FentH","TotalFent","TotalFent15","TotalFent16","TotalFent17","TotalFent18","HeroinW","HeroinB","HeroinH","TotalHero","TotalHero15","TotalHero16","TotalHero17","TotalHero18","TotalOxy","TotalOxy15","TotalOxyt16","TotalOxyt17","TotalOxyt18","TotalMorph","TotalMorp15","TotalMorp16","TotalMorp17","TotalMorp18","TotalMeth","TotalMeth15","TotalMeth16","TotalMeth17","TotalMeth18","Fent15W","Fent15B","Fent15H","Hero15W","Hero15B","Hero15H","Fent18W","Fent18B","Fent18H","Hero18W","Hero18B"
"11","112",31,0.425356750823271,8,12,3,8,0,0,1,4,3,5,2,4,2,0,0,2,0,0,0,17,2,0,19,27,31,22,27,17,3,0,20,28,32,23,28,3,2,1,0,0,6,2,0,2,2,1,1,1,1,1,3,0,0,5,0,0,6,2,0,3,2
"12","113",30,0.411635565312843,2,9,9,10,0,0,1,2,2,5,4,4,2,0,1,0,0,0,0,14,0,6,20,22,29,29,30,11,0,3,14,16,23,23,24,5,1,3,1,0,7,1,2,1,3,3,1,1,1,1,0,0,0,1,0,0,5,0,3,4,0
"13","114",5,0.0686059275521405,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,4,4,5,2,0,0,2,3,3,3,4,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
"14","115",2,0.0274423710208562,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,3,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","116",6,0.0823271130625686,2,1,1,2,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,3,0,0,3,5,4,4,5,4,0,0,4,6,5,5,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0
"16","117",12,0.164654226125137,1,4,3,4,0,0,2,1,0,4,1,2,0,1,0,0,0,0,0,8,0,0,8,9,12,11,12,7,1,0,8,9,12,11,12,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,3,0
"17","118",12,0.164654226125137,4,5,0,3,0,0,0,2,1,4,1,1,0,1,0,0,0,0,0,7,0,0,7,11,12,7,10,7,0,0,7,11,12,7,10,2,1,1,0,0,3,0,2,0,1,0,0,0,0,0,2,0,0,3,0,0,3,0,0,2,0
"18","119",25,0.343029637760703,2,5,8,10,0,0,1,2,1,2,1,5,4,1,2,0,0,0,0,2,11,4,18,20,23,26,28,4,7,3,14,16,19,22,24,3,1,1,1,0,6,0,4,1,1,2,1,1,1,1,0,1,0,0,0,1,0,7,2,0,4
"19","121",15,0.205817782656422,3,3,5,4,0,0,0,2,4,1,1,1,2,1,0,0,0,0,0,7,0,0,7,10,10,12,11,5,0,0,5,8,8,10,9,2,0,1,1,0,3,0,1,0,2,3,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0
"20","122",26,0.356750823271131,2,9,5,10,0,1,1,0,4,4,1,2,5,2,1,0,1,0,0,12,1,1,14,16,23,19,24,13,1,0,14,16,23,19,24,5,1,2,2,0,5,0,1,3,1,2,1,1,1,1,0,0,0,1,0,0,8,1,0,5,1
"21","123",5,0.0686059275521405,2,0,1,2,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,3,0,0,3,5,3,4,5,2,0,0,2,4,2,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0
"22","201",4,0.0548847420417124,0,1,1,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,3,4,4,5,4,0,0,4,4,5,5,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
"23","202",2,0.0274423710208562,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,1,1,1,0,0,1,2,2,1,1,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","203",6,0.0823271130625686,2,1,1,2,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,2,0,0,2,4,3,3,4,5,0,1,6,8,7,7,8,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0
"25","204",2,0.0274423710208562,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,2,1,0,0,1,1,2,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"26","205",5,0.0686059275521405,1,0,4,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,2,3,2,6,2,2,0,0,2,3,2,6,2,1,0,0,1,0,2,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"27","206",13,0.178375411635565,5,3,3,2,0,0,1,3,0,0,3,1,1,2,0,0,0,0,0,4,0,0,5,10,8,8,7,7,0,1,10,15,13,13,12,2,1,1,0,0,5,4,1,0,0,3,1,1,1,1,0,0,0,2,0,0,2,0,0,2,0
"28","207",5,0.0686059275521405,2,0,0,3,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,4,0,0,4,6,4,4,7,3,0,0,3,5,3,3,6,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,1,0,0,2,0,0,3,0,0,1,0
"29","208",1,0.0137211855104281,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","209",1,0.0137211855104281,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","210",7,0.0960482985729967,0,1,2,4,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,2,0,2,4,4,5,6,8,5,0,2,7,7,8,9,11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,0
"32","211",11,0.150933040614709,1,3,2,5,0,0,0,2,3,0,0,1,0,2,0,0,0,0,0,6,1,0,8,9,11,10,13,8,0,0,9,10,12,11,14,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,4,0
"33","212",7,0.0960482985729967,1,1,2,3,0,1,0,1,0,1,1,1,2,0,0,0,0,0,0,2,0,1,3,4,4,5,6,3,0,1,4,5,5,6,7,1,0,1,0,0,2,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0
"34","214",3,0.0411635565312843,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,3,4,3,3,5,3,0,0,3,4,3,3,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,2,0
"35","215",6,0.0823271130625686,1,1,2,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,2,1,5,6,6,7,7,1,2,1,4,5,5,6,6,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1
"36","216",1,0.0137211855104281,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,2,1,1,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","217",10,0.137211855104281,1,3,4,2,0,0,0,0,3,1,0,3,1,0,0,0,0,0,0,5,0,1,7,8,10,11,9,6,0,1,8,9,11,12,10,1,0,0,1,0,5,1,2,0,2,0,0,0,0,0,1,0,0,1,0,0,2,0,0,2,0
"38","218",4,0.0548847420417124,1,3,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,1,2,4,1,1,2,0,0,2,3,5,2,2,4,1,3,0,0,3,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"39","219",12,0.164654226125137,3,4,2,3,0,0,1,1,1,1,2,1,1,0,1,0,0,0,0,3,1,0,6,9,10,8,9,7,1,1,11,14,15,13,14,0,0,0,0,0,6,2,3,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0
"40","220",3,0.0411635565312843,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,3,3,2,2,0,0,2,3,3,3,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"41","221",26,0.356750823271131,5,3,6,12,0,0,2,6,3,3,1,0,2,3,0,0,0,0,0,10,1,4,15,20,18,21,27,11,1,4,16,21,19,22,28,3,0,0,1,2,6,4,2,0,0,2,1,1,1,1,1,0,0,3,0,3,5,0,3,5,0
"42","222",3,0.0411635565312843,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,2,2,2,1,3,0,0,3,4,4,4,3,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"43","223",22,0.301866081229418,4,1,7,10,0,1,0,4,1,2,1,4,2,2,0,0,0,0,0,13,0,4,17,21,18,24,27,12,0,3,15,19,16,22,25,3,3,0,0,0,7,4,0,1,2,1,0,0,0,0,1,0,0,2,0,1,8,0,1,7,0
"44","224",2,0.0274423710208562,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,2,2,3,3,1,0,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"45","225",3,0.0411635565312843,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,3,2,0,0,2,3,2,2,4,1,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
"46","226",1,0.0137211855104281,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","227",2,0.0274423710208562,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,3,1,1,1,0,0,1,1,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","230",8,0.109769484083425,0,3,4,1,0,0,1,1,1,0,0,2,0,0,1,1,0,0,0,5,0,0,5,5,8,9,6,2,0,0,2,2,5,6,3,0,0,0,0,0,4,0,3,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0
"49","231",12,0.164654226125137,2,7,2,1,0,0,1,0,2,2,1,2,1,2,0,0,0,0,0,6,0,0,6,8,13,8,7,9,0,0,9,11,16,11,10,3,0,2,1,0,4,1,3,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0
"50","232",19,0.260702524698134,3,4,3,9,0,1,2,2,2,1,4,0,4,0,1,0,1,0,0,10,0,1,11,14,15,14,20,10,0,2,14,17,18,17,23,5,0,0,1,4,6,2,2,0,2,2,1,1,1,1,0,0,0,1,0,1,7,0,1,6,0
"51","233",6,0.0823271130625686,1,3,0,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,4,0,0,4,5,7,4,6,4,0,0,4,5,7,4,6,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0
"52","234",5,0.0686059275521405,1,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,2,1,3,3,1,0,0,1,2,1,3,3,4,1,0,2,1,2,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"53","235",1,0.0137211855104281,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"54","237",2,0.0274423710208562,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,2,2,3,3,2,0,0,2,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"55","238",7,0.0960482985729967,1,0,3,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,4,3,6,6,3,0,0,3,4,3,6,6,2,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
"56","239",10,0.137211855104281,0,3,3,4,0,0,1,2,1,1,0,0,1,2,0,1,0,0,0,5,0,0,6,6,9,9,10,6,0,1,7,7,10,10,11,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
"57","240",3,0.0411635565312843,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,2,3,3,3,2,2,0,0,2,3,3,3,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"58","241",1,0.0137211855104281,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,1,1,1,0,0,1,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"59","242",5,0.0686059275521405,0,1,2,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,5,0,0,5,5,6,7,7,3,0,0,3,3,4,5,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"60","244",3,0.0411635565312843,0,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2,3,1,2,0,0,2,2,3,4,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","245",7,0.0960482985729967,0,2,4,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,5,5,7,9,6,1,0,0,3,3,5,7,4,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","246",9,0.123490669593853,2,2,1,4,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,1,0,1,3,5,5,4,7,2,0,1,3,5,5,4,7,4,2,0,1,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
"63","247",3,0.0411635565312843,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,2,2,2,1,0,0,1,1,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","248",5,0.0686059275521405,0,2,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,4,0,0,4,4,6,6,5,4,0,0,4,4,6,6,5,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"65","249",2,0.0274423710208562,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,3,2,3,1,0,0,1,1,2,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"66","250",8,0.109769484083425,3,1,1,3,0,0,0,2,1,1,0,2,1,1,0,0,0,0,0,3,0,2,5,8,6,6,8,1,1,1,3,6,4,4,6,2,1,0,1,0,3,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,2,0,1,0,0
"67","251",1,0.0137211855104281,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,2,1,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"68","252",2,0.0274423710208562,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,2,3,3,2,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"69","253",4,0.0548847420417124,1,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,3,3,3,3,2,0,0,2,3,3,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"70","254",3,0.0411635565312843,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,3,2,4,2,3,0,0,3,4,3,5,3,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"71","256",9,0.123490669593853,2,2,3,2,0,0,1,1,1,1,2,0,2,0,1,0,0,0,0,4,0,0,4,6,6,7,6,4,0,0,4,6,6,7,6,3,0,0,2,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,2,0,0,2,0
"72","257",9,0.123490669593853,2,0,5,2,0,1,1,0,0,2,0,2,0,0,0,1,0,0,0,5,0,0,5,7,5,10,7,5,0,0,5,7,5,10,7,1,1,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0
"73","258",2,0.0274423710208562,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,3,2,3,1,0,0,1,1,2,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"74","259",1,0.0137211855104281,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","260",10,0.137211855104281,4,2,4,0,0,1,0,0,1,1,1,1,2,1,0,0,0,0,0,1,2,2,5,9,7,9,5,3,2,2,7,11,9,11,7,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0
"76","261",2,0.0274423710208562,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,2,3,3,2,1,0,0,2,2,3,3,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","263",2,0.0274423710208562,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,1,1,1,0,0,1,2,2,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"78","264",1,0.0137211855104281,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"79","265",10,0.137211855104281,1,2,4,3,0,0,0,3,1,1,1,1,1,1,0,0,0,0,0,6,0,0,7,8,9,11,10,5,0,0,5,6,7,9,8,1,0,0,1,0,3,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0
"80","266",3,0.0411635565312843,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,2,1,2,2,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","267",7,0.0960482985729967,2,1,2,2,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,3,0,0,3,5,4,5,5,4,0,0,4,6,5,6,6,2,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0
"82","268",1,0.0137211855104281,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,0,1,1,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"83","269",4,0.0548847420417124,0,0,1,3,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,3,0,0,3,3,3,4,6,3,0,0,3,3,3,4,6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,2,0,0,2,0
"84","270",4,0.0548847420417124,2,0,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,4,2,3,3,3,0,0,3,5,3,4,4,2,0,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0
"85","301",1,0.0137211855104281,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,1,1,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","302",10,0.137211855104281,1,3,6,0,0,0,1,1,0,1,1,0,0,2,1,0,0,0,0,3,1,0,4,5,7,10,4,4,1,0,5,6,8,11,5,5,1,1,3,0,5,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","303",3,0.0411635565312843,0,2,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2,2,4,2,3,2,0,0,2,2,4,2,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"88","304",7,0.0960482985729967,2,1,3,1,0,0,0,2,1,1,0,0,1,0,0,1,0,0,0,4,2,0,6,8,7,9,7,1,2,0,3,5,4,6,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
"89","305",21,0.28814489571899,6,1,7,7,0,1,4,4,1,3,1,2,0,1,1,0,0,0,0,8,4,0,13,19,14,20,20,5,4,0,10,16,11,17,17,2,1,0,1,0,9,5,1,2,1,4,1,1,1,1,1,1,0,0,0,0,5,1,0,2,1
"90","306",12,0.164654226125137,1,1,5,5,0,0,0,2,0,4,2,2,1,1,0,0,0,0,0,5,3,0,9,10,10,14,14,2,2,0,5,6,6,10,10,2,0,0,1,1,2,0,0,1,1,3,1,1,1,1,1,0,0,0,0,0,2,1,0,0,1
"91","307",1,0.0137211855104281,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"92","308",8,0.109769484083425,0,1,2,5,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,3,0,0,4,4,5,6,9,5,0,0,6,6,7,8,11,2,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0
"93","309",6,0.0823271130625686,1,1,3,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,1,0,2,3,3,5,3,2,0,0,2,3,3,5,3,3,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"94","310",16,0.21953896816685,1,2,3,10,0,0,0,5,1,1,2,1,2,0,0,0,0,0,0,12,1,0,13,14,15,16,23,5,1,0,7,8,9,10,17,2,1,0,0,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,1,0,5,1
"95","311",2,0.0274423710208562,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,1,1,2,1,0,0,1,2,1,1,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
