"SSN","median_rent","median_home_value","percent_housing_cost_burdened"
"1345",1626,417500,37.4
"1346",1799.5,466850,33.35
"1347",1403,432900,36.2
"1348",1545,519800,34.9
"1349",1426.5,474600,35.55
"1350",1304,259200,43
"1351",NA,384300,31.5
"1352",NA,NA,35.6
"1353",1326,401600,43.3
"1401",1433,550200,32
"1402",1560,493300,34.5
"1403",1612,338500,32.8
"1404",1884,776200,29.5
"1405",1890,808900,27.2
"1406",2077.5,561550,31.45
"1407",NA,542100,33.45
"1408",1725.5,456750,31.15
"1409",1404,294350,40.85
"1410",NA,535750,31.25
"1411",NA,623750,30
"1412",NA,537300,30.6
"1413",NA,740950,27.05
"1414",NA,333800,32
"1415",1807.5,454700,33.45
"1416",1865,457500,32.5
"1417",NA,713350,27.3
"1418",1821,743600,32.5
"1419",1613,655400,28.7
"1420",1386,294400,31.6
"1421",NA,493300,31.8
"1422",NA,523550,29.55
"1423",2006,488700,30.4
"1424",NA,498400,27.8
"1425",1430,417900,30.7
"1426",1420,276200,32.45
"1427",NA,383200,37.2
"1428",1191,276700,40.2
"1429",NA,486600,29.5
"1430",1627,638100,28.65
"1431",2101,376700,30.1
"1432",NA,458300,29.6
"1433",1612,338500,32.5
"1434",1556,348900,30.7
"1435",1496.5,353550,34.2
"1436",NA,330450,35.1
"1437",1384.5,350350,40.45
"1438",NA,424700,32.2
"1439",1408.5,294350,38.45
"1501",NA,NA,NA
"1502",1433.5,504450,34
"1503",NA,NA,NA
"1504",1668,229800,36.7
"1505",NA,NA,NA
"1506",NA,316100,38.2
"1507",NA,283800,39.1
"1508",1636,273400,37.25
"1509",1265,341400,44.6
"1510",1540.5,289100,38.05
"1511",NA,337600,34.1
"1512",NA,NA,NA
"1513",1256,90000,35.2
"1514",NA,343200,47
"1515",1169,535600,37.5
"1516",NA,NA,NA
"1517",NA,NA,NA
"1518",NA,186200,35
"1519",NA,1006700,40.2
"1520",NA,NA,NA
"1521",1634,283800,51.1
"1522",1447,271200,37.4
"1523",NA,319300,33.3
"1524",1478,372200,34.2
"1525",1469,630100,34.2
"1526",1480.5,528200,46.1
"1527",1257,545600,54.7
"1528",1340.5,535950,37.5
"1529",1472,225150,35
"1530",1568,273500,40.4
"1531",1184,675400,43.7
"1532",1306,219200,40.95
"1533",NA,273500,42.7
"1601",1536.5,330500,39.25
"1602",1377,340550,46.75
"1603",1368.5,273250,45.6
"1604",1575.5,385150,37.95
"1605",NA,431800,33.45
"1606",NA,413500,39.85
"1607",1259.5,NA,52.2
"1608",1239,247900,57.6
"1609",NA,339250,39.65
"1610",1329,251000,55.6
"1611",1665,333150,37.6
"1612",NA,NA,NA
"1613",1596,325500,42.6
"1614",NA,421350,37.55
"1615",1665,325900,33.45
"1616",1424,341000,46.7
"1701",1103,210300,31.5
"1702",1125,209800,27.4
"1703",988.5,167950,32.15
"1704",1103,194400,32.2
"1705",1050.5,173950,33.85
"1706",1327,218150,30.65
"1707",1216,135200,48.75
"1708",990,152700,39.1
"1709",NA,239500,28.5
"1710",1168,192250,29.9
"1711",1051,194400,32.2
"1712",958,162500,33.85
"1713",1144,155950,39.25
"1714",NA,215800,28.8
"1715",1130.5,263700,33.2
"1801",1905,597250,28.35
"1802",1779,674400,29.1
"1803",1717,743900,31.6
"1804",1380,294900,36.6
"1805",NA,469300,26.35
"1806",1588,397700,30.4
"1807",2318.5,737850,33.4
"1808",NA,361050,31.65
"1809",1321,280200,37.3
"1810",NA,399950,31.3
"1811",1362.5,277800,34.25
"1812",1609,401400,31.1
"1813",NA,578800,27.25
"1814",1266,256900,44.9
"1815",1848,743600,35.2
"1816",1572,368500,32.1
"1817",1792,508300,29.7
"1818",1424,314500,31.85
"1819",1410,309950,33.25
"1820",1779,612600,28.9
"1821",1534,453600,36.5
"1901",1329,276000,34.5
"1902",NA,333500,32.3
"1903",1385.5,302450,34.4
"1904",NA,274950,33
"1905",1456,294300,36
"1906",1398,217800,35.9
"1907",1455,276000,36
"1908",1542,320850,35.25
"1909",1398,201100,40.8
"1910",1377,275050,34.4
"1911",NA,287800,32.4
"1912",NA,274450,33
"1913",1460,294300,34.5
"1914",1280,274300,34.2
"1915",1201,226600,44
"1916",NA,351200,30.4
"1917",1443,274100,36
"1918",NA,333500,31.6
"1919",NA,267100,35.9
"1920",1449,281300,35.15
"1921",1178,287800,36
"1922",NA,272200,31.6
"1923",1443,260800,31.1
"1924",1178,275200,33.9
"2001",1729,634800,30.7
"2002",NA,392900,34.15
"2003",NA,387100,32.5
"2004",NA,NA,NA
"2005",NA,448400,33.1
"2006",NA,573700,32.25
"2007",1091,232500,49.3
"2008",NA,345100,30.45
"2009",1264,NA,47.1
"201",1921,697300,35.8
"2010",1858,634800,28.7
"2011",1884,702450,28.35
"2012",NA,279300,45.6
"2013",1399,NA,42.7
"2014",1200,253300,45.3
"2015",1220,285100,38.7
"2016",NA,570800,34.7
"2017",NA,454950,29.9
"2018",1835,702450,29
"2019",NA,302950,41.15
"202",NA,719400,41.7
"2020",NA,576600,30.8
"2021",1190,297100,32.8
"203",NA,369100,38.7
"204",1287,333300,41
"205",1422,383150,42.45
"206",1440,441700,48.7
"207",NA,646150,39.75
"208",NA,656300,36.1
"209",NA,661300,38.6
"210",NA,388550,35.6
"2101",1455,293800,37.2
"2102",1164.5,197800,33.05
"2103",883,232050,41.75
"2104",1450,337000,28.5
"2105",1231,310550,25.3
"2106",1450,309200,29
"2107",1178,311900,33.5
"2108",NA,301500,37.2
"2109",1443,309200,31.1
"211",1590.5,354550,39.4
"2110",991,269200,31.8
"2111",1202,309200,28.5
"2112",1202,293800,36
"2113",1202,309200,28.5
"2114",1202,309200,29
"2115",1000,263100,36.3
"2116",NA,309200,29
"2117",1108,309200,32.2
"2119",1004.5,158350,37.8
"212",1434,NA,34.15
"2120",1084,206800,33.5
"2121",1292,259900,28.7
"2122",1103,290300,29.65
"2123",910,267000,36.7
"213",1911.5,431400,44.7
"214",NA,563850,36.45
"215",1473,525750,40.2
"216",1813,593500,38.5
"217",NA,378550,39.5
"218",1433,371900,50.4
"219",1769,445750,43.85
"220",NA,697300,33
"221",1310.5,NA,49.05
"222",NA,625300,32.6
"223",1412.5,339200,43.5
"224",1957,591000,38.95
"225",1363.5,389100,44.1
"226",1896,584800,38.6
"227",NA,538200,36.5
"228",1961,605900,35.25
"229",1373,398800,46
"230",1329,340450,45.6
"231",1379.5,372750,45.85
"232",1360.5,NA,40.4
"233",1921,579100,35.6
"234",1599.5,372750,43.5
"235",2074,697300,31.7
"236",NA,660800,36.3
"237",1366.5,380800,43.1
"238",NA,416300,34.9
"239",1295,350700,42.85
"240",1732,631000,39.3
"241",NA,631000,40.2
"242",NA,463900,34.3
"243",NA,614100,37.5
"244",NA,525250,33.95
"245",1469,468600,50.1
"246",NA,510100,36.5
"247",NA,625100,36.3
"248",1870.5,639550,34.7
"249",1355,375000,50.1
"250",1324,323600,46.45
"251",NA,630900,31.7
"252",1609,450200,40.4
"253",NA,542900,36.4
"254",1597,380000,41.3
"255",NA,631000,44.7
"256",1441,NA,37
"257",1516,375900,45.4
"258",1852.5,725450,35.7
"259",1329,355300,46.45
"260",1418.5,363300,40.2
"261",1497,645000,39.6
"262",1366.5,374150,44.1
"263",1747,615800,35.6
"264",1921,710600,34
"265",1264,NA,46.9
"266",NA,533900,35.7
"267",1782,492300,38
"268",1759.5,625100,37.65
"269",1363.5,372200,41.95
"270",NA,710600,35.8
"301",1325,246400,36.2
"302",1090,194100,36.4
"303",1223.5,236150,34.9
"304",NA,NA,33.6
"305",1095,166300,33
"306",1167,190650,32.7
"307",NA,NA,33.35
"308",1513,253900,32.3
"309",NA,223800,36.4
"310",NA,238350,34.3
"311",1282,248900,33.9
"312",NA,170350,35.5
"313",NA,291600,31.6
"314",1212,309100,33.8
"315",1153.5,292550,32.6
"316",1643,267200,28.7
"317",1258,286200,31.2
"318",1311,309100,27.8
"319",1248,196100,33
"320",NA,332050,30.8
"321",1817,379300,30.9
"322",NA,278800,31.05
"323",1138,241200,32.65
"324",NA,286200,29.4
"325",1495,NA,37.4
"326",NA,NA,35.9
"327",1448,190100,35.7
"328",1103,191500,35.9
"329",1145,NA,35.9
"330",1192,166400,40.1
"331",1480.5,223150,31.5
"332",1219,269650,30.95
"333",1262,249900,32.55
"334",1157,NA,30.1
"335",1158,284400,29.8
"336",1241.5,246100,33.3
"337",NA,224100,30.1
"338",NA,184600,34.75
"339",NA,253400,31.1
"340",1538,NA,51.3
"401",1041,208800,31.8
"402",976.5,188200,31.35
"403",987,189400,40.9
"404",968,166500,39.6
"405",1183,172800,44
"406",NA,237700,37
"407",1156,148700,41
"408",1018,NA,48.5
"409",NA,NA,32.4
"410",1019,184300,39.9
"411",999,128200,47.6
"412",1050.5,NA,37.25
"413",1017,205800,40.3
"414",1024,149200,40.3
"415",NA,190600,38.8
"416",1081,210800,33
"417",1160,273500,31.2
"418",1078.5,220250,31.5
"419",999.5,169050,31.7
"420",973.5,144250,36.35
"421",1079,199300,30.15
"422",999,161300,40.3
"423",948,169050,39.7
"424",1329,171250,33.5
"425",1003.5,167750,36.5
"426",1020,204400,36.8
"427",1093,NA,41
"428",1183,171200,44
"429",1680,148200,44
"430",977.5,167500,42.05
"431",NA,185600,35.6
"432",NA,173750,30.65
"433",1089,231000,31.2
"434",NA,231800,37.6
"435",NA,224950,36.4
"436",1280,186200,39.5
"437",980,73400,61.8
"501",1325,1158700,36.5
"502",NA,NA,NA
"503",1183,495600,38.4
"504",1160,284100,35.5
"505",NA,NA,NA
"506",1205,273550,40.2
"507",NA,NA,NA
"508",NA,NA,NA
"509",1312,489500,34.4
"510",NA,NA,NA
"511",1386,263000,35.5
"512",1097,577000,43.25
"513",940,285100,55.05
"514",986.5,328450,50.6
"515",986.5,291350,50.6
"516",998,247700,41.3
"601",NA,NA,NA
"602",1139,151500,37.9
"603",1042,186500,39.9
"604",NA,NA,NA
"605",NA,NA,NA
"606",NA,NA,NA
"607",996.5,162550,42.5
"608",NA,NA,NA
"609",NA,NA,NA
"610",1094,158800,40.3
"611",1179,180350,34.9
"612",1103,194400,31.5
"613",1057.5,176400,40.35
"614",1089.5,172150,38.45
"701",1265,297500,45.8
"702",1350.5,334750,42.6
"703",NA,501250,34.1
"704",NA,474650,32
"705",NA,213450,54.3
"706",NA,490450,32.85
"707",NA,492400,31.9
"708",1392,362900,43.1
"709",NA,NA,55.9
"710",2373.5,604700,32.45
"711",NA,412100,44.8
"712",1800,663500,35.05
"713",1627,462200,35.2
"714",NA,NA,NA
"715",NA,475100,36.3
"716",1377,368500,39.1
"717",1169.5,232600,47.4
"718",NA,579100,28.6
"719",NA,415450,43.7
"720",NA,480100,32.1
"721",NA,496600,34.85
"722",NA,386300,41.2
"801",NA,203200,34.55
"802",1092,192200,36.6
"803",1087.5,310700,31.15
"804",NA,215850,34.55
"805",NA,201550,33
"806",NA,207950,33.8
"807",1216,192800,31.6
"808",NA,320400,29.15
"809",1311.5,218150,28.5
"810",1243,233550,31.15
"811",1172.5,193700,36.1
"812",1071,172300,41.2
"813",1283,193800,31.85
"814",1136,214800,36.3
"815",1161,198400,34.2
"816",NA,325600,27.4
"817",1644.5,272650,33.45
"818",NA,218850,32.4
"819",1214,220250,29.35
"820",1075,172300,37.4
"821",919.5,150700,41.95
"822",1118,182100,38.9
"823",1144,178000,37.4
"824",NA,287900,28.8
"901",1290,321600,49
"902",1276.5,316500,45.9
"903",1352.5,298850,48.55
"904",1284,321800,48.3
"905",2026.5,659000,31.2
"906",NA,NA,NA
"907",NA,NA,46.05
"908",NA,333000,50.4
"909",NA,NA,38.7
"910",1231,315600,53.6
"911",1245,403800,45.6
"912",1297,312300,51.4
