"SSN","x.x","x.y","x"
"1008",48.3333333333333,2,1
"1009",32.6666666666667,0,3
"1010",29,0,1
"1013",26,0,1
"1014",37.5,1,1
"1017",44.3333333333333,1,2
"1018",23.6,0,5
"1019",26.5714285714286,0,7
"1020",21,0,1
"1021",36,5,10
"1022",40,2,3
"1024",67,1,0
"1025",20,0,1
"1101",36.3333333333333,3,6
"1102",38.2592592592593,11,18
"1103",36.4819277108434,31,55
"1104",31.25,1,3
"1105",33,0,1
"1106",36.6,2,3
"1107",35.0769230769231,4,9
"1111",44.8058252427184,65,39
"1112",34,1,4
"1113",30.2,1,4
"1114",31,2,4
"1201",37.36,12,14
"1202",48,2,1
"1203",42.5454545454545,6,6
"1204",40.5,7,7
"1205",38.3461538461538,25,28
"1206",37,2,3
"1207",46.9,7,3
"1208",38.375,4,5
"1209",37.741935483871,25,41
"1210",42.6666666666667,3,3
"1211",41,5,5
"1212",34,1,4
"1213",35.35,5,15
"1214",47.7777777777778,22,4
"1215",38.75,10,14
"1216",46.375,26,15
"1217",41,13,12
"1218",33.1666666666667,1,5
"1219",39.3275862068966,29,32
"1220",41.4166666666667,13,12
"1221",44.4166666666667,15,8
"1222",30,3,13
"1223",37.5714285714286,8,14
"1224",37.5833333333333,5,7
"1225",37.4935064935065,27,50
"1301",44,1,0
"1303",47.28125,23,9
"1304",37,1,1
"1306",42.6,6,4
"1307",49.4615384615385,11,3
"1309",34.3333333333333,1,2
"1311",39.9523809523809,10,11
"1312",30.5,0,2
"1313",27,0,2
"1314",31,0,1
"1315",37.4,4,6
"1316",36.7391304347826,9,14
"1317",41.5714285714286,9,6
"1318",34.7777777777778,4,6
"1319",35.5128205128205,11,28
"1320",35.3333333333333,1,2
"1321",41.4358974358974,20,21
"1322",45.875,5,3
"1323",34,0,2
"1325",40.7321428571429,30,27
"1326",35.7727272727273,7,15
"1327",26,0,4
"1328",33.875,3,13
"1329",41.1538461538462,7,6
"1330",39.4285714285714,9,12
"1331",35.5454545454545,14,31
"1332",36.3333333333333,2,2
"1333",48,1,1
"1334",39.6216216216216,15,24
"1335",31,1,2
"1336",41.4444444444444,5,4
"1337",39.7,6,14
"1338",37,0,1
"1339",41.0833333333333,6,6
"1340",34.7777777777778,2,7
"1341",64,1,0
"1342",23,0,1
"1343",37,1,1
"1344",22,0,1
"1345",30,0,1
"1346",55,2,0
"1347",38,1,1
"1349",37.125,2,6
"1350",43.1111111111111,5,4
"1351",59,1,0
"1352",41,8,8
"1353",34,1,4
"1401",38.1111111111111,5,4
"1402",37,0,1
"1403",32,0,1
"1404",47,2,1
"1405",29,0,1
"1408",35.6,3,3
"1409",37.8947368421053,6,13
"1410",29,0,2
"1411",56,1,0
"1412",38.6,4,6
"1413",50,1,0
"1414",33.2777777777778,3,15
"1415",36.75,1,3
"1416",31.75,1,3
"1417",51,2,0
"1419",26,0,1
"1421",37.7692307692308,5,7
"1422",39.5,4,7
"1423",25,0,1
"1424",41.8823529411765,7,10
"1425",32,0,1
"1426",48,1,1
"1427",38.6428571428571,6,9
"1428",39.2857142857143,3,4
"1429",39.1538461538462,12,15
"1430",31,1,2
"1431",42.8,4,2
"1432",36.6,1,4
"1434",41.75,5,4
"1435",33.8125,4,12
"1436",37.8,6,9
"1438",34.5,2,4
"1439",34.5,1,3
"1502",40,1,1
"1503",27,0,1
"1504",36.7692307692308,5,9
"1505",41.7361111111111,38,34
"1506",39.4895833333333,42,57
"1507",38.6451612903226,45,79
"1508",43.25,3,1
"1509",26,0,1
"1510",34,2,3
"1511",37.6779661016949,23,40
"1512",39.8571428571429,18,18
"1513",31.75,1,3
"1514",38.5555555555556,18,19
"1516",40.7027027027027,19,20
"1517",45,1,0
"1518",42.8688524590164,33,30
"1520",39.4736842105263,9,11
"1521",33.1666666666667,1,5
"1522",51,2,0
"1523",43.6666666666667,4,2
"1524",35.3157894736842,6,13
"1525",35.625,2,6
"1526",44.3333333333333,12,5
"1527",34,0,2
"1528",56,1,0
"1529",41.1111111111111,5,5
"1530",34.2962962962963,8,20
"1532",36.6,1,4
"1533",40.2173913043478,12,13
"1602",37.7692307692308,15,24
"1603",44.7272727272727,7,4
"1604",32.25,2,2
"1605",29.2,1,8
"1606",39,2,4
"1607",42.8387096774194,19,12
"1608",44.9319727891156,92,56
"1609",35.4,2,8
"1610",43.3333333333333,1,2
"1611",39,2,4
"1612",37.6666666666667,3,7
"1613",35,3,8
"1614",37.551724137931,9,20
"1615",39.7058823529412,8,9
"1616",49.25,7,1
"1701",37,0,1
"1704",26.6666666666667,0,3
"1706",35.5,0,2
"1707",41.8333333333333,4,2
"1708",38.1851851851852,12,15
"1709",25.5,0,2
"1710",32.9333333333333,3,12
"1711",37.3333333333333,1,2
"1712",39.5555555555556,5,3
"1713",36.2857142857143,6,9
"1714",32,0,2
"1715",32.3333333333333,0,3
"1801",37.3333333333333,2,4
"1802",29.8,1,4
"1803",33.5,0,2
"1804",38.2666666666667,6,9
"1805",34,1,5
"1806",31.6923076923077,3,10
"1808",36.125,9,15
"1809",47.25,4,0
"1810",35.1875,5,12
"1811",38.3076923076923,5,8
"1813",40.75,1,3
"1814",41.5,3,5
"1816",37.6,4,7
"1818",46.125,6,2
"1820",23.3333333333333,0,3
"1821",38.3333333333333,1,2
"1902",26.5,0,2
"1903",24,0,1
"1904",34.5,0,2
"1905",33.1666666666667,2,4
"1906",33.25,2,6
"1907",56,1,0
"1909",36,0,1
"1910",33,0,2
"1911",37,1,1
"1912",40.2307692307692,7,6
"1913",25,0,1
"1914",31.3333333333333,0,3
"1915",37.8125,6,10
"1916",30,0,3
"1917",63,1,0
"1918",43.7777777777778,5,4
"1919",40,1,1
"1920",30.75,1,2
"1921",42.8333333333333,3,3
"1922",39.6,10,10
"1924",30.6666666666667,0,3
"2001",35.6,2,3
"2002",36.5,3,5
"2003",39.8888888888889,5,5
"2004",42.6864406779661,72,45
"2006",46.6,4,1
"2007",50.1428571428571,7,1
"2008",35.25,1,4
"2009",45,24,11
"2010",25,0,1
"2011",32.1666666666667,3,5
"2012",50.0555555555556,30,6
"2013",43.6206896551724,16,14
"2014",45.75,5,3
"2015",36.6,6,6
"2016",44.8333333333333,3,3
"2017",43.4444444444444,6,3
"2018",38.6363636363636,6,6
"2019",38.3076923076923,9,18
"2020",39.8,3,2
"2021",33,0,3
"2101",51.5,2,0
"2102",36.5,1,2
"2103",41.6,3,2
"2104",37,1,2
"2105",23,0,1
"2107",50,2,0
"2108",30.5,2,5
"2110",35.3333333333333,0,3
"2112",30,1,4
"2113",37,1,1
"2114",38.25,2,2
"2115",35.5,2,2
"2116",37.8333333333333,2,4
"2119",37.625,14,19
"2120",1,0,0
"2121",38,4,6
"2122",33.8571428571429,1,6
"2123",37.4,2,3
