Place.Name,SSN,TRACTID,prop_of_ct
manchester twp,"1518","34029720001",0.992114126011423
beachwood boro,"1504","34029731204",0.000402311918266481
south toms river boro,"1529","34029731204",9.85121445073355e-05
berkeley twp,"1505","34029731204",0.996710525735953
lacey twp,"1512","34029731204",0.00278781609481504
manchester twp,"1518","34029731204",8.34106458459152e-07
southampton twp,"0333","34005702208",7.35955138747965e-07
woodland twp,"0339","34005702208",0.000895885897905662
pemberton twp,"0329","34005702208",0.999103378146956
berkeley twp,"1505","34029720103",0.0439407707572679
lacey twp,"1512","34029720103",0.00900499330466817
manchester twp,"1518","34029720103",0.947054235938064
berkeley twp,"1505","34029731203",0.999549665764514
manchester twp,"1518","34029731203",0.00045033423548565
pemberton twp,"0329","34005702207",1
manchester twp,"1518","34029720102",1
pemberton twp,"0329","34005704801",0.330288750473572
wrightstown boro,"0340","34005704801",3.23424865644786e-05
north hanover twp,"0326","34005704801",0.000245714456492323
new hanover twp,"0325","34005704801",0.669433192583371
pemberton twp,"0329","34005704802",0.000115876402903798
wrightstown boro,"0340","34005704802",0.219387755676806
springfield twp,"0334","34005704802",0.0690746034865025
north hanover twp,"0326","34005704802",0.00030222335183237
new hanover twp,"0325","34005704802",0.711119541081956
wrightstown boro,"0340","34005704500",0.0263494820662143
springfield twp,"0334","34005704500",0.00185235509830912
plumsted twp,"1523","34005704500",1.6055477646681e-05
north hanover twp,"0326","34005704500",0.963809363585054
chesterfield twp,"0307","34005704500",0.0072097171584412
upper freehold twp,"1351","34005704500",2.82240931186136e-05
hamilton twp,"1103","34005704500",4.78103002503163e-05
new hanover twp,"0325","34005704500",0.000686992220965703
wrightstown boro,"0340","34005982111",0.000523589372158724
north hanover twp,"0326","34005982111",0.0178297206240524
new hanover twp,"0325","34005982111",0.981646690003789
north hanover twp,"0326","34005702101",0.993549225114729
new hanover twp,"0325","34005702101",0.00645077488527123
pemberton twp,"0329","34005702210",0.999930332741463
new hanover twp,"0325","34005702210",6.9667258537493e-05
pemberton twp,"0329","34005702209",0.999974821725819
new hanover twp,"0325","34005702209",2.51782741806048e-05
port republic city,"0120","34005704700",3.66019057581754e-05
little egg harbor twp,"1516","34005704700",0.000196988067206926
washington twp,"0336","34005704700",0.37598961252931
barnegat twp,"1533","34005704700",3.11946504991701e-08
shamong twp,"0332","34005704700",2.54950248821314e-05
bass river twp,"0301","34005704700",0.282352305469553
tabernacle twp,"0335","34005704700",0.00162770689704871
southampton twp,"0333","34005704700",0.000152837468099763
woodland twp,"0339","34005704700",0.339074930406516
lacey twp,"1512","34005704700",1.0060750438477e-07
pemberton twp,"0329","34005704700",9.91236272365461e-05
egg harbor city,"0107","34005704700",0.000115330227780825
hammonton town,"0113","34005704700",4.09225342732666e-05
mullica twp,"0117","34005704700",0.000137244091720175
galloway twp,"0111","34005704700",0.000150769948459163
beach haven boro,"1503","34029736001",0.000314055230262392
little egg harbor twp,"1516","34029736001",0.995428548031383
tuckerton boro,"1532","34029736001",0.000445724331545854
long beach twp,"1517","34029736001",8.48208939609496e-05
eagleswood twp,"1508","34029736001",0.00341708703109547
bass river twp,"0301","34029736001",0.000309241298096234
woodland twp,"0339","34029736001",5.23183655778971e-07
little egg harbor twp,"1516","34029736002",0.000287140412810833
stafford twp,"1530","34029736002",0.000492911699384382
long beach twp,"1517","34029736002",0.000926082352563667
eagleswood twp,"1508","34029736002",0.998293865535241
little egg harbor twp,"1516","34029735002",0.00130509375361029
stafford twp,"1530","34029735002",0.99858403571246
eagleswood twp,"1508","34029735002",0.000110870533929279
stafford twp,"1530","34029735001",0.99662177600683
barnegat twp,"1533","34029735001",0.00337822399317024
little egg harbor twp,"1516","34029734001",2.34604532140184e-06
stafford twp,"1530","34029734001",0.0129053539865124
barnegat twp,"1533","34029734001",0.982049742054105
ocean twp,"1520","34029734001",0.00177772009843938
bass river twp,"0301","34029734001",1.67139912540505e-06
woodland twp,"0339","34029734001",0.00069442223013511
lacey twp,"1512","34029734001",0.00256874418636169
washington twp,"0336","34005703600",0.00636263464328421
shamong twp,"0332","34005703600",0.00108952733906024
tabernacle twp,"0335","34005703600",0.988351597336485
southampton twp,"0333","34005703600",0.00104925235185669
woodland twp,"0339","34005703600",0.00314698832931383
barnegat twp,"1533","34029732001",2.19540414101478e-05
ocean twp,"1520","34029732001",0.000507389752105951
berkeley twp,"1505","34029732001",0.00090420180410252
woodland twp,"0339","34029732001",0.000236167416634584
lacey twp,"1512","34029732001",0.99796614653186
manchester twp,"1518","34029732001",0.000364140453886937
winslow twp,"0436","34001011100",0.00233598049306248
folsom boro,"0110","34001011100",0.00248876054291344
hammonton town,"0113","34001011100",0.995175258964024
washington twp,"0336","34005703700",0.00305730757960321
waterford twp,"0435","34005703700",0.000149130628666792
shamong twp,"0332","34005703700",0.994810365707233
tabernacle twp,"0335","34005703700",0.000618487830479448
medford twp,"0320","34005703700",0.00136470825401702
hamilton twp,"0112","34001011000",4.97307606454067e-05
folsom boro,"0110","34001011000",0.0085418114507224
hammonton town,"0113","34001011000",0.991367875865378
mullica twp,"0117","34001011000",4.05819232542517e-05
winslow twp,"0436","34001010800",0.000686765420904275
waterford twp,"0435","34001010800",0.00253531474183062
shamong twp,"0332","34001010800",0.000133279020662003
hammonton town,"0113","34001010800",0.996644640816603
washington twp,"0336","34001010900",1.51944126637298e-05
shamong twp,"0332","34001010900",6.75301699528594e-05
hammonton town,"0113","34001010900",0.999435771753987
mullica twp,"0117","34001010900",0.000481503663396259
hamilton twp,"0112","34001010700",0.000655033858907676
washington twp,"0336","34001010700",0.000634322127187094
egg harbor city,"0107","34001010700",0.000311641751184453
hammonton town,"0113","34001010700",2.47505189083537e-05
mullica twp,"0117","34001010700",0.997687851199156
galloway twp,"0111","34001010700",0.000686400544656249
washington twp,"0336","34001010600",0.0015642403813958
egg harbor city,"0107","34001010600",0.971383872349801
mullica twp,"0117","34001010600",0.00011812490133859
galloway twp,"0111","34001010600",0.0269337623674641
shamong twp,"0332","34005703801",0.000763430897614137
medford lakes boro,"0321","34005703801",0.00215440859194132
tabernacle twp,"0335","34005703801",0.00297249495010094
southampton twp,"0333","34005703801",0.00246141802235294
lumberton twp,"0317","34005703801",0.00206564739199746
medford twp,"0320","34005703801",0.989582600145993
southampton twp,"0333","34005703103",0.000785233553438168
lumberton twp,"0317","34005703103",0.995707490522963
mount holly twp,"0323","34005703103",0.000308645878542778
eastampton twp,"0311","34005703103",0.00319863004505595
medford lakes boro,"0321","34005703900",0.954944725852303
medford twp,"0320","34005703900",0.0450552741476964
southampton twp,"0333","34005703202",0.998207061151103
lumberton twp,"0317","34005703202",0.000673541323368445
eastampton twp,"0311","34005703202",4.41186752144601e-07
medford twp,"0320","34005703202",0.00111895633877651
tabernacle twp,"0335","34005703201",0.0011762508745557
southampton twp,"0333","34005703201",0.996663147849081
woodland twp,"0339","34005703201",0.000100209291003954
pemberton twp,"0329","34005703201",0.00205918102079359
eastampton twp,"0311","34005703201",1.21096456551177e-06
southampton twp,"0333","34005703203",1
pemberton boro,"0328","34005702203",0.00106862402740286
southampton twp,"0333","34005702203",0.00732361645964909
pemberton twp,"0329","34005702203",0.991607759512948
pemberton twp,"0329","34005702400",0.0100056446835766
eastampton twp,"0311","34005702400",1.78822999983542e-08
wrightstown boro,"0340","34005702400",0.00212463218803193
westampton twp,"0337","34005702400",9.81783457415999e-06
springfield twp,"0334","34005702400",0.982729425970617
burlington twp,"0306","34005702400",0.0010748175905242
mansfield twp,"0318","34005702400",0.00100752223083346
florence twp,"0315","34005702400",0.00115773631747474
north hanover twp,"0326","34005702400",0.00144967053707254
chesterfield twp,"0307","34005702400",0.000440714764995501
mount holly twp,"0323","34005702601",0.990503257290545
eastampton twp,"0311","34005702601",0.00904128290812833
westampton twp,"0337","34005702601",0.000455459801326315
springfield twp,"0334","34005701402",0.0050096629774052
mansfield twp,"0318","34005701402",0.993613217190012
florence twp,"0315","34005701402",0.00137711983258299
southampton twp,"0333","34005702500",0.00209544293405459
lumberton twp,"0317","34005702500",0.000221006178630969
pemberton twp,"0329","34005702500",5.6918425481632e-05
mount holly twp,"0323","34005702500",0.0002971749200256
eastampton twp,"0311","34005702500",0.992733683193929
springfield twp,"0334","34005702500",0.00459577434787795
pemberton boro,"0328","34005702204",0.00197572943345137
southampton twp,"0333","34005702204",0.00120074956585663
pemberton twp,"0329","34005702204",0.993373354112659
eastampton twp,"0311","34005702204",4.16056704635956e-05
wrightstown boro,"0340","34005702204",0.000304415650446048
springfield twp,"0334","34005702204",0.00310414556712322
pemberton boro,"0328","34005702300",0.987956503194564
pemberton twp,"0329","34005702300",0.0120434968054363
springfield twp,"0334","34005701303",0.00080491743856569
burlington twp,"0306","34005701303",0.000848672791664181
mansfield twp,"0318","34005701303",0.00644281576680981
florence twp,"0315","34005701303",0.99190359400296
springfield twp,"0334","34005701401",0.000611789311534654
mansfield twp,"0318","34005701401",0.992891862205555
florence twp,"0315","34005701401",0.00100045227773429
chesterfield twp,"0307","34005701401",0.00483943135923255
bordentown twp,"0304","34005701401",0.000656464845943998
springfield twp,"0334","34005704302",0.000126869134680981
mansfield twp,"0318","34005704302",0.0022886849316938
north hanover twp,"0326","34005704302",0.00973063208743976
chesterfield twp,"0307","34005704302",0.985265158499445
bordentown twp,"0304","34005704302",0.00176479976292355
hamilton twp,"1103","34005704302",0.000823855583816749
mansfield twp,"0318","34005701302",0.0127625521839416
florence twp,"0315","34005701302",0.987237447816058
mansfield twp,"0318","34005704200",0.00338775476626124
florence twp,"0315","34005704200",0.00228442378907651
fieldsboro boro,"0314","34005704200",0.0517293133387857
bordentown city,"0303","34005704200",0.0014251297390361
chesterfield twp,"0307","34005704200",0.0021640409698656
bordentown twp,"0304","34005704200",0.939009337396975
bordentown city,"0303","34005701700",0.969963479992978
bordentown twp,"0304","34005701700",0.0270140995314484
hamilton twp,"1103","34005701700",0.00302242047557363
lumberton twp,"0317","34005702918",0.00194516692314904
hainesport twp,"0316","34005702918",0.00132141337004146
mount laurel twp,"0324","34005702918",0.996726313838987
medford twp,"0320","34005702918",7.10586782282286e-06
southampton twp,"0333","34005703102",0.00648271734551919
lumberton twp,"0317","34005703102",0.990352635522995
hainesport twp,"0316","34005703102",0.00260794399344226
mount laurel twp,"0324","34005703102",7.07720184771744e-05
medford twp,"0320","34005703102",0.000485931119566117
lumberton twp,"0317","34005703000",0.00104742528414813
hainesport twp,"0316","34005703000",0.989800987510693
mount laurel twp,"0324","34005703000",0.00636736021964319
mount holly twp,"0323","34005703000",8.63594925445615e-05
westampton twp,"0337","34005703000",0.00269786749297109
mount laurel twp,"0324","34005702915",1
hainesport twp,"0316","34005702917",0.0078463358561987
mount laurel twp,"0324","34005702917",0.992153664143801
lumberton twp,"0317","34005703104",0.990919704144124
hainesport twp,"0316","34005703104",0.00290253210867359
mount holly twp,"0323","34005703104",0.00617776374720261
hainesport twp,"0316","34005702913",0.00172010187991417
mount laurel twp,"0324","34005702913",0.998279898120086
hainesport twp,"0316","34005702914",0.00508063172415009
mount laurel twp,"0324","34005702914",0.986922214169028
moorestown twp,"0322","34005702914",0.00701553515153356
westampton twp,"0337","34005702914",1.06549945285622e-06
willingboro twp,"0338","34005702914",0.000980553455835918
lumberton twp,"0317","34005704600",0.000452082627793745
hainesport twp,"0316","34005704600",0.00261188708920324
mount holly twp,"0323","34005704600",0.995422955003129
eastampton twp,"0311","34005704600",0.00143801782782687
westampton twp,"0337","34005704600",7.50574520473204e-05
mount holly twp,"0323","34005702603",1
hainesport twp,"0316","34005702700",0.00746605785971753
mount laurel twp,"0324","34005702700",0.000508656465885964
mount holly twp,"0323","34005702700",0.00144615280190874
eastampton twp,"0311","34005702700",0.000130469667420385
westampton twp,"0337","34005702700",0.985022943972119
willingboro twp,"0338","34005702700",0.000893935028324195
springfield twp,"0334","34005702700",0.00144149318177559
burlington twp,"0306","34005702700",0.00309029102284843
mount laurel twp,"0324","34005702811",0.00220274610732635
moorestown twp,"0322","34005702811",0.0100727198469382
westampton twp,"0337","34005702811",0.00118613515496237
willingboro twp,"0338","34005702811",0.986538398890773
westampton twp,"0337","34005702803",0.00584480557712565
willingboro twp,"0338","34005702803",0.994155194422874
westampton twp,"0337","34005702801",0.0081875284011761
willingboro twp,"0338","34005702801",0.964583660278073
burlington twp,"0306","34005702801",0.0272288113207511
willingboro twp,"0338","34005702802",0.993698446230555
burlington twp,"0306","34005702802",0.00630155376944512
willingboro twp,"0338","34005702806",0.997524973836551
burlington twp,"0306","34005702806",0.00247502616344842
westampton twp,"0337","34005701105",0.000194945747283466
willingboro twp,"0338","34005701105",0.000783257949910174
burlington twp,"0306","34005701105",0.999021796302806
burlington city,"0305","34005701201",0.98074727362664
burlington twp,"0306","34005701201",0.0192527263733597
burlington city,"0305","34005701203",0.997728028819988
burlington twp,"0306","34005701203",0.00227197118001202
westampton twp,"0337","34005701102",0.0100219125409671
springfield twp,"0334","34005701102",0.00356975787847397
burlington city,"0305","34005701102",7.84991752597137e-05
burlington twp,"0306","34005701102",0.986329830405299
springfield twp,"0334","34005701103",0.000331349750765701
burlington city,"0305","34005701103",0.00369788653990828
burlington twp,"0306","34005701103",0.992013575550436
florence twp,"0315","34005701103",0.00395718815889014
evesham twp,"0313","34005704007",1
lumberton twp,"0317","34005703802",0.0013634036821177
evesham twp,"0313","34005703802",0.001863871194702
medford twp,"0320","34005703802",0.99677272512318
evesham twp,"0313","34005704013",1
mount laurel twp,"0324","34005704014",0.00221663238383914
evesham twp,"0313","34005704014",0.997350438385147
medford twp,"0320","34005704014",0.000432929231013408
mount laurel twp,"0324","34005702908",0.996257057686301
evesham twp,"0313","34005702908",0.00374294231369918
waterford twp,"0435","34005703804",0.00188512922575217
shamong twp,"0332","34005703804",0.0110581904258041
medford lakes boro,"0321","34005703804",0.000133766418919202
evesham twp,"0313","34005703804",0.000422440456423868
medford twp,"0320","34005703804",0.986500473473101
evesham twp,"0313","34005704012",0.998274046603721
medford twp,"0320","34005704012",0.00172595339627933
evesham twp,"0313","34005704008",1
evesham twp,"0313","34005704009",0.997563522718096
medford twp,"0320","34005704009",0.0024364772819038
medford twp,"0320","34005703803",1
winslow twp,"0436","34007611400",0.000232249386161139
pine valley boro,"0429","34007611400",0.320630871740584
pine hill boro,"0428","34007611400",0.675764275285348
berlin boro,"0405","34007611400",0.000148084682613046
clementon boro,"0411","34007611400",0.00210664667736724
gloucester twp,"0415","34007611400",0.00111787222792692
winslow twp,"0436","34007609103",0.996504745027589
waterford twp,"0435","34007609103",0.000644086985151623
pine hill boro,"0428","34007609103",7.54279278891149e-07
berlin boro,"0405","34007609103",0.000497471020130277
chesilhurst boro,"0410","34007609103",0.0023529426878504
winslow twp,"0436","34007608901",0.00388332066936803
waterford twp,"0435","34007608901",0.993316368996274
berlin boro,"0405","34007608901",6.99272385586014e-05
berlin twp,"0406","34007608901",7.24512530240015e-05
evesham twp,"0313","34007608901",0.00265793184277572
waterford twp,"0435","34007608903",0.993958244139163
medford twp,"0320","34007608903",0.00604175586083746
winslow twp,"0436","34007608904",0.00260182377809321
waterford twp,"0435","34007608904",0.996330524454544
shamong twp,"0332","34007608904",0.000999085258032004
hammonton town,"0113","34007608904",6.47604584545966e-05
medford twp,"0320","34007608904",3.80605087610336e-06
lindenwold boro,"0422","34007607600",0.0135556488977959
gibbsboro boro,"0413","34007607600",0.977736513329209
voorhees twp,"0434","34007607600",0.00870783777299538
gibbsboro boro,"0413","34007607505",0.0023289988325776
berlin twp,"0406","34007607505",0.0128550143875199
voorhees twp,"0434","34007607505",0.984815986779903
winslow twp,"0436","34007608700",0.00569143020730187
waterford twp,"0435","34007608700",0.000109454509509277
pine hill boro,"0428","34007608700",3.14770058943402e-05
berlin boro,"0405","34007608700",0.992947294186291
berlin twp,"0406","34007608700",0.00122034409100334
berlin twp,"0406","34007607504",0.009871650044562
voorhees twp,"0434","34007607504",0.989328617253155
evesham twp,"0313","34007607504",0.000799732702282739
waterford twp,"0435","34005704011",0.000679527155572511
berlin twp,"0406","34005704011",0.00389869176959483
voorhees twp,"0434","34005704011",0.0046398547408583
evesham twp,"0313","34005704011",0.983048670463892
medford twp,"0320","34005704011",0.00773325587008247
moorestown twp,"0322","34005700602",0.00462281509743189
delran twp,"0310","34005700602",0.988092149524294
willingboro twp,"0338","34005700602",0.00727365081316099
delanco twp,"0309","34005700602",1.13845651128655e-05
moorestown twp,"0322","34005702810",0.011459404266461
delran twp,"0310","34005702810",0.00562892540435717
willingboro twp,"0338","34005702810",0.982800144737761
delanco twp,"0309","34005702810",2.28683402569355e-05
edgewater park twp,"0312","34005702810",8.86572511640575e-05
willingboro twp,"0338","34005702808",1
willingboro twp,"0338","34005702805",1
delran twp,"0310","34005700703",0.00709406786740085
riverside twp,"0330","34005700703",0.990479281578646
delanco twp,"0309","34005700703",0.00242665055395354
delanco twp,"0309","34005700900",0.00017774496611625
beverly city,"0302","34005700900",0.960022062533324
edgewater park twp,"0312","34005700900",0.03980019250056
willingboro twp,"0338","34005701001",4.41743663406552e-05
delanco twp,"0309","34005701001",3.33848468853867e-05
edgewater park twp,"0312","34005701001",0.999922440786774
willingboro twp,"0338","34005702807",0.992995970316557
edgewater park twp,"0312","34005702807",0.000507462575705835
burlington twp,"0306","34005702807",0.00649656710773689
willingboro twp,"0338","34005701104",0.000989752457814104
edgewater park twp,"0312","34005701104",0.000696374046516434
burlington city,"0305","34005701104",0.000153111924562956
burlington twp,"0306","34005701104",0.998160761571106
cherry hill twp,"0409","34007603504",0.999878442554429
voorhees twp,"0434","34007603504",0.000121557445570731
cherry hill twp,"0409","34007603503",1
cherry hill twp,"0409","34007603506",0.996619138401236
evesham twp,"0313","34007603506",0.00338086159876352
cherry hill twp,"0409","34007603507",0.999828690734621
voorhees twp,"0434","34007603507",0.000171309265378953
washington twp,"0818","34015501204",0.978281194815777
gloucester twp,"0415","34015501204",0.021718805184223
washington twp,"0818","34007608404",0.00202821490872909
gloucester twp,"0415","34007608404",0.997971785091271
winslow twp,"0436","34015501205",4.45515121427539e-06
washington twp,"0818","34015501205",0.995358919737539
gloucester twp,"0415","34015501205",0.00457221764648233
monroe twp,"0811","34015501205",6.44074647644741e-05
pine hill boro,"0428","34007608504",0.99979727556673
gloucester twp,"0415","34007608504",0.000202724433270129
pine hill boro,"0428","34007608401",0.000593803563077402
gloucester twp,"0415","34007608401",0.999406196436923
delran twp,"0310","34005700800",0.00187119446543582
riverside twp,"0330","34005700800",0.00749188346205778
willingboro twp,"0338","34005700800",2.09641371687289e-06
delanco twp,"0309","34005700800",0.983048167521849
beverly city,"0302","34005700800",0.00136665925614493
edgewater park twp,"0312","34005700800",0.00621999888079524
pine hill boro,"0428","34007608211",0.00143800306021611
gloucester twp,"0415","34007608211",0.998561996939784
pine hill boro,"0428","34007608600",0.0109540692284039
berlin boro,"0405","34007608600",1.00740276447381e-07
clementon boro,"0411","34007608600",0.982284481397204
lindenwold boro,"0422","34007608600",0.00676134863411533
pine hill boro,"0428","34007607801",3.74190933482176e-05
clementon boro,"0411","34007607801",8.52080695111729e-05
laurel springs boro,"0420","34007607801",2.42102766017846e-05
lindenwold boro,"0422","34007607801",0.998460175841053
stratford boro,"0432","34007607801",0.000734493167842417
gloucester twp,"0415","34007607801",0.000658493551643661
clementon boro,"0411","34007607802",0.0111863737092609
laurel springs boro,"0420","34007607802",0.0023390154450799
lindenwold boro,"0422","34007607802",0.986474610845659
laurel springs boro,"0420","34007607900",0.972623472188755
lindenwold boro,"0422","34007607900",0.0123433241890614
stratford boro,"0432","34007607900",0.015033203622184
laurel springs boro,"0420","34007611200",0.000223956023289496
lindenwold boro,"0422","34007611200",0.00430606523518841
stratford boro,"0432","34007611200",0.785134758997043
hi-nella boro,"0419","34007611200",0.202675190991369
gloucester twp,"0415","34007611200",0.00354464577168852
somerdale boro,"0431","34007611200",0.0041153829814217
lindenwold boro,"0422","34007607502",0.00134700883008937
gibbsboro boro,"0413","34007607502",0.00294278727324786
somerdale boro,"0431","34007607502",3.33381791279405e-05
cherry hill twp,"0409","34007607502",0.000191510181473197
voorhees twp,"0434","34007607502",0.995485355536062
lindenwold boro,"0422","34007607402",0.000497644363969262
stratford boro,"0432","34007607402",0.00528786514689092
hi-nella boro,"0419","34007607402",0.001220540277781
somerdale boro,"0431","34007607402",0.974022459913729
magnolia boro,"0423","34007607402",0.0106220227199012
lawnside boro,"0421","34007607402",4.95939450125306e-05
voorhees twp,"0434","34007607402",0.00829987363271632
voorhees twp,"0434","34007607506",1
somerdale boro,"0431","34007603505",4.98567139920811e-07
lawnside boro,"0421","34007603505",0.00418810760643477
cherry hill twp,"0409","34007603505",0.99560231610776
haddonfield boro,"0417","34007603505",3.99389704588405e-05
voorhees twp,"0434","34007603505",0.000169138748206144
cherry hill twp,"0409","34005700408",0.00346100799203278
maple shade twp,"0319","34005700408",0.96495313723055
mount laurel twp,"0324","34005700408",0.0314660267325447
moorestown twp,"0322","34005700408",0.000119828044872172
mount laurel twp,"0324","34005702905",1
cherry hill twp,"0409","34005700403",0.00666691364570769
maple shade twp,"0319","34005700403",0.993333086354292
cherry hill twp,"0409","34005700407",0.00304713367869855
maple shade twp,"0319","34005700407",0.988055867202956
moorestown twp,"0322","34005700407",0.00889699911834561
maple shade twp,"0319","34005700401",0.998272895401314
moorestown twp,"0322","34005700401",0.00155918669004444
cinnaminson twp,"0308","34005700401",0.000167917908641554
mount laurel twp,"0324","34005702909",0.998917498865736
moorestown twp,"0322","34005702909",0.00108250113426434
lumberton twp,"0317","34005702910",2.82373010458236e-06
mount laurel twp,"0324","34005702910",0.997903659530528
moorestown twp,"0322","34005702910",0.000967021067020488
evesham twp,"0313","34005702910",0.000384467938230579
medford twp,"0320","34005702910",0.000742027734115839
maple shade twp,"0319","34005700502",0.00986445158041746
moorestown twp,"0322","34005700502",0.990073884243733
cinnaminson twp,"0308","34005700502",6.16641758499386e-05
moorestown twp,"0322","34005700503",1
mount laurel twp,"0324","34005700504",0.00754996794203203
moorestown twp,"0322","34005700504",0.992450032057968
cherry hill twp,"0409","34007606300",0.0135882812909253
haddonfield boro,"0417","34007606300",0.986411718709075
cherry hill twp,"0409","34007603601",0.986750392651329
haddonfield boro,"0417","34007603601",0.0132496073486713
cherry hill twp,"0409","34007603302",0.990510676680593
maple shade twp,"0319","34007603302",0.00948932331940716
cherry hill twp,"0409","34007603602",1
palmyra boro,"0327","34005700303",2.96787747572005e-05
riverton boro,"0331","34005700303",0.00287473237404075
cinnaminson twp,"0308","34005700303",0.982631276645161
delran twp,"0310","34005700303",0.0144643122060409
cinnaminson twp,"0308","34005700603",5.51833990062702e-05
delran twp,"0310","34005700603",0.991129472097244
riverside twp,"0330","34005700603",0.00318858843642061
delanco twp,"0309","34005700603",0.00562675606732888
delran twp,"0310","34005700701",0.00111294241584728
riverside twp,"0330","34005700701",0.998887057584153
moorestown twp,"0322","34005700307",0.00312126119371286
cinnaminson twp,"0308","34005700307",0.993499407828293
delran twp,"0310","34005700307",0.00337933097799427
moorestown twp,"0322","34005700605",0.0110040230186186
cinnaminson twp,"0308","34005700605",0.00384585982167414
delran twp,"0310","34005700605",0.985150117159707
haddon heights boro,"0418","34007605700",0.000603954219892684
audubon boro,"0401","34007605700",0.996783447870966
oaklyn boro,"0426","34007605700",0.00133622117235009
haddonfield boro,"0417","34007605700",4.5451656230251e-07
haddon twp,"0416","34007605700",0.00127592222022844
cherry hill twp,"0409","34007603800",0.00120406975311939
haddonfield boro,"0417","34007603800",0.00293141949873332
collingswood boro,"0412","34007603800",0.00600408040698011
haddon twp,"0416","34007603800",0.989860430341167
haddonfield boro,"0417","34007606100",0.990569338743622
haddon twp,"0416","34007606100",0.00943066125637851
lawnside boro,"0421","34007606400",0.0127947832333641
tavistock boro,"0433","34007606400",0.236429271281833
barrington boro,"0403","34007606400",0.00220597972809579
cherry hill twp,"0409","34007606400",0.00302595084963191
haddon heights boro,"0418","34007606400",0.00230942204505595
haddonfield boro,"0417","34007606400",0.743234592862019
cherry hill twp,"0409","34007603700",0.996789512032041
haddonfield boro,"0417","34007603700",0.00321048796795948
washington twp,"0818","34007608303",0.000379891769686937
gloucester twp,"0415","34007608303",0.996093482989728
deptford twp,"0802","34007608303",0.00352662524058523
gloucester twp,"0415","34007608304",1
lindenwold boro,"0422","34007608202",0.0121734346314216
stratford boro,"0432","34007608202",0.00949265824531515
gloucester twp,"0415","34007608202",0.978333907123263
stratford boro,"0432","34007608205",0.00169793569793382
gloucester twp,"0415","34007608205",0.995858072547415
somerdale boro,"0431","34007608205",0.00244399175465077
washington twp,"0818","34007608210",0.000759262180460626
