municipality,ndvi
sayreville boro,0.461010796
south amboy city,0.349465713
south brunswick twp,0.636353961
south plainfield boro,0.512590908
south river boro,0.435713498
spotswood boro,0.618170403
woodbridge twp,0.471546601
allenhurst boro,0.506204769
allentown boro,0.683285718
asbury park city,0.493430957
atlantic highlands boro,0.527930957
avon-by-the-sea boro,0.393485718
belmar boro,0.387232135
bradley beach boro,0.350835718
brielle boro,0.612438094
colts neck twp,0.71467753999999994
deal boro,0.601908936
eatontown boro,0.544379521
englishtown boro,0.682989282
fair haven boro,0.558674287
farmingdale boro,0.678171436
freehold boro,0.593375
freehold twp,0.670256515
highlands boro,0.525721436
holmdel twp,0.648387579
howell twp,0.679580435
interlaken boro,0.73015
keansburg boro,0.28618571
keyport boro,0.456492871
little silver boro,0.620680608
loch arbour village,0.475264307
long branch city,0.519319046
manalapan twp,0.681859978
manasquan boro,0.437944647
marlboro twp,0.655679945
matawan boro,0.56955
aberdeen twp,0.52400238
middletown twp,0.619149811
millstone twp,0.718719071
monmouth beach boro,0.384598218
neptune twp,0.560471432
neptune city boro,0.43426429
tinton falls boro,0.645194948
ocean twp,0.634384617
oceanport boro,0.537071429
hazlet twp,0.475802232
red bank boro,0.45846309
roosevelt boro,0.781946436
rumson boro,0.663027066
sea bright boro,0.507590479
sea girt boro,0.558052376
shrewsbury boro,0.569676196
shrewsbury twp,0.575555359
lake como boro,0.415576782
spring lake boro,0.526588102
spring lake heights boro,0.591159521
union beach boro,0.317308925
upper freehold twp,0.698933565
wall twp,0.65556616
west long branch boro,0.55093811
boonton town,0.671904277
boonton twp,0.784103108
butler boro,0.650151188
chatham boro,0.658463094
chatham twp,0.7788087
chester boro,0.694808574
chester twp,0.748739237
denville twp,0.680921647
dover town,0.522225
east hanover twp,0.612194901
florham park boro,0.610968046
hanover twp,0.586188773
harding twp,0.789329945
jefferson twp,0.763284119
kinnelon boro,0.764418572
lincoln park boro,0.70426302
madison boro,0.632293957
mendham boro,0.744999551
mendham twp,0.783247418
mine hill twp,0.632284696
montville twp,0.712737055
morris twp,0.697893215
morris plains boro,0.645875
morristown town,0.604009194
mountain lakes boro,0.716085712
mount arlington boro,0.582714286
mount olive twp,0.693068255
netcong boro,0.623342871
parsippany-troy hills twp,0.632138203
long hill twp,0.800159152
pequannock twp,0.641242141
randolph twp,0.689951323
riverdale boro,0.57429001
rockaway boro,0.619742861
rockaway twp,0.75972351
roxbury twp,0.659248853
victory gardens boro,0.523338102
washington twp,0.732939654
wharton boro,0.621321427
barnegat light boro,0.10711429
bay head boro,0.245078578
beach haven boro,-0.158151191
beachwood boro,0.514263094
berkeley twp,0.382594939
brick twp,0.537876014
toms river twp,0.399800108
eagleswood twp,0.552559854
harvey cedars boro,-0.2
island heights boro,0.535460718
jackson twp,0.695859324
lacey twp,0.514959738
lakehurst boro,0.474661914
lakewood twp,0.550594105
lavallette boro,-0.04251607
little egg harbor twp,0.333085752
long beach twp,-0.159614403
manchester twp,0.602709993
mantoloking boro,0.309604769
ocean twp,0.385134671
ocean gate boro,0.24535595
pine beach boro,0.107157141
plumsted twp,0.687304973
point pleasant boro,0.518766671
point pleasant beach boro,0.251619641
seaside heights boro,-0.055307141
seaside park boro,-0.2
ship bottom boro,-0.004985715
south toms river boro,0.455637153
stafford twp,0.518271032
surf city boro,-0.132835713
tuckerton boro,0.565992212
barnegat twp,0.530977379
bloomingdale boro,0.749800598
clifton city,0.429352304
haledon boro,0.500877139
hawthorne boro,0.555311615
little falls twp,0.498491832
north haledon boro,0.705862712
passaic city,0.306464286
paterson city,0.358473931
pompton lakes boro,0.605180359
prospect park boro,0.512064307
ringwood boro,0.757971993
totowa boro,0.537805194
wanaque boro,0.690537266
wayne twp,0.654462998
west milford twp,0.763580314
woodland park boro,0.540522217
alloway twp,0.680503451
elmer boro,0.555153564
elsinboro twp,0.568649569
lower alloways creek twp,0.627090708
mannington twp,0.609672019
oldmans twp,0.587614545
penns grove boro,0.173414288
pennsville twp,0.593427914
pilesgrove twp,0.62340931
pittsgrove twp,0.650084189
quinton twp,0.675012585
salem city,0.5886125
carneys point twp,0.587851747
upper pittsgrove twp,0.611519301
woodstown boro,0.614921423
bedminster twp,0.769617957
bernards twp,0.772374835
bernardsville boro,0.775237229
bound brook boro,0.665032141
branchburg twp,0.695266946
bridgewater twp,0.683816483
far hills boro,0.80087755
franklin twp,0.669273478
green brook twp,0.709664933
hillsborough twp,0.697563331
manville boro,0.562112249
millstone boro,0.742889282
montgomery twp,0.703005215
north plainfield boro,0.607909827
peapack-gladstone boro,0.777532414
raritan boro,0.56758142600000006
rocky hill boro,0.720164307
somerville boro,0.515219641
south bound brook boro,0.536110718
warren twp,0.767935153
watchung boro,0.725293879
andover boro,0.772525
andover twp,0.778329243
branchville boro,0.690992871
byram twp,0.7735452
frankford twp,0.757102905
franklin boro,0.731595455
fredon twp,0.772590421
green twp,0.768099478
hamburg boro,0.737914282
hampton twp,0.768334416
hardyston twp,0.769695048
hopatcong boro,0.716437558
lafayette twp,0.749638253
montague twp,0.78510816
newton town,0.705286426
ogdensburg boro,0.740057145
sandyston twp,0.814612271
sparta twp,0.743842639
stanhope boro,0.73563929
stillwater twp,0.772107241
sussex boro,0.773289282
vernon twp,0.795081059
walpack twp,0.798935718
wantage twp,0.76885272
berkeley heights twp,0.700814285
clark twp,0.588098699
cranford twp,0.50910918
elizabeth city,0.216299035
fanwood boro,0.5926125
garwood boro,0.555092871
hillside twp,0.360551188
kenilworth boro,0.431163098
linden city,0.382327041
mountainside boro,0.702029769
new providence boro,0.642025718
plainfield city,0.586698574
rahway city,0.502127273
roselle boro,0.512827553
roselle park boro,0.495678564
scotch plains twp,0.68694503
springfield twp,0.556947247
summit city,0.59468826
union twp,0.452686057
westfield town,0.606962698
winfield twp,0.556398218
allamuchy twp,0.752134656
alpha boro,0.63841
belvidere town,0.726659538
blairstown twp,0.737265112
franklin twp,0.763007619
frelinghuysen twp,0.782273776
greenwich twp,0.666021685
hackettstown town,0.69933001
hardwick twp,0.775203279
harmony twp,0.758230568
hope twp,0.747507451
independence twp,0.761334772
knowlton twp,0.751728052
liberty twp,0.774763612
lopatcong twp,0.685293569
mansfield twp,0.762841447
oxford twp,0.736963805
phillipsburg town,0.525549208
pohatcong twp,0.70225081600000006
washington boro,0.683653577
washington twp,0.742890966
white twp,0.753630599
