"SSN","deathCt","deathCt2015","deathCt2016","deathCt2017","deathCt2018"
"0325",0,0,0,0,0
"0326",8,1,2,2,3
"0327",14,3,4,3,4
"0328",4,1,1,2,0
"0329",49,5,6,21,17
"0330",14,1,5,2,6
"0331",6,0,1,1,4
"0332",3,0,1,1,1
"0333",8,0,1,3,4
"0334",7,0,1,2,4
"0335",8,0,3,2,3
"0336",1,0,0,1,0
"0337",4,0,2,1,1
"0338",27,7,4,6,10
"0339",0,0,0,0,0
"0340",1,0,0,1,0
"0401",7,3,1,2,1
"0402",2,0,1,1,0
"0403",10,1,3,4,2
"0404",26,5,3,8,10
"0405",7,0,1,2,4
"0406",8,3,1,3,1
"0407",9,2,2,3,2
"0408",159,25,27,50,57
"0409",47,8,10,11,18
"0410",4,1,0,2,1
"0411",15,4,3,1,7
"0412",20,1,4,8,7
"0413",3,2,0,1,0
"0414",48,7,8,16,17
"0415",89,16,16,35,22
"0416",16,2,1,6,7
"0417",1,0,0,1,0
"0418",5,1,2,2,0
"0419",1,0,0,0,1
"0420",2,0,0,0,2
"0421",3,1,0,1,1
"0422",36,5,5,7,19
"0423",10,4,0,3,3
"0424",5,1,2,2,0
"0425",5,1,1,1,2
"0426",9,1,4,0,4
"0427",35,7,12,6,10
"0428",22,5,4,8,5
"0429",0,0,0,0,0
"0430",16,2,4,3,7
"0431",8,0,2,2,4
"0432",16,3,4,5,4
"0433",0,0,0,0,0
"0434",18,3,2,5,8
"0435",12,2,4,3,3
"0436",41,7,11,14,9
"0437",4,0,0,3,1
"0501",1,0,0,0,1
"0502",0,0,0,0,0
"0503",0,0,0,0,0
"0504",3,1,0,1,1
"0505",36,6,8,11,11
"0506",29,6,5,7,11
"0507",4,0,2,2,0
"0508",19,3,4,5,7
"0509",1,0,0,1,0
"0510",0,0,0,0,0
"0511",10,1,3,2,4
"0512",3,2,0,0,1
"0513",2,0,0,1,1
"0514",13,1,1,7,4
"0515",4,0,0,3,1
"0516",5,2,0,2,1
"0601",21,0,3,3,15
"0602",11,4,2,2,3
"0603",2,0,0,0,2
"0604",1,0,0,0,1
"0605",4,1,1,0,2
"0606",1,0,0,1,0
"0607",3,0,2,1,0
"0608",3,1,0,1,1
"0609",5,2,0,2,1
"0610",66,6,18,17,25
"0611",0,0,0,0,0
"0612",1,0,0,1,0
"0613",5,1,1,2,1
"0614",105,13,14,38,40
"0701",41,2,9,13,17
"0702",35,4,8,9,14
"0703",5,0,2,1,2
"0704",11,1,3,3,4
"0705",73,9,18,24,22
"0706",2,0,0,1,1
"0707",3,0,1,0,2
"0708",0,0,0,0,0
"0709",53,3,9,24,17
"0710",11,1,3,3,4
"0711",7,0,2,3,2
"0712",2,0,1,1,0
"0713",15,2,4,6,3
"0714",418,56,103,130,129
"0715",1,1,0,0,0
"0716",21,2,6,6,7
"0717",21,0,6,5,10
"0718",1,0,0,1,0
"0719",3,1,1,0,1
"0720",5,0,1,1,3
"0721",5,0,2,2,1
"0722",22,4,6,7,5
"0801",14,3,2,3,6
"0802",49,7,6,10,26
"0803",7,1,0,3,3
"0804",5,1,0,4,0
"0805",27,3,7,8,9
"0806",17,1,5,4,7
"0807",3,0,2,1,0
"0808",9,2,2,2,3
"0809",7,1,3,3,0
"0810",19,5,1,8,5
"0811",49,5,10,16,18
"0812",9,2,1,4,2
"0813",1,0,1,0,0
"0814",19,1,4,6,8
"0815",15,3,4,3,5
"0816",3,1,1,0,1
"0817",3,0,0,2,1
"0818",59,10,10,11,28
"0819",0,0,0,0,0
"0820",34,7,5,13,9
"0821",12,1,1,5,5
"0822",20,8,3,4,5
"0823",6,0,1,2,3
"0824",5,0,1,0,4
"0901",67,15,9,18,25
"0902",2,0,1,0,1
"0903",4,0,1,1,2
"0904",8,1,4,2,1
"0905",29,3,8,8,10
"0906",163,21,38,47,57
"0907",24,6,6,3,9
"0908",29,6,9,9,5
"0909",7,2,3,0,2
"0910",22,3,5,9,5
"0911",4,0,2,1,1
"0912",10,1,1,5,3
"1001",3,0,2,1,0
"1002",2,0,0,2,0
"1003",1,0,1,0,0
"1004",1,0,0,1,0
"1005",1,0,0,0,1
"1006",3,1,1,1,0
"1007",1,1,0,0,0
"1008",3,1,0,1,1
"1009",3,0,1,1,1
"1010",1,0,0,1,0
"1011",0,0,0,0,0
"1012",0,0,0,0,0
"1013",1,0,0,0,1
"1014",2,0,1,0,1
"1015",0,0,0,0,0
"1016",0,0,0,0,0
"1017",3,0,0,2,1
"1018",5,0,0,2,3
"1019",7,3,1,2,1
"1020",1,0,0,1,0
"1021",15,4,2,5,4
"1022",5,1,0,2,2
"1023",0,0,0,0,0
"1024",1,0,0,0,1
"1025",1,0,0,1,0
"1026",0,0,0,0,0
"1101",9,1,2,3,3
"1102",28,6,7,5,10
"1103",83,13,15,23,32
"1104",4,1,0,2,1
"1105",1,0,1,0,0
"1106",5,1,0,2,2
"1107",13,2,2,5,4
"1108",0,0,0,0,0
"1111",103,19,10,26,48
"1112",4,2,0,1,1
"1113",5,1,2,2,0
"1114",5,0,1,1,3
"1201",25,2,5,11,7
"1202",3,1,1,0,1
"1203",11,1,6,2,2
"1204",14,5,2,6,1
"1205",52,7,14,17,14
"1206",4,0,1,1,2
"1207",10,1,1,6,2
"1208",8,1,3,2,2
"1209",62,13,20,15,14
"1210",6,1,0,3,2
"1211",10,1,4,3,2
"1212",5,1,3,0,1
"1213",20,1,8,7,4
"1214",27,2,9,11,5
"1215",24,1,3,11,9
"1216",40,8,7,12,13
"1217",24,1,9,8,6
"1218",6,0,3,2,1
"1219",58,3,15,22,18
"1220",24,1,5,6,12
"1221",24,4,4,6,10
"1222",16,2,6,5,3
"1223",21,5,6,6,4
"1224",12,4,0,4,4
"1225",77,8,27,19,23
"1301",1,1,0,0,0
"1302",0,0,0,0,0
"1303",32,5,4,9,14
"1304",2,0,1,0,1
"1305",0,0,0,0,0
"1306",10,1,3,2,4
"1307",13,3,1,5,4
"1308",0,0,0,0,0
"1309",3,1,0,1,1
"1310",0,0,0,0,0
"1311",21,3,7,3,8
"1312",2,0,1,0,1
"1313",2,1,0,1,0
"1314",1,0,0,0,1
"1315",10,2,2,1,5
"1316",23,6,6,8,3
"1317",14,2,3,6,3
"1318",9,2,1,3,3
"1319",39,4,6,11,18
"1320",3,0,1,0,2
"1321",39,9,14,10,6
"1322",8,2,4,0,2
"1323",2,0,1,1,0
"1324",0,0,0,0,0
"1325",56,14,12,10,20
"1326",22,3,6,8,5
"1327",4,2,0,1,1
"1328",16,2,5,5,4
"1329",13,2,5,4,2
"1330",21,7,5,6,3
"1331",44,8,11,13,12
"1332",3,1,0,1,1
"1333",2,0,2,0,0
"1334",37,1,9,10,17
"1335",3,0,0,1,2
"1336",9,1,3,3,2
"1337",20,1,4,6,9
"1338",1,0,0,0,1
"1339",12,0,5,2,5
"1340",9,1,2,2,4
"1341",1,0,1,0,0
"1342",1,0,1,0,0
"1343",2,0,0,0,2
"1344",1,0,1,0,0
"1345",1,0,0,0,1
"1346",2,0,2,0,0
"1347",2,1,0,0,1
"1348",0,0,0,0,0
"1349",8,2,1,2,3
"1350",9,1,2,1,5
"1351",1,0,1,0,0
"1352",16,2,5,5,4
"1353",5,0,3,0,2
"1401",9,2,2,2,3
"1402",1,0,0,0,1
"1403",1,1,0,0,0
"1404",3,0,0,1,2
"1405",1,0,1,0,0
"1406",0,0,0,0,0
"1407",0,0,0,0,0
"1408",5,0,1,4,0
"1409",19,4,6,4,5
"1410",2,0,0,2,0
"1411",1,0,0,0,1
"1412",10,2,5,1,2
"1413",1,0,0,1,0
"1414",18,2,1,7,8
"1415",4,1,0,0,3
"1416",4,0,2,1,1
"1417",2,0,0,2,0
"1418",0,0,0,0,0
"1419",1,0,0,0,1
"1420",0,0,0,0,0
"1421",13,1,6,4,2
"1422",10,2,5,3,0
"1423",1,0,0,1,0
"1424",17,2,1,3,11
"1425",1,0,0,1,0
"1426",2,0,0,1,1
"1427",14,1,5,3,5
"1428",7,3,0,2,2
"1429",26,4,5,9,8
"1430",4,1,0,2,1
"1431",5,0,2,2,1
"1432",5,2,1,1,1
"1433",0,0,0,0,0
"1434",8,2,2,2,2
"1435",16,0,3,4,9
"1436",15,2,3,3,7
"1437",0,0,0,0,0
"1438",6,1,0,3,2
"1439",4,0,1,3,0
"1501",0,0,0,0,0
"1502",1,0,1,0,0
"1503",1,0,0,1,0
"1504",13,3,1,1,8
"1505",72,14,19,14,25
"1506",96,21,31,22,22
"1507",124,27,34,30,33
"1508",4,1,2,1,0
"1509",1,0,1,0,0
"1510",3,2,0,0,1
"1511",59,8,13,25,13
"1512",35,8,10,6,11
"1513",4,1,2,0,1
"1514",36,2,18,9,7
"1515",0,0,0,0,0
"1516",37,3,15,8,11
"1517",1,0,0,0,1
"1518",61,9,20,10,22
"1519",0,0,0,0,0
"1520",19,1,7,2,9
"1521",6,0,3,1,2
"1522",2,1,1,0,0
"1523",6,2,0,2,2
"1524",19,5,3,6,5
"1525",8,0,1,4,3
"1526",15,2,4,3,6
"1527",2,1,0,0,1
"1528",1,0,0,1,0
"1529",9,1,4,1,3
"1530",27,2,8,8,9
"1531",0,0,0,0,0
"1532",5,0,1,3,1
"1533",23,1,7,8,7
"1601",0,0,0,0,0
"1602",39,6,7,7,19
"1603",11,1,2,2,6
"1604",4,1,0,2,1
"1605",10,1,4,3,2
"1606",6,1,4,1,0
"1607",32,4,9,7,12
"1608",147,28,25,34,60
"1609",10,0,4,1,5
"1610",3,0,1,2,0
"1611",6,4,0,0,2
"1612",9,0,3,3,3
"1613",11,3,0,4,4
"1614",29,6,7,7,9
"1615",17,2,4,6,5
"1616",8,1,2,2,3
"1701",1,0,0,0,1
"1702",0,0,0,0,0
"1703",0,0,0,0,0
"1704",3,0,0,1,2
"1705",0,0,0,0,0
"1706",2,0,1,0,1
"1707",6,1,1,2,2
"1708",27,9,2,8,8
"1709",2,0,0,0,2
"1710",15,1,2,3,9
"1711",3,0,1,0,2
"1712",9,2,3,1,3
"1713",14,2,3,2,7
"1714",2,1,0,1,0
"1715",3,0,1,1,1
"1801",6,1,1,1,3
"1802",5,1,2,1,1
"1803",2,0,1,1,0
"1804",15,4,5,5,1
"1805",6,1,0,2,3
"1806",13,2,2,5,4
"1807",0,0,0,0,0
"1808",24,4,5,6,9
"1809",4,1,1,1,1
"1810",16,4,3,6,3
"1811",13,0,5,5,3
"1812",0,0,0,0,0
"1813",4,1,2,0,1
"1814",8,1,0,6,1
"1815",0,0,0,0,0
"1816",10,1,1,4,4
"1817",0,0,0,0,0
"1818",8,1,2,2,3
"1819",0,0,0,0,0
"1820",3,0,1,2,0
"1821",3,0,1,2,0
"1901",0,0,0,0,0
"1902",2,1,0,0,1
"1903",1,1,0,0,0
"1904",2,1,1,0,0
"1905",6,0,2,1,3
"1906",8,2,0,5,1
"1907",1,0,0,0,1
"1908",0,0,0,0,0
"1909",1,0,0,0,1
"1910",2,0,0,1,1
"1911",2,0,1,1,0
"1912",13,3,5,3,2
"1913",2,0,2,0,0
"1914",3,1,0,2,0
"1915",16,1,6,4,5
"1916",3,0,1,1,1
"1917",1,1,0,0,0
"1918",9,0,2,2,5
"1919",1,1,0,0,0
"1920",4,0,2,1,1
"1921",6,0,3,2,1
"1922",20,1,2,7,10
"1923",0,0,0,0,0
"1924",3,2,0,1,0
"2001",5,3,0,0,2
"2002",6,2,3,1,0
"2003",9,1,4,1,3
"2004",118,16,21,32,49
"2005",0,0,0,0,0
"2006",5,2,0,0,3
"2007",7,1,1,4,1
"2008",4,1,1,1,1
"2009",35,7,4,14,10
"2010",1,0,0,1,0
"2011",6,3,1,1,1
"2012",36,1,12,13,10
"2013",29,5,5,11,8
"2014",8,1,1,2,4
"2015",10,3,2,0,5
"2016",6,0,2,4,0
"2017",9,2,2,3,2
"2018",11,2,2,1,6
"2019",26,3,5,7,11
"2020",5,0,1,2,2
"2021",3,1,1,0,1
"2101",2,0,1,1,0
"2102",2,0,2,0,0
"2103",5,0,3,2,0
"2104",3,0,1,1,1
"2105",1,0,0,0,1
"2106",0,0,0,0,0
"2107",2,0,1,0,1
"2108",8,2,1,4,1
"2109",0,0,0,0,0
"2110",3,2,0,0,1
"2111",0,0,0,0,0
"2112",5,0,2,1,2
"2113",2,0,0,0,2
"2114",4,0,0,3,1
"2115",4,0,2,2,0
"2116",6,0,2,0,4
"2117",0,0,0,0,0
"2119",32,6,10,11,5
"2120",1,0,0,1,0
"2121",10,0,1,5,4
"2122",7,1,0,2,4
"2123",5,2,1,1,1
